freq,indic_to,c_resid,month,unit,geo,time,value
A,LSTY,DOM,M01,NR,EU27_2020,2018,2016486
A,LSTY,DOM,M01,NR,EU27_2020,2019,2449017
A,LSTY,DOM,M01,NR,EU27_2020,2020,3257894
A,LSTY,DOM,M01,NR,EU27_2020,2021,2317133
A,LSTY,DOM,M01,NR,EU27_2020,2022,3982170
A,LSTY,DOM,M01,NR,EU27_2020,2023,4628474
A,LSTY,DOM,M01,NR,EU27_2020,2024,5335804
A,LSTY,DOM,M01,NR,EU27_2020,2025,6269167
A,LSTY,DOM,M01,NR,EU27_2020,2026,6764404
A,LSTY,DOM,M02,NR,EU27_2020,2018,2398883
A,LSTY,DOM,M02,NR,EU27_2020,2019,2967296
A,LSTY,DOM,M02,NR,EU27_2020,2020,4112378
A,LSTY,DOM,M02,NR,EU27_2020,2021,3090396
A,LSTY,DOM,M02,NR,EU27_2020,2022,4866237
A,LSTY,DOM,M02,NR,EU27_2020,2023,5529961
A,LSTY,DOM,M02,NR,EU27_2020,2024,6369406
A,LSTY,DOM,M02,NR,EU27_2020,2025,7351210
A,LSTY,DOM,M02,NR,EU27_2020,2026,7757998
A,LSTY,DOM,M03,NR,EU27_2020,2018,2889872
A,LSTY,DOM,M03,NR,EU27_2020,2019,3202309
A,LSTY,DOM,M03,NR,EU27_2020,2020,2136655
A,LSTY,DOM,M03,NR,EU27_2020,2021,3020626
A,LSTY,DOM,M03,NR,EU27_2020,2022,4473594
A,LSTY,DOM,M03,NR,EU27_2020,2023,5175432
A,LSTY,DOM,M03,NR,EU27_2020,2024,7379856
A,LSTY,DOM,M03,NR,EU27_2020,2025,7012715
A,LSTY,DOM,M03,NR,EU27_2020,2026,7695930
A,LSTY,DOM,M04,NR,EU27_2020,2018,3149465
A,LSTY,DOM,M04,NR,EU27_2020,2019,4388725
A,LSTY,DOM,M04,NR,EU27_2020,2020,729959
A,LSTY,DOM,M04,NR,EU27_2020,2021,2722792
A,LSTY,DOM,M04,NR,EU27_2020,2022,6340647
