fy,base,scenario,variant,revenue,adj_ebitda_musd,adj_ebitda_margin_pct,cor,ops,pd,sm,ga,cor_pct_rev,ops_pct_rev,pd_pct_rev,sm_pct_rev,ga_pct_rev,cons_revenue_musd,cons_ebitda_musd,cons_margin_pct,mgmt_fy26_floor_pct,fy25_actual_margin_pct,fy28_basis,withdrawn_growth_model_margin_pct
FY26,M1_b_elastic_rw,base,cut,14268.1433,5162.466376371001,36.1817670864786,2375.3087945644074,1307.0948541745518,1500.749474308675,3015.7938389466385,998.7552209514284,16.647637640171496,9.160931641151597,10.518183359629385,21.1365541790335,6.999896201991667,14189.55705,5053.72214,35.61578506074649,35.5,35.10334123029164,,
FY27,M1_b_elastic_rw,base,cut,15828.606600000001,5562.78269867031,35.14385592646108,2590.842433040081,1357.9451371747555,1688.9036353002498,3678.9162988285802,1056.3485974549214,16.368101744597535,8.579056713524963,10.669945106224635,23.24219934070874,6.673667645861648,15819.33924,5766.09917,36.449684038762676,,35.10334123029164,,
FY26,M1_b_elastic_rw,base,flex,14268.1433,5162.466376371001,36.1817670864786,2375.3087945644074,1307.0948541745518,1500.749474308675,3015.7938389466385,998.7552209514284,16.647637640171496,9.160931641151597,10.518183359629385,21.1365541790335,6.999896201991667,14189.55705,5053.72214,35.61578506074649,35.5,35.10334123029164,,
FY27,M1_b_elastic_rw,base,flex,15828.606600000001,5562.78269867031,35.14385592646108,2590.842433040081,1357.9451371747555,1688.9036353002498,3678.9162988285802,1056.3485974549214,16.368101744597535,8.579056713524963,10.669945106224635,23.24219934070874,6.673667645861648,15819.33924,5766.09917,36.449684038762676,,35.10334123029164,,
FY26,M1_b_elastic_rw,base,flex_dl,14268.1433,5162.466376371001,36.1817670864786,2375.3087945644074,1307.0948541745518,1500.749474308675,3015.7938389466385,998.7552209514284,16.647637640171496,9.160931641151597,10.518183359629385,21.1365541790335,6.999896201991667,14189.55705,5053.72214,35.61578506074649,35.5,35.10334123029164,,
FY27,M1_b_elastic_rw,base,flex_dl,15828.606600000001,5562.78269867031,35.14385592646108,2590.842433040081,1357.9451371747555,1688.9036353002498,3678.9162988285802,1056.3485974549214,16.368101744597535,8.579056713524963,10.669945106224635,23.24219934070874,6.673667645861648,15819.33924,5766.09917,36.449684038762676,,35.10334123029164,,
FY26,M1_b_elastic_rw,base,held,14268.1433,5162.466376371001,36.1817670864786,2375.3087945644074,1307.0948541745518,1500.749474308675,3015.7938389466385,998.7552209514284,16.647637640171496,9.160931641151597,10.518183359629385,21.1365541790335,6.999896201991667,14189.55705,5053.72214,35.61578506074649,35.5,35.10334123029164,,
FY27,M1_b_elastic_rw,base,held,15828.606600000001,5562.78269867031,35.14385592646108,2590.842433040081,1357.9451371747555,1688.9036353002498,3678.9162988285802,1056.3485974549214,16.368101744597535,8.579056713524963,10.669945106224635,23.24219934070874,6.673667645861648,15819.33924,5766.09917,36.449684038762676,,35.10334123029164,,
FY26,M1_b_elastic_rw,base,hold_disc,14268.1433,5162.466376371001,36.1817670864786,2375.3087945644074,1307.0948541745518,1500.749474308675,3015.7938389466385,998.7552209514284,16.647637640171496,9.160931641151597,10.518183359629385,21.1365541790335,6.999896201991667,14189.55705,5053.72214,35.61578506074649,35.5,35.10334123029164,,
FY27,M1_b_elastic_rw,base,hold_disc,15828.606600000001,5562.78269867031,35.14385592646108,2590.842433040081,1357.9451371747555,1688.9036353002498,3678.9162988285802,1056.3485974549214,16.368101744597535,8.579056713524963,10.669945106224635,23.24219934070874,6.673667645861648,15819.33924,5766.09917,36.449684038762676,,35.10334123029164,,
FY26,M1_b_elastic_rw,bear,cut,14164.807,5076.982036838136,35.84222529003139,2366.5232140781354,1303.064114612609,1502.9311788107873,3007.0486471484733,999.5836603894179,16.707062892407468,9.199307231031167,10.610318790865186,21.229012489534615,7.056811013305143,14189.55705,5053.72214,35.61578506074649,35.5,35.10334123029164,,
FY27,M1_b_elastic_rw,bear,cut,14948.333900000001,5231.916864999999,34.99999999999999,2512.669736798685,1325.2244717099097,1640.4703223589706,3297.577110892791,1041.649675001805,16.80902870920407,8.865365736243755,10.974268659860284,22.059830432960762,6.968332939109722,15819.33924,5766.09917,36.449684038762676,,35.10334123029164,,
FY26,M1_b_elastic_rw,bear,flex,14164.807,5076.982036838136,35.84222529003139,2366.5232140781354,1303.064114612609,1502.9311788107873,3007.0486471484733,999.5836603894179,16.707062892407468,9.199307231031167,10.610318790865186,21.229012489534615,7.056811013305143,14189.55705,5053.72214,35.61578506074649,35.5,35.10334123029164,,
