ORACLE_NOT_A_FORECAST,method,object,window,n_params,n_train,knowable_from,notes,spec_id,target,horizon_q,prior_basis,quarter,vintage_date,point,actual,target_print_date,q05,q10,q25,q50,q75,q90,q95,sd,sigma_n,sigma_kind
actual revenue path fed in; diagnostic for the cost-vs-revenue error split only; NOT point-in-time; must never enter a scoreboard or a survivor table,cycle-flex,flex_lines,W1,12.0,4.0,2023-02-14,rev_leg=actual_oracle;scenario=backtest;,revknown_rw,cor_cash_musd,0,PIT,2023Q1,2023-02-14,430.53781050984634,428.0,2023-05-09,391.8719711891786,400.41217130246196,414.68247124002056,430.53781050984634,446.39314977967206,460.6634497172307,469.203649830514,23.507161176602654,4.0,relative
actual revenue path fed in; diagnostic for the cost-vs-revenue error split only; NOT point-in-time; must never enter a scoreboard or a survivor table,cycle-flex,flex_lines,W1,12.0,4.0,2023-02-14,rev_leg=actual_oracle;scenario=backtest;,revknown_rw,ops_cash_musd,0,PIT,2023Q1,2023-02-14,258.7437112043061,267.0,2023-05-09,229.71481928075448,236.12648783495266,246.84010486440712,258.7437112043061,270.6473175442051,281.36093457365956,287.77260312785774,17.648313167751606,4.0,relative
actual revenue path fed in; diagnostic for the cost-vs-revenue error split only; NOT point-in-time; must never enter a scoreboard or a survivor table,cycle-flex,flex_lines,W1,12.0,4.0,2023-02-14,rev_leg=actual_oracle;scenario=backtest;,revknown_rw,pd_cash_musd,0,PIT,2023Q1,2023-02-14,255.18793179476953,271.0,2023-05-09,231.67395019083315,236.8675296368208,245.54577317452276,255.18793179476953,264.8300904150163,273.50833395271826,278.70191339870587,14.295485761560768,4.0,relative
actual revenue path fed in; diagnostic for the cost-vs-revenue error split only; NOT point-in-time; must never enter a scoreboard or a survivor table,cycle-flex,flex_lines,W1,12.0,4.0,2023-02-14,rev_leg=actual_oracle;scenario=backtest;,revknown_rw,sm_cash_musd,0,PIT,2023Q1,2023-02-14,380.2972366594562,422.0,2023-05-09,289.6632948076875,309.6817921187249,343.1318233988335,380.2972366594562,417.4626499200789,450.9126812001875,470.93117851122486,55.101524151876774,4.0,relative
actual revenue path fed in; diagnostic for the cost-vs-revenue error split only; NOT point-in-time; must never enter a scoreboard or a survivor table,cycle-flex,flex_lines,W1,12.0,4.0,2023-02-14,rev_leg=actual_oracle;scenario=backtest;,revknown_rw,ga_cash_ex_reserves_musd,0,PIT,2023Q1,2023-02-14,201.3559746999066,191.0,2023-05-09,183.76039693881185,187.6467668671187,194.1407206163974,201.3559746999066,208.5712287834158,215.06518253269448,218.95155246100134,10.697351711292335,4.0,relative
actual revenue path fed in; diagnostic for the cost-vs-revenue error split only; NOT point-in-time; must never enter a scoreboard or a survivor table,cycle-flex,flex_margin,W1,12.0,4.0,2023-02-14,rev_leg=actual_oracle;scenario=backtest;,revknown_rw,adj_ebitda_margin_pct,0,PIT,2023Q1,2023-02-14,17.02559872322304,14.411441144114413,2023-05-09,10.803292245737595,12.177625337105418,14.47407567407428,17.02559872322304,19.577121772371804,21.873572109340664,23.247905200708487,3.7828937332361314,4.0,additive
actual revenue path fed in; diagnostic for the cost-vs-revenue error split only; NOT point-in-time; must never enter a scoreboard or a survivor table,cycle-flex,flex_margin,W1,12.0,4.0,2023-02-14,rev_leg=actual_oracle;scenario=backtest;,revknown_rw,adj_ebitda_musd,0,PIT,2023Q1,2023-02-14,309.5253847881949,262.0,2023-05-09,165.92008796583218,197.63847281762256,250.63850318763093,309.5253847881949,368.4122663887589,421.41229675876724,453.1306816105576,87.3058213018729,4.0,relative
actual revenue path fed in; diagnostic for the cost-vs-revenue error split only; NOT point-in-time; must never enter a scoreboard or a survivor table,cycle-flex,flex_margin,W1,12.0,4.0,2023-02-14,rev_leg=actual_oracle;scenario=backtest;,revknown_rw,total_cash_costs_musd,0,PIT,2023Q1,2023-02-14,1508.474615211805,1556.0,2023-05-09,1375.893234280306,1405.1767451090811,1454.1082077455821,1508.474615211805,1562.8410226780277,1611.772485314529,1641.0559961433041,80.60375632160158,4.0,relative
actual revenue path fed in; diagnostic for the cost-vs-revenue error split only; NOT point-in-time; must never enter a scoreboard or a survivor table,cycle-flex,flex_lines,W1,12.0,4.0,2023-02-14,rev_leg=actual_oracle;scenario=backtest;,revknown_rw,cor_cash_musd,1,PIT,2023Q2,2023-02-14,458.54604841609887,432.0,2023-08-03,425.76098143643304,433.00228377599154,445.1021824848424,458.54604841609887,471.98991434735535,484.0898130562062,491.3311153957647,19.93190545497278,3.0,relative
actual revenue path fed in; diagnostic for the cost-vs-revenue error split only; NOT point-in-time; must never enter a scoreboard or a survivor table,cycle-flex,flex_lines,W1,12.0,4.0,2023-02-14,rev_leg=actual_oracle;scenario=backtest;,revknown_rw,ops_cash_musd,1,PIT,2023Q2,2023-02-14,280.84618499754686,298.0,2023-08-03,251.3796832491458,257.88800754757233,268.76313208768585,280.84618499754686,292.92923790740787,303.8043624475214,310.31268674594793,17.91436105048051,3.0,relative
