target_quarter,booking_quarter,lag,kernel_coefficient,gbv_musd,weighted_gbv_musd,revenue_contribution_musd,gbv_kind,information_date,source_ref,usd_baseline_contribution_weight,reference_currency_weight_status,scenario,conversion_status
2026Q3,2026Q2,1,0.666666666666667,27200,18133.3333333333,3128.88688235011,reported,2026-08-06,data/processed/overnight/02_kpi_panel_quarterly.csv,0.650717703349282,pending L3; USD contribution is not a constant-FX currency weight,review_with_k,fixed_K0_2over3_benchmark_provisional_pending_L3_conversion_validation
2026Q3,2026Q1,2,0.333333333333333,29200,9733.33333333333,1679.47604714381,reported,2026-05-07,data/processed/overnight/02_kpi_panel_quarterly.csv,0.349282296650718,pending L3; USD contribution is not a constant-FX currency weight,review_with_k,fixed_K0_2over3_benchmark_provisional_pending_L3_conversion_validation
2026Q4,2026Q3,1,0.666666666666667,26008.556,17339.0373333333,2087.68371853174,forecast,2026-09-11,data/processed/adrv3/P/adr_card_v3.csv;data/processed/adrv3/P/P1_card_v3_terms.csv,0.656639843169239,pending L3; USD contribution is not a constant-FX currency weight,review_with_k,fixed_K0_2over3_benchmark_provisional_pending_L3_conversion_validation
2026Q4,2026Q2,2,0.333333333333333,27200,9066.66666666667,1091.65993575467,reported,2026-08-06,data/processed/overnight/02_kpi_panel_quarterly.csv,0.343360156830762,pending L3; USD contribution is not a constant-FX currency weight,review_with_k,fixed_K0_2over3_benchmark_provisional_pending_L3_conversion_validation
2027Q1,2026Q4,1,0.666666666666667,23008.326,15338.884,1952.26357268384,forecast,2026-09-11,data/processed/adrv3/P/adr_card_v3.csv;data/processed/adrv3/P/P1_card_v3_terms.csv,0.6388964819095,pending L3; USD contribution is not a constant-FX currency weight,review_with_k,fixed_K0_2over3_benchmark_provisional_pending_L3_conversion_validation
2027Q1,2026Q3,2,0.333333333333333,26008.556,8669.51866666667,1103.41700775858,forecast,2026-09-11,data/processed/adrv3/P/adr_card_v3.csv;data/processed/adrv3/P/P1_card_v3_terms.csv,0.3611035180905,pending L3; USD contribution is not a constant-FX currency weight,review_with_k,fixed_K0_2over3_benchmark_provisional_pending_L3_conversion_validation
2026Q3,2026Q2,1,0.666666666666667,27200,18133.3333333333,3128.88688235011,reported,2026-08-06,data/processed/overnight/02_kpi_panel_quarterly.csv,0.650717703349282,pending L3; USD contribution is not a constant-FX currency weight,review_without_k,fixed_K0_2over3_benchmark_provisional_pending_L3_conversion_validation
2026Q3,2026Q1,2,0.333333333333333,29200,9733.33333333333,1679.47604714381,reported,2026-05-07,data/processed/overnight/02_kpi_panel_quarterly.csv,0.349282296650718,pending L3; USD contribution is not a constant-FX currency weight,review_without_k,fixed_K0_2over3_benchmark_provisional_pending_L3_conversion_validation
2026Q4,2026Q3,1,0.666666666666667,25965.984,17310.656,2084.26650185637,forecast,2026-09-11,data/processed/adrv3/P/adr_card_v3.csv;data/processed/adrv3/P/P1_card_v3_terms.csv,0.656270396308101,pending L3; USD contribution is not a constant-FX currency weight,review_without_k,fixed_K0_2over3_benchmark_provisional_pending_L3_conversion_validation
2026Q4,2026Q2,2,0.333333333333333,27200,9066.66666666667,1091.65993575467,reported,2026-08-06,data/processed/overnight/02_kpi_panel_quarterly.csv,0.343729603691899,pending L3; USD contribution is not a constant-FX currency weight,review_without_k,fixed_K0_2over3_benchmark_provisional_pending_L3_conversion_validation
