quarter,sbc,yoy_pct,q4_over_q2
1Q22,195,,
2Q22,247,,
3Q22,234,,
4Q22,254,,1.0283400809716599
1Q23,240,23.076923076923084,
2Q23,304,23.076923076923084,
3Q23,286,22.222222222222232,
4Q23,290,14.173228346456689,0.9539473684210527
1Q24,295,22.916666666666675,
2Q24,382,25.657894736842103,
3Q24,362,26.573426573426584,
4Q24,368,26.89655172413794,0.9633507853403142
1Q25,358,21.355932203389827,
2Q25,424,10.994764397905765,
3Q25,399,10.220994475138113,
4Q25,411,11.684782608695654,0.9693396226415094
1Q26,410,14.525139664804465,
2Q26,487,14.85849056603774,
