metric,last_disclosed,gap_quarter,next_quarter,returned_next_quarter
cross-border share %,4Q24,1Q25,2Q25,False
long-term stays share %,3Q24,4Q24,1Q25,False
urban/high-density share %,1Q24,2Q24,3Q24,False
active listings growth %,2Q24,3Q24,4Q24,False
1BR vs hotel price comparison,1Q24,2Q24,3Q24,False
FX service fee (bps),4Q23,1Q24,2Q24,True
FX service fee (bps),2Q24,3Q24,4Q24,True
FX service fee (bps),4Q24,1Q25,2Q25,False
Guest Favorites share,3Q24,4Q24,1Q25,True
Guest Favorites share,4Q25,1Q26,2Q26,False
first-time bookers growth,2Q21,3Q21,4Q21,False
first-time bookers growth,4Q23,1Q24,2Q24,True
cancellation rate %,1Q21,2Q21,3Q21,False
cancellation rate %,4Q22,1Q23,2Q23,False
cancellation rate %,4Q24,1Q25,2Q25,False
cancellation rate %,4Q25,1Q26,2Q26,False
take rate bps guide,3Q23,4Q23,1Q24,False
take rate bps guide,1Q25,2Q25,3Q25,False
