date,series,measure,value,yoy_pct,bea_line,bea_label
2015-01-01,accommodations,nominal_saar_musd,134882.000,,249,Accommodations (104)
2015-02-01,accommodations,nominal_saar_musd,136019.000,,249,Accommodations (104)
2015-03-01,accommodations,nominal_saar_musd,135501.000,,249,Accommodations (104)
2015-04-01,accommodations,nominal_saar_musd,135931.000,,249,Accommodations (104)
2015-05-01,accommodations,nominal_saar_musd,137506.000,,249,Accommodations (104)
2015-06-01,accommodations,nominal_saar_musd,137460.000,,249,Accommodations (104)
2015-07-01,accommodations,nominal_saar_musd,139760.000,,249,Accommodations (104)
2015-08-01,accommodations,nominal_saar_musd,138694.000,,249,Accommodations (104)
2015-09-01,accommodations,nominal_saar_musd,140064.000,,249,Accommodations (104)
2015-10-01,accommodations,nominal_saar_musd,140097.000,,249,Accommodations (104)
2015-11-01,accommodations,nominal_saar_musd,136538.000,,249,Accommodations (104)
2015-12-01,accommodations,nominal_saar_musd,139338.000,,249,Accommodations (104)
2016-01-01,accommodations,nominal_saar_musd,138827.000,2.925,249,Accommodations (104)
2016-02-01,accommodations,nominal_saar_musd,140002.000,2.928,249,Accommodations (104)
2016-03-01,accommodations,nominal_saar_musd,138673.000,2.341,249,Accommodations (104)
2016-04-01,accommodations,nominal_saar_musd,141061.000,3.774,249,Accommodations (104)
2016-05-01,accommodations,nominal_saar_musd,139416.000,1.389,249,Accommodations (104)
2016-06-01,accommodations,nominal_saar_musd,141058.000,2.617,249,Accommodations (104)
2016-07-01,accommodations,nominal_saar_musd,142492.000,1.955,249,Accommodations (104)
2016-08-01,accommodations,nominal_saar_musd,141295.000,1.875,249,Accommodations (104)
2016-09-01,accommodations,nominal_saar_musd,146071.000,4.289,249,Accommodations (104)
2016-10-01,accommodations,nominal_saar_musd,142309.000,1.579,249,Accommodations (104)
2016-11-01,accommodations,nominal_saar_musd,143726.000,5.264,249,Accommodations (104)
2016-12-01,accommodations,nominal_saar_musd,143470.000,2.965,249,Accommodations (104)
2017-01-01,accommodations,nominal_saar_musd,145703.000,4.953,249,Accommodations (104)
2017-02-01,accommodations,nominal_saar_musd,145141.000,3.671,249,Accommodations (104)
2017-03-01,accommodations,nominal_saar_musd,147686.000,6.499,249,Accommodations (104)
2017-04-01,accommodations,nominal_saar_musd,147029.000,4.231,249,Accommodations (104)
2017-05-01,accommodations,nominal_saar_musd,148032.000,6.180,249,Accommodations (104)
2017-06-01,accommodations,nominal_saar_musd,148755.000,5.457,249,Accommodations (104)
2017-07-01,accommodations,nominal_saar_musd,149452.000,4.884,249,Accommodations (104)
2017-08-01,accommodations,nominal_saar_musd,149363.000,5.710,249,Accommodations (104)
2017-09-01,accommodations,nominal_saar_musd,154579.000,5.825,249,Accommodations (104)
2017-10-01,accommodations,nominal_saar_musd,152613.000,7.241,249,Accommodations (104)
2017-11-01,accommodations,nominal_saar_musd,153648.000,6.903,249,Accommodations (104)
2017-12-01,accommodations,nominal_saar_musd,154160.000,7.451,249,Accommodations (104)
2018-01-01,accommodations,nominal_saar_musd,155129.000,6.469,249,Accommodations (104)
2018-02-01,accommodations,nominal_saar_musd,155465.000,7.113,249,Accommodations (104)
2018-03-01,accommodations,nominal_saar_musd,157397.000,6.575,249,Accommodations (104)
2018-04-01,accommodations,nominal_saar_musd,157051.000,6.816,249,Accommodations (104)
2018-05-01,accommodations,nominal_saar_musd,156419.000,5.666,249,Accommodations (104)
2018-06-01,accommodations,nominal_saar_musd,157831.000,6.101,249,Accommodations (104)
2018-07-01,accommodations,nominal_saar_musd,154431.000,3.332,249,Accommodations (104)
2018-08-01,accommodations,nominal_saar_musd,155361.000,4.016,249,Accommodations (104)
2018-09-01,accommodations,nominal_saar_musd,155339.000,0.492,249,Accommodations (104)
2018-10-01,accommodations,nominal_saar_musd,159383.000,4.436,249,Accommodations (104)
2018-11-01,accommodations,nominal_saar_musd,158462.000,3.133,249,Accommodations (104)
2018-12-01,accommodations,nominal_saar_musd,159440.000,3.425,249,Accommodations (104)
2019-01-01,accommodations,nominal_saar_musd,159717.000,2.958,249,Accommodations (104)
2019-02-01,accommodations,nominal_saar_musd,160504.000,3.241,249,Accommodations (104)
2019-03-01,accommodations,nominal_saar_musd,159503.000,1.338,249,Accommodations (104)
2019-04-01,accommodations,nominal_saar_musd,158746.000,1.079,249,Accommodations (104)
2019-05-01,accommodations,nominal_saar_musd,159745.000,2.126,249,Accommodations (104)
2019-06-01,accommodations,nominal_saar_musd,157818.000,-0.008,249,Accommodations (104)
2019-07-01,accommodations,nominal_saar_musd,156641.000,1.431,249,Accommodations (104)
2019-08-01,accommodations,nominal_saar_musd,159020.000,2.355,249,Accommodations (104)
2019-09-01,accommodations,nominal_saar_musd,160700.000,3.451,249,Accommodations (104)
2019-10-01,accommodations,nominal_saar_musd,164519.000,3.222,249,Accommodations (104)
2019-11-01,accommodations,nominal_saar_musd,169478.000,6.952,249,Accommodations (104)
2019-12-01,accommodations,nominal_saar_musd,173915.000,9.079,249,Accommodations (104)
2020-01-01,accommodations,nominal_saar_musd,175781.000,10.058,249,Accommodations (104)
2020-02-01,accommodations,nominal_saar_musd,175897.000,9.590,249,Accommodations (104)
2020-03-01,accommodations,nominal_saar_musd,96110.000,-39.744,249,Accommodations (104)
2020-04-01,accommodations,nominal_saar_musd,28225.000,-82.220,249,Accommodations (104)
2020-05-01,accommodations,nominal_saar_musd,38541.000,-75.873,249,Accommodations (104)
2020-06-01,accommodations,nominal_saar_musd,52599.000,-66.671,249,Accommodations (104)
2020-07-01,accommodations,nominal_saar_musd,64613.000,-58.751,249,Accommodations (104)
2020-08-01,accommodations,nominal_saar_musd,87588.000,-44.920,249,Accommodations (104)
2020-09-01,accommodations,nominal_saar_musd,86810.000,-45.980,249,Accommodations (104)
2020-10-01,accommodations,nominal_saar_musd,85299.000,-48.152,249,Accommodations (104)
2020-11-01,accommodations,nominal_saar_musd,81385.000,-51.979,249,Accommodations (104)
2020-12-01,accommodations,nominal_saar_musd,82276.000,-52.692,249,Accommodations (104)
2021-01-01,accommodations,nominal_saar_musd,83895.000,-52.273,249,Accommodations (104)
2021-02-01,accommodations,nominal_saar_musd,90021.000,-48.822,249,Accommodations (104)
2021-03-01,accommodations,nominal_saar_musd,100134.000,4.187,249,Accommodations (104)
2021-04-01,accommodations,nominal_saar_musd,104782.000,271.238,249,Accommodations (104)
2021-05-01,accommodations,nominal_saar_musd,114136.000,196.142,249,Accommodations (104)
2021-06-01,accommodations,nominal_saar_musd,124352.000,136.415,249,Accommodations (104)
2021-07-01,accommodations,nominal_saar_musd,137221.000,112.374,249,Accommodations (104)
2021-08-01,accommodations,nominal_saar_musd,141754.000,61.842,249,Accommodations (104)
2021-09-01,accommodations,nominal_saar_musd,144063.000,65.952,249,Accommodations (104)
2021-10-01,accommodations,nominal_saar_musd,143386.000,68.098,249,Accommodations (104)
2021-11-01,accommodations,nominal_saar_musd,152328.000,87.170,249,Accommodations (104)
2021-12-01,accommodations,nominal_saar_musd,160581.000,95.174,249,Accommodations (104)
2022-01-01,accommodations,nominal_saar_musd,142873.000,70.300,249,Accommodations (104)
2022-02-01,accommodations,nominal_saar_musd,157827.000,75.322,249,Accommodations (104)
2022-03-01,accommodations,nominal_saar_musd,167878.000,67.653,249,Accommodations (104)
2022-04-01,accommodations,nominal_saar_musd,172188.000,64.330,249,Accommodations (104)
2022-05-01,accommodations,nominal_saar_musd,173808.000,52.281,249,Accommodations (104)
2022-06-01,accommodations,nominal_saar_musd,176359.000,41.822,249,Accommodations (104)
2022-07-01,accommodations,nominal_saar_musd,175938.000,28.215,249,Accommodations (104)
