uid,channel,dtstart,dtend,nights,dtstamp
5c3e5510e62a2,ATRAVEO,2019-01-15,2019-01-19,4,20190115T224818Z
5c3e5510e64f9,ATRAVEO,2019-02-20,2019-02-27,7,20190115T224818Z
5c3e5510e652c,ATRAVEO,2019-04-05,2019-04-10,5,20190115T224818Z
5c3e5510e655d,ATRAVEO,2019-05-31,2019-06-05,5,20190115T224818Z
5c3e55229d3cc,2019-01-15,2019-01-15,2019-01-19,4,20190115T224818Z
5c3e55229d421,2019-02-20,2019-02-20,2019-02-27,7,20190115T224818Z
5c3e55229d43b,2019-04-05,2019-04-05,2019-04-10,5,20190115T224818Z
5c3e55229d455,2019-05-31,2019-05-31,2019-06-05,5,20190115T224818Z
5c3e55229d476,2019-05-31,2019-05-31,2019-06-03,3,20190115T224818Z
5c3e55229d491,2019-01-15,2019-01-15,2019-01-18,3,20190115T224818Z
5c3e55229d4b5,2019-02-21,2019-02-21,2019-02-26,5,20190115T224818Z
5c3e55229d4d0,2019-04-05,2019-04-05,2019-04-09,4,20190115T224818Z
5c3e55229d4f2,2019-06-02,2019-06-02,2019-06-04,2,20190115T224818Z
