source,what_it_gives_for_3q26,frequency_and_lag,cost,cost_label,trial_or_free_route,student_verdict_before_2_oct,url,access_date
AirDNA free monthly US/Europe Market Review,"STR demand nights, listings, occupancy, ADR, RevPAR y/y plus 1-2 month forward pacing. Europe Jul-26: nights +0.8% to 61.7m, ADR +8.2% to EUR159.20, RevPAR +7.7%, Sep pacing +6.9%","monthly, 12-14 day lag (Jul published 12-14 Aug; Sep due mid-Oct)",Free,VENDOR-PUBLISHED,"Free, no login. US and Europe only",YES. Best free vendor item. Jul and Aug actuals; the Aug report's forward pacing is the only pre-pitch read on September,https://www.airdna.co/monthly-market-review,2026-09-11
AirDNA MarketMinder,Market-level monthly occupancy/ADR/RevPAR/revenue/listings with CSV export and 36-month history,"monthly, ~1 week lag","$125/mo month-to-month, $400/yr annual",VENDOR-PUBLISHED,Free tier gives 12 months history; only advertised trial is Adapt 30 days; no student programme found,"Affordable but gives markets not a global aggregate, and still no September",https://www.airdna.co/pricing,2026-09-11
Rabbu,"US market ADR/occupancy/RevPAN defined FORWARD 30 days, not realised history","weekly refresh, forward window",Free,VENDOR-PUBLISHED,Free,"NO. No realised series, no y/y",https://www.rabbu.com/airbnb-data,2026-09-11
STR/CoStar free weekly releases,"US occupancy/ADR/RevPAR and y/y, Top 25 markets. Week ending 5 Sep: occ 63.0% (+9.4%), ADR $159.19 (+6.1%), RevPAR $100.31 (+16.1%)","weekly, ~6 day lag",Free,VENDOR-PUBLISHED,"Free; republished on lodgingmagazine.com, hospitalitynet.org, hotel-online.com, hotelbusiness.com",YES. The only source covering all of Jul-Sep before 2 Oct. But the team's own peer study found hotels do not read through to ABNB,https://www.costar.com/products/str-benchmark/resources/press-releases,2026-09-11
STR/CoStar free monthly releases,"US monthly occupancy/ADR/RevPAR. Jul-26: occ 69.7% (+2.3%), ADR $171.74 (+5.7%), RevPAR $119.77 (+8.2%)","monthly, ~26 day lag (Jul published 26 Aug, Aug due ~23 Sep)",Free,VENDOR-PUBLISHED,Free,PARTIAL. Jul and Aug by 2 Oct; September only via weeklies,https://lodgingmagazine.com/costar-reports-positive-u-s-hotel-industry-performance-results-in-july/,2026-09-11
STR/CoStar Benchmark (STAR),Property and market benchmarking,daily to monthly,"not publicly quoted; ""$750/yr entry"" (HotelMinder), ""$600 one-off Trend Analysis"" (Engine)",THIRD-PARTY BAND,Demo only; access is TIED TO SUBMITTING your own hotel data so students are structurally ineligible,NO,https://www.hotelminder.com/partner=STR,2026-09-11
STR academic (former SHARE Center),Classroom and sample data,ad hoc,not quoted,NOT QUOTED,"RENAMED. SHARE Center URL redirects to ""CoStar Group Academic Engagement"", faculty-routed",NO. Three-week runway and no-redistribution terms,https://elearning.costar.com/about,2026-09-11
Similarweb free tier,"airbnb.com monthly visits, bounce rate, pages/visit, global rank, country mix. No app data. Free tile shows 127.9m visits last 3 months","monthly, released BY THE 10TH of the following month",Free,VENDOR-PUBLISHED,Free page plus Chrome extension; 7-day trial capped at 15 actions/day,NO for September. The September figure lands ~10 Oct. Jul and Aug only,https://www.similarweb.com/website/airbnb.com/,2026-09-11
Similarweb paid,"Per-month and daily visits (72h lag), app MAU/DAU",monthly and daily,"not on the vendor pricing page. Starter $125/mo annual, Professional ~$333/mo, Team ~$14k/yr, Enterprise $50-200k+ (saasodds, vendr)",THIRD-PARTY BAND,7-day trial,NO. Buying does not move the September release date,https://www.similarweb.com/corp/pricing/,2026-09-11
Similarweb Stock Intelligence / Digital 100,"Ticker-mapped daily and weekly traffic plus app MAU/DAU, travel expert reports",daily to monthly,"""Talk to sales"", no prices published",NOT QUOTED,Digital 100 free (annual),NO. The product that would answer this is institutionally priced,https://www.similarweb.com/packages/stock/,2026-09-11
Sensor Tower (owns data.ai),"Airbnb app downloads; DAU/MAU via a separate paid module. App-store REVENUE is near-useless for ABNB (off-store checkout)","no public lag spec, daily granular","not publicly quoted. Vendr: median $75,000/yr, range $29.5k-$115.5k, n=40 deals",THIRD-PARTY BAND,"Limited free account (top charts only); free State of Mobile 2026 covers CY2025 only; Q3 Digital Market Index lands after 5 Nov; no academic programme",NO. Sales-gated annual contracts and no free artifact covers Jul-Sep 2026,https://www.vendr.com/marketplace/sensor-tower,2026-09-11
Appfigures,"Airbnb daily download estimates across 100 countries. MAPE 5-25%; iPhone only, no iPad",daily,"Optimize $149.99/mo, or $119.99/mo billed annually",VENDOR-PUBLISHED,"Free Starter tier shows ""last month"" only; trial length not published",YES. The only realistic buy: about $150 for one month gives the full Jul 1 to ~Sep 30 daily series pullable on 2 Oct,https://appfigures.com/platform/pricing,2026-09-11
Placer.ai,Nothing direct (no ABNB physical estate). Free hotel visit index only,free view STOPS AT DEC 2024 (~21 months stale),"not publicly quoted; growthfactor.ai audited circulating figures and found none traceable to a primary source",THIRD-PARTY BAND (unsourced),"Free tier plus ""Data for Good"" education access, no formal application",NO. Wrong asset and a stale free view,https://www.placer.ai/anchor/industry-trends/hotels,2026-09-11
Revelio Labs,"ABNB monthly headcount, inflows/outflows, hiring and attrition, job postings, WARN","monthly, near-current","AWS Marketplace $85,000 per 12-month contract; academic tier ""discounted, project-specific"" with no figure",VENDOR-PUBLISHED,"AWS Data Exchange $0 TRIAL LISTING with no end date (10k+ companies, 2008-present, Parquet); also on WRDS (6 products)",YES but for the cost and margin leg only. Zero read-through to nights/ADR/GBV. The public ABNB page is stale at Mar 2026,https://aws.amazon.com/marketplace/pp/prodview-r33ewahy5tv62,2026-09-11
Thinknum,"Job listings, app-store ratings and reviews, monthly web traffic. ""Properties"" covers only 32 public companies, ABNB unconfirmed (page 404s)",cadence not stated,"not publicly quoted. Software directory ""from $16,800/user/yr""",THIRD-PARTY BAND,"Free trial, no card, length unpublished",MARGINAL TO NO. Sales-qualified and the datasets are demand-irrelevant,https://www.thinknum.com/datasets/all,2026-09-11
Nasdaq Data Link,"NOTHING. Filtering the live catalogue by Free today returns exactly one product, a Carbon Removal Issuance Calendar",n/a,n/a,n/a,"Free API key, but /api/v3/databases.json returns 410 GONE, legacy series bot-blocked, docs 404",NO. The Quandl free catalogue is gone and there is no travel or lodging data at any price here,https://data.nasdaq.com/search,2026-09-11
Consumer Edge (also owns Earnest),"US and EUR card spend at Airbnb, ticker-tagged. SPLITS TRANSACTION COUNT from AVERAGE TICKET, i.e. a true nights proxy and a true ADR proxy. 110m+ cards",T+3 days,"not publicly quoted. $150k+ (altdata.wiki)",THIRD-PARTY BAND,"Gated Dash trial; free Insight Flash blog live to 4 Sep 2026; academic access via Dewey Data",NO. Dewey publishes no recency spec and academic redistributions are normally embargoed,https://consumeredge.com/products/transact/,2026-09-11
"Dewey Data (academic reseller of Consumer Edge, Advan, SafeGraph, Similarweb)","Consumer Edge US ticker card panel from 2014, consistent y/y from 2019",NO RECENCY OR LAG SPEC PUBLISHED,"Researcher plan $3,600/yr; Department tier $25,000/yr (search snippet, unverified on page)","VENDOR-PUBLISHED (researcher) / THIRD-PARTY BAND (department)","Institutional. UF is NOT a known subscriber; FSU has an institutional pilot; UChicago Kilts offers CE to faculty/PhD/postdoc only","NO. Paid and with no recency guarantee it would not solve a nowcast",https://www.deweydata.io/pricing,2026-09-11
Earnest Analytics,"ACQUIRED BY CONSUMER EDGE 28 Apr 2025. No travel or lodging coverage advertised",1-day minimum lag,"not publicly quoted; $150k+ band",THIRD-PARTY BAND,"Dash signup behind an Okta SSO wall; FREE BLOG DORMANT, newest post 16 Apr 2025, zero travel posts",NO. Same vendor as Consumer Edge now,https://www.earnestanalytics.com/insights,2026-09-11
Bloomberg Second Measure,US card panel mapped to ABNB brand sales,"daily, 2/3/7-day lag tiers","not publicly quoted; $150k+ band",THIRD-PARTY BAND,"Free Data Points blog online but newest post 24 May 2024",NO. KEY VERIFICATION: BSM is NOT bundled in a standard Terminal seat; it ships via Data License/entitlements. Base ALTD gives 7-14 day KPI nowcasts (3-5 days only with paid entitlements),https://www.prnewswire.com/news-releases/302672684.html,2026-09-11
Facteus,"185m+ cards. AIRBNB IS A TRACKED BRAND with both sales AND transaction counts","1-day lag option, ~99% fill by T+3","not publicly quoted; $150k+ band. AWS backtest listings $0","THIRD-PARTY BAND / VENDOR-PUBLISHED ($0 AWS)","Free per-brand Airbnb page exists but is a static snapshot stamped ""Data As Of 2026-01-07"" with Dec 2025 as the latest month",NO for 3Q26 but the most sample-friendly vendor; worth one academic-evaluation email,https://www.facteus.com/data/brand-insights/airbnb,2026-09-11
Affinity Solutions,"150m+ cards, positioned for marketing measurement. NO ticker-level investor product",not disclosed,"not publicly quoted; $150k+ band",THIRD-PARTY BAND,"OPPORTUNITY INSIGHTS ROUTE IS CLOSED: the tracker still updates Job Postings and UI Claims (commits 8 Sep 2026) but the Affinity spend file last updated 25 Jun 2024, and its only lodging-ish series bundles accommodation WITH food services",NO,https://github.com/OpportunityInsights/EconomicTracker,2026-09-11
YipitData,40+ always-on panels mapped to tickers,"""near real time"", no lag published","not publicly quoted. ""High six figures annually"" (paradoxintelligence); $150k+ band",THIRD-PARTY BAND,"SEARCHED HARD: no free 2026 ABNB commentary of any kind. Press page is retail and beauty only; blog has zero travel/OTA/lodging posts; no academic programme",NO. DOWNGRADE THE PRIOR: the public footprint suggests travel/OTA is not a marketed coverage area,https://www.yipitdata.com/press,2026-09-11
M Science (Jefferies),"1,400+ companies and the verticals DO include Online Travel. ABNB coverage unconfirmable (list behind a lead-gen form)","NOT DISCLOSED; altdata.wiki notes M Science publishes no sampling, lag or revision spec","not publicly quoted; $150k+ band",THIRD-PARTY BAND,"Blog thin and off-topic (newest 19 Aug 2026, no travel). Free newsletter HAS an ""Online Travel"" sector option",NO for data. Two free two-minute actions: the newsletter and the coverage-list form,https://www.mscience.com/coverage,2026-09-11
