dataset,coverage_dates_of_the_data,geography,fields,licence,useful_for_3q26,url,access_date,note
Inside Airbnb August 2026 batch (on the CDN, mostly NOT linked on get-the-data),"scrapes 10-31 Aug 2026; reviews through 30 Aug 2026; price quotes for check-ins 20-29 Aug 2026; calendar forward Aug 2026 to Aug 2027","86 of 122 markets incl. NYC, LA, SF, Portland, New Orleans, Austin, Hawaii, Chicago, Boston, Nashville, Clark County NV, Denver, London, Paris, Amsterdam, Barcelona, Madrid, Rome, Milan, Lisbon, Berlin, Vienna, Prague, Dublin, Singapore, Taipei, Hong Kong, Sydney, Melbourne, Toronto, Montreal, Vancouver","90-column listings incl. new 2026 price_quote_checkin_date / checkout_date / total_price / price_per_night, number_of_reviews_l30d / _ltm / _ly, availability_30/60/90/365, estimated_occupancy_l365d, estimated_revenue_l365d",CC BY 4.0,YES. The only material public source with in-quarter 3Q26 rows,https://data.insideairbnb.com/<market>/<YYYY-MM-DD>/data/listings.csv.gz,2026-09-11,"Files downloaded and schemas verified. The team's on-disk wave is alphabetically truncated (A-I plus NYC) and is missing ~37 markets including LA, SF, Chicago, Boston, London, Paris, Barcelona, Singapore, Sydney, Toronto"
Inside Airbnb September 2026,n/a,n/a,n/a,n/a,"NO. Does not exist. All 122 market paths range-probed for 1-10 Sep 2026, zero hits",probe,2026-09-11,September is genuinely unobservable and must be forecast rather than measured
"Zenodo: Six US STR Markets, Inside Airbnb Summary Listings, 90,169 rows (Matchbook Labs)",scrape run 22 Jun to 10 Aug 2026,"Austin, Nashville, Denver, NYC, Clark County NV, San Diego",12 analytic columns incl. price per night and review velocity,CC BY 4.0,PARTLY. A pre-cleaned subset of the Inside Airbnb batch above,https://doi.org/10.5281/zenodo.22643189,2026-09-11,
Zenodo: Pittsburgh STR Census (Van to Vault),31 Aug 2026 direct scrape,4 Pittsburgh neighbourhoods,"275 listings, observed 2-night rates",CC BY 4.0,"NO. Freshest date found but only 273-275 listings, far too small",https://doi.org/10.5281/zenodo.22258182,2026-09-11,
OpenDataSoft: Bologna rilevazione Airbnb,"max last_review 2 Jul 2026. The portal's ""modified 7 Sep 2026"" stamp is MISLEADING","Bologna, 4,954 listings",Inside Airbnb summary schema,CC BY 4.0,"NO. Textbook recent-upload, old-data trap",https://data.opendatasoft.com/explore/dataset/bologna-rilevazione-airbnb,2026-09-11,
Hugging Face kraina/airbnb_multicity,data collected Jun 2022 to May 2023 (modified 17 May 2026),"80 cities, 3.1m records","geo, price, availability, reviews",CC BY 4.0,NO,https://huggingface.co/datasets/kraina/airbnb_multicity,2026-09-11,
"Hugging Face parag08/airbnb_listings_full, sanatbhatia/airbnb-price-data","NO DATE FIELDS AT ALL; schemas match 2018-21 and ~2017 Kaggle sets (uploaded Jul/Aug 2026)",10 EU cities / unstated US,"price, capacity, text",not stated / none,NO,https://huggingface.co/datasets/parag08/airbnb_listings_full,2026-09-11,
Hugging Face Qarlsberg/AirbnbSthlm202503list,last_scraped 24 Mar 2025,"Stockholm, 5,132 listings",full Inside Airbnb detailed schema,unknown,NO,https://huggingface.co/datasets/Qarlsberg/AirbnbSthlm202503list,2026-09-11,
Harvard Dataverse (32 results),"newest is ""Does Puffery Sell?"" (published Apr 2026, Inside Airbnb sourced, coverage not stated); the rest are 2014-2021",scattered,varies,"varies, several academic-use-only",NO,https://dataverse.harvard.edu/api/search?q=airbnb,2026-09-11,
ICPSR / openICPSR,n/a,n/a,n/a,n/a,"NO. ZERO studies returned for ""airbnb""",https://www.icpsr.umich.edu/web/ICPSR/search/studies?q=airbnb,2026-09-11,
data.world,n/a,n/a,n/a,n/a,"NO. The Open Data Community was RETIRED 13 July 2026 and datasets are no longer accessible",https://data.world/search?q=airbnb,2026-09-11,
GitHub (3 searches),recently-pushed repos bundle 2023-2025 Inside Airbnb snapshots as inputs,various,n/a,various,"NO. Code, not data; no 2026 mirror found",https://api.github.com/search/repositories,2026-09-11,
Tom Slee archive,n/a,n/a,n/a,n/a,NO. GONE, both data paths 404,https://tomslee.net/airbnb-data-collection-get-the-data,2026-09-11,
AirROI data portal,"tiles marked ""Updated: Jul 30, 2026""","""major markets""","4 aggregate metrics, view only","no open licence; API $0.01/call","MARGINAL. No free download, no methodology, unknown trailing window",https://www.airroi.com/data-portal,2026-09-11,
Kaggle,"UNVERIFIED. Titles surfaced (""Airbnb Singapore 2024-2025"", ""Airbnb Listings and Reviews"" updated Mar 2024, NYC-2019, Seattle/Boston, 2017 price-prediction)",various,various,various,"UNCONFIRMED. Pages are JS-rendered and the search budget was exhausted. NO title claims 2026",https://www.kaggle.com/datasets?search=airbnb,2026-09-11,Gap flagged rather than guessed
Zenodo full sweep,n/a,n/a,n/a,n/a,"PARTIAL. The Zenodo API returned 403 ""unusual traffic""; the two 2026 records above were reached via OpenAlex",https://zenodo.org/api/records?q=airbnb,2026-09-11,A fuller sweep is still owed
