series,url,file,bytes,http_status,access_date,frequency,coverage_end,measures,basis,nearest_abnb_series,comment
bls_CUSR0000SEHB,https://api.bls.gov/publicAPI/v2/timeseries/data/CUSR0000SEHB,raw\bls_cpi_travel_monthly.csv,33342,200,2026-09-11,monthly,2026-08,"CPI lodging away from home, SA","price index, US urban","ADR (US, price only)","public BLS API, no key; Aug 2026 print released 11 Sep 2026"
bls_CUUR0000SEHB,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEHB,raw\bls_cpi_travel_monthly.csv,33342,200,2026-09-11,monthly,2026-08,"CPI lodging away from home, NSA","price index, US urban","ADR (US, price only)","public BLS API, no key; Aug 2026 print released 11 Sep 2026"
bls_CUSR0000SETG01,https://api.bls.gov/publicAPI/v2/timeseries/data/CUSR0000SETG01,raw\bls_cpi_travel_monthly.csv,33342,200,2026-09-11,monthly,2026-08,"CPI airline fares, SA","price index, US urban",none direct; airfare cost of travel,"public BLS API, no key; Aug 2026 print released 11 Sep 2026"
bls_CUSR0000SA0,https://api.bls.gov/publicAPI/v2/timeseries/data/CUSR0000SA0,raw\bls_cpi_travel_monthly.csv,33342,200,2026-09-11,monthly,2026-08,"CPI all items, SA",price index,deflator,"public BLS API, no key; Aug 2026 print released 11 Sep 2026"
bls_CUUR0000SS62031,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SS62031,raw\bls_cpi_travel_monthly.csv,33342,200,2026-09-11,monthly,2026-08,"CPI other lodging away from home incl hotels/motels, NSA",price index,"ADR (US, price only)","public BLS API, no key; Aug 2026 print released 11 Sep 2026"
ine_10821,https://servicios.ine.es/wstempus/js/EN/DATOS_TABLA/10821?nult=200,raw\ine_frontur_visitors_monthly.csv,106687,200,2026-09-11,monthly,2026-07,"Frontur visitors by typology, national total",arrivals (border survey),Europe nights (EMEA proxy),"INE tempus3 JSON API, 12 series"
ine_75719,https://servicios.ine.es/wstempus/js/EN/DATOS_TABLA/75719?nult=200,raw\ine_frontur_by_country_monthly.csv,666244,200,2026-09-11,monthly,2026-07,Frontur tourists by country of residence,arrivals,"Europe nights, US-to-Europe mix","INE tempus3 JSON API, 64 series"
ine_2009,https://servicios.ine.es/wstempus/js/EN/DATOS_TABLA/2009?nult=200,raw\ine_hotel_overnight_monthly.csv,817349,200,2026-09-11,monthly,2026-07,EOH hotel guests and overnight stays by category,hotel nights,nights (hotel substitute),"INE tempus3 JSON API, 48 series"
eurostat_tour_ce_omr,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/tour_ce_omr?format=JSON&lang=EN&geo=EU27_2020,raw\eurostat_tour_ce_omr_eu27.csv,42061,200,2026-09-11,monthly,2026-03,"EU27 guest nights booked through collaborative platforms (Airbnb, Booking, Expedia, TripAdvisor)",platform nights,"nights (EU only, the closest public analogue to ABNB nights)",dataset 'updated' tag 2026-07-02T11:00:00+0200; experimental statistics; structural lag
jnto_landing,https://www.jnto.go.jp/statistics/data/visitors-statistics/,raw\jnto_f95dc8.html,40971,200,2026-09-11,monthly,,Japan inbound visitor arrivals landing page,arrivals,APAC nights (Japan only),HTML landing cache; Excel links extracted by hand
jnto_landing,https://statistics.jnto.go.jp/en/graph/,raw\jnto_5d454d.html,295912,200,2026-09-11,monthly,,Japan inbound visitor arrivals landing page,arrivals,APAC nights (Japan only),HTML landing cache; Excel links extracted by hand
jnto_landing,https://www.jnto.go.jp/statistics/data/,raw\jnto_a592e5.html,33135,200,2026-09-11,monthly,,Japan inbound visitor arrivals landing page,arrivals,APAC nights (Japan only),HTML landing cache; Excel links extracted by hand
tsa_checkpoint_daily,https://www.tsa.gov/travel/passenger-volumes,raw\tsa_checkpoint_daily.csv,55892,200,2026-09-11,daily,2026-09-10,US TSA checkpoint passengers screened (departures+connections),"traveller count, US airports only","nights (weak), Seats Booked (directional)",full history 2019-present; one row per day; includes non-leisure and connecting pax
jnto_landing_f95dc8,https://www.jnto.go.jp/statistics/data/visitors-statistics/,raw\jnto_f95dc8.html,40971,200,2026-09-11,monthly,2026-07,Japan inbound visitor arrivals landing page,arrivals,APAC nights (Japan only),HTML landing cache; Excel links extracted by hand
jnto_landing_5d454d,https://statistics.jnto.go.jp/en/graph/,raw\jnto_5d454d.html,295912,200,2026-09-11,monthly,2026-07,Japan inbound visitor arrivals landing page,arrivals,APAC nights (Japan only),HTML landing cache; Excel links extracted by hand
jnto_landing_a592e5,https://www.jnto.go.jp/statistics/data/,raw\jnto_a592e5.html,33135,200,2026-09-11,monthly,2026-07,Japan inbound visitor arrivals landing page,arrivals,APAC nights (Japan only),HTML landing cache; Excel links extracted by hand
ntto_ntto_monthly_arrivals_2000_present_COR.xlsx,https://www.trade.gov/sites/default/files/2024-06/Monthly%20Arrivals%202000%20to%20Present%20%E2%80%93%20Country%20of%20Residence%20%28COR%29_1.xlsx,raw\ntto_monthly_arrivals_2000_present_COR.xlsx,1473973,200,2026-09-11,monthly,2026-07,overseas visitor arrivals to the US by country of residence,"arrivals (I-94, overnight stays, selected visa classes)",North America nights inbound component only,history file as posted Jun 2024
