feature,target,window,x_3q26,pred_3q26,naive_3q26,note,insample_resid_sd,wf_ratio_vs_naive,wf_n,knowable
hlt_revpar_full,nights_m_yoy_pct,2023Q1..2026Q2,,,10.342,feature not observable for 2026Q3,,,,
mar_revpar_full,nights_m_yoy_pct,2023Q1..2026Q2,,,10.342,feature not observable for 2026Q3,,,,
cpi_lodging_sa_full,nights_m_yoy_pct,2023Q1..2026Q2,,,10.342,feature not observable for 2026Q3,,,,
ntto_total_full,nights_m_yoy_pct,2023Q1..2026Q2,,,10.342,feature not observable for 2026Q3,,,,
ntto_total_qtd1m,nights_m_yoy_pct,2023Q1..2026Q2,,,10.342,feature not observable for 2026Q3,,,,
cpi_lodging_nsa_full,nights_m_yoy_pct,2023Q1..2026Q2,,,10.342,feature not observable for 2026Q3,,,,
ntto_overseas_qtd1m,nights_m_yoy_pct,2023Q1..2026Q2,-7.022403187473792,9.17284962327044,10.342,in-sample fit on full window,1.845130604588626,0.7429262430524233,10.0,yes (Sep prelim mid-Oct 2026)
bkng_nights_full,nights_m_yoy_pct,2023Q1..2026Q2,,,10.342,feature not observable for 2026Q3,,,,
mar_revpar_full,nights_m_yoy_pct,2022Q1..2026Q2,,,10.342,feature not observable for 2026Q3,,,,
ntto_total_full,nights_m_yoy_pct,2022Q1..2026Q2,,,10.342,feature not observable for 2026Q3,,,,
ntto_weurope_qtd1m,nights_m_yoy_pct,2023Q1..2026Q2,-10.472842885034384,9.404084251518066,10.342,in-sample fit on full window,2.005582797205905,0.7807456776624102,10.0,yes (Sep prelim mid-Oct 2026)
ntto_overseas_full,nights_m_yoy_pct,2023Q1..2026Q2,,,10.342,feature not observable for 2026Q3,,,,
es_hotel_nights_foreign_qtd1m,nights_m_yoy_pct,2023Q1..2026Q2,1.063163717507054,9.137846298471066,10.342,in-sample fit on full window,1.699526846421493,0.8388781563746206,10.0,tight (INE Sep release ~3 Nov 2026)
ntto_overseas_full,nights_m_yoy_pct,2022Q1..2026Q2,,,10.342,feature not observable for 2026Q3,,,,
bkng_nights_full,nights_m_yoy_pct,2022Q1..2026Q2,,,10.342,feature not observable for 2026Q3,,,,
ntto_weurope_full,nights_m_yoy_pct,2022Q1..2026Q2,,,10.342,feature not observable for 2026Q3,,,,
ntto_weurope_full,nights_m_yoy_pct,2023Q1..2026Q2,,,10.342,feature not observable for 2026Q3,,,,
es_frontur_tourists_qtd1m,nights_m_yoy_pct,2023Q1..2026Q2,4.644325885549794,9.334166217207159,10.342,in-sample fit on full window,1.686578112667977,0.8588676343591788,10.0,tight (INE Sep release ~3 Nov 2026)
es_frontur_tourists_full,nights_m_yoy_pct,2023Q1..2026Q2,,,10.342,feature not observable for 2026Q3,,,,
es_hotel_travellers_qtd1m,nights_m_yoy_pct,2023Q1..2026Q2,1.3184192407809991,9.48973610953371,10.342,in-sample fit on full window,1.8148643337191628,0.8774572610475078,10.0,tight (INE Sep release ~3 Nov 2026)
es_hotel_nights_qtd1m,nights_m_yoy_pct,2023Q1..2026Q2,0.3331932518175762,9.283631853390677,10.342,in-sample fit on full window,1.7958501669044415,0.8843749336987866,10.0,tight (INE Sep release ~3 Nov 2026)
es_hotel_travellers_full,revenue_musd_yoy_pct,2023Q1..2026Q2,,,16.537,feature not observable for 2026Q3,,,,
es_frontur_visitors_qtd1m,nights_m_yoy_pct,2023Q1..2026Q2,1.9608437172606852,8.690625399767915,10.342,in-sample fit on full window,1.8139033249160337,0.9024547681353938,10.0,tight (INE Sep release ~3 Nov 2026)
