feature,target,window,n,wf_n,pearson_r,perm_p,wf_ratio_vs_naive,wf_ratio_vs_ar1,wf_sign_acc,knowable_before_print
hlt_revpar_full,nights_m_yoy_pct,2023Q1..2026Q2,14,10,0.8788142685119863,0.0,0.6652686009580223,0.6315951400478058,0.6,yes (HLT reports late Oct 2026)
mar_revpar_full,nights_m_yoy_pct,2023Q1..2026Q2,14,10,0.8779997092410977,0.0,0.6908940685006241,0.6559235402429344,0.7,yes (MAR reports ~4 Nov 2026)
cpi_lodging_sa_full,nights_m_yoy_pct,2023Q1..2026Q2,13,9,0.8293487309572133,0.0,0.7157815438262509,0.6723943503267746,0.7777777777777778,yes (Sep CPI 13 Oct 2026)
ntto_total_full,nights_m_yoy_pct,2023Q1..2026Q2,14,10,0.7834482286932694,0.0,0.719867550690566,0.68343049084165,0.7,yes (Sep prelim mid-Oct 2026)
ntto_total_qtd1m,nights_m_yoy_pct,2023Q1..2026Q2,14,10,0.795567552930028,0.0,0.7238596426865838,0.6872205177566099,0.6,yes (Sep prelim mid-Oct 2026)
cpi_lodging_nsa_full,nights_m_yoy_pct,2023Q1..2026Q2,13,9,0.8322581793547035,0.001,0.7330869352188727,0.6886507731179957,0.6666666666666666,yes (Sep CPI 13 Oct 2026)
ntto_overseas_qtd1m,nights_m_yoy_pct,2023Q1..2026Q2,14,10,0.7940547204894824,0.0,0.7429262430524233,0.705322036618249,0.6,yes (Sep prelim mid-Oct 2026)
bkng_nights_full,nights_m_yoy_pct,2023Q1..2026Q2,14,10,0.8951049295893371,0.0,0.7443903953532434,0.7067120788901315,0.6,yes (BKNG reports ~28 Oct 2026)
mar_revpar_full,nights_m_yoy_pct,2022Q1..2026Q2,18,14,0.936658890079992,0.0,0.7551861028945446,0.5467622629034974,0.6428571428571429,yes (MAR reports ~4 Nov 2026)
ntto_total_full,nights_m_yoy_pct,2022Q1..2026Q2,15,11,0.8758089051424525,0.0,0.760291414135076,0.5144230065567182,0.7272727272727273,yes (Sep prelim mid-Oct 2026)
ntto_weurope_qtd1m,nights_m_yoy_pct,2023Q1..2026Q2,14,10,0.7506461212357117,0.002,0.7807456776624102,0.74122718991216,0.7,yes (Sep prelim mid-Oct 2026)
ntto_overseas_full,nights_m_yoy_pct,2023Q1..2026Q2,14,10,0.7363753777579781,0.004,0.7981383121672422,0.7577394729359801,0.6,yes (Sep prelim mid-Oct 2026)
es_hotel_nights_foreign_qtd1m,nights_m_yoy_pct,2023Q1..2026Q2,14,10,0.8285739438083806,0.01,0.8388781563746206,0.7964172153856174,0.5,tight (INE Sep release ~3 Nov 2026)
ntto_overseas_full,nights_m_yoy_pct,2022Q1..2026Q2,15,11,0.8442235055471542,0.0,0.8399102783432142,0.5682941600948336,0.6363636363636364,yes (Sep prelim mid-Oct 2026)
bkng_nights_full,nights_m_yoy_pct,2022Q1..2026Q2,18,14,0.9661603487262848,0.0,0.843076425011571,0.6103957318243802,0.6428571428571429,yes (BKNG reports ~28 Oct 2026)
ntto_weurope_full,nights_m_yoy_pct,2022Q1..2026Q2,15,11,0.8653719926631827,0.002,0.8456554244543162,0.5721814002775244,0.7272727272727273,yes (Sep prelim mid-Oct 2026)
ntto_weurope_full,nights_m_yoy_pct,2023Q1..2026Q2,14,10,0.7533443984881929,0.018,0.8495274750191689,0.806527504509486,0.7,yes (Sep prelim mid-Oct 2026)
es_frontur_tourists_qtd1m,nights_m_yoy_pct,2023Q1..2026Q2,14,10,0.8314404254984576,0.006,0.8588676343591788,0.8153948991797398,0.6,tight (INE Sep release ~3 Nov 2026)
es_frontur_tourists_full,nights_m_yoy_pct,2023Q1..2026Q2,14,10,0.8308500605313042,0.003,0.8771456766059503,0.8327477738472424,0.5,tight (INE Sep release ~3 Nov 2026)
es_hotel_travellers_qtd1m,nights_m_yoy_pct,2023Q1..2026Q2,14,10,0.8015889144677764,0.017,0.8774572610475078,0.833043587025136,0.5,tight (INE Sep release ~3 Nov 2026)
