quarter,origin,role,metric,register_id,vendor,as_of_timestamp,pit_usable,vendor_attributed,source_value,unit,source_note,source_path,url,exclusion,vendor_name_missing,explicit_intraday_stamp
2021Q4,2021-11-04,pre_guide,revenue,PG-2021Q4-revenue,,,False,False,,musd,vintage_unknown: no contemporaneous next-quarter consensus retrievable; excluded from PIT use,data/processed/overnight/16_consensus_at_print_merged.csv,,pit_usable_false|vendor_unattributed|missing_timestamp|invalid_value,True,False
2021Q4,2021-11-04,at_print,gbv,AP-2021Q3-gbv,vendor_not_recorded,2021-11-04,True,True,12.31,busd,consensus quoted on the print-day article; confidence=high,data/processed/overnight/16_consensus_at_print_merged.csv,,,True,False
2021Q4,2021-11-04,at_print,revenue,AP-2021Q3-revenue,Refinitiv,2021-11-04,True,True,2050.0,musd,consensus quoted on the print-day article; confidence=high,data/processed/overnight/16_consensus_at_print_merged.csv,,,False,False
2022Q1,2022-02-15,pre_guide,revenue,PG-2022Q1-revenue,CNBC unattributed,2022-02-15,True,False,1240.0,musd,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline.",data/processed/overnight/16_consensus_at_print_merged.csv,,vendor_unattributed,False,False
2022Q1,2022-02-15,at_print,gbv,AP-2021Q4-gbv,vendor_not_recorded,2022-02-15,True,True,11.08,busd,consensus quoted on the print-day article; confidence=medium,data/processed/overnight/16_consensus_at_print_merged.csv,,,True,False
2022Q1,2022-02-15,at_print,revenue,AP-2021Q4-revenue,Refinitiv,2022-02-15,True,True,1460.0,musd,consensus quoted on the print-day article; confidence=medium,data/processed/overnight/16_consensus_at_print_merged.csv,,,False,False
2022Q2,2022-05-03,pre_guide,revenue,PG-2022Q2-revenue,CNBC unattributed,2022-05-03,True,False,1960.0,musd,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline.",data/processed/overnight/16_consensus_at_print_merged.csv,,vendor_unattributed,False,False
2022Q2,2022-05-03,at_print,gbv,AP-2022Q1-gbv,vendor_not_recorded,2022-05-03,True,True,16.54,busd,consensus quoted on the print-day article; confidence=high,data/processed/overnight/16_consensus_at_print_merged.csv,,,True,False
2022Q2,2022-05-03,at_print,revenue,AP-2022Q1-revenue,Refinitiv,2022-05-03,True,True,1450.0,musd,consensus quoted on the print-day article; confidence=high,data/processed/overnight/16_consensus_at_print_merged.csv,,,False,False
2022Q3,2022-08-02,pre_guide,revenue,PG-2022Q3-revenue,StreetAccount,2022-08-02,True,True,2770.0,musd,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline.",data/processed/overnight/16_consensus_at_print_merged.csv,,,False,False
2022Q3,2022-08-02,at_print,revenue,AP-2022Q2-revenue,Refinitiv,2022-08-02,True,True,2110.0,musd,consensus quoted on the print-day article; confidence=high,data/processed/overnight/16_consensus_at_print_merged.csv,,,False,False
2022Q4,2022-11-01,pre_guide,revenue,PG-2022Q4-revenue,Refinitiv,2022-11-01,True,True,1850.0,musd,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline.",data/processed/overnight/16_consensus_at_print_merged.csv,,,False,False
2022Q4,2022-11-01,at_print,revenue,AP-2022Q3-revenue,Refinitiv,2022-11-01,True,True,2800.0,musd,consensus quoted on the print-day article; confidence=medium,data/processed/overnight/16_consensus_at_print_merged.csv,,,False,False
2023Q1,2023-02-14,pre_guide,revenue,PG-2023Q1-revenue,Refinitiv,2023-02-14,True,True,1690.0,musd,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline.",data/processed/overnight/16_consensus_at_print_merged.csv,,,False,False
2023Q1,2023-02-14,at_print,revenue,AP-2022Q4-revenue,Refinitiv,2023-02-14,True,True,1860.0,musd,consensus quoted on the print-day article; confidence=high,data/processed/overnight/16_consensus_at_print_merged.csv,,,False,False
2023Q2,2023-05-09,pre_guide,revenue,PG-2023Q2-revenue,Refinitiv,2023-05-09,True,True,2420.0,musd,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline.",data/processed/overnight/16_consensus_at_print_merged.csv,,,False,False
2023Q2,2023-05-09,at_print,revenue,AP-2023Q1-revenue,Refinitiv,2023-05-09,True,True,1790.0,musd,consensus quoted on the print-day article; confidence=high,data/processed/overnight/16_consensus_at_print_merged.csv,,,False,False
2023Q3,2023-08-03,pre_guide,revenue,PG-2023Q3-revenue,Refinitiv,2023-08-03,True,True,3220.0,musd,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline.",data/processed/overnight/16_consensus_at_print_merged.csv,,,False,False
2023Q3,2023-08-03,at_print,gbv,AP-2023Q2-gbv,vendor_not_recorded,2023-08-03,True,True,18.99,busd,consensus quoted on the print-day article; confidence=high,data/processed/overnight/16_consensus_at_print_merged.csv,,,True,False
2023Q3,2023-08-03,at_print,revenue,AP-2023Q2-revenue,Refinitiv,2023-08-03,True,True,2420.0,musd,consensus quoted on the print-day article; confidence=high,data/processed/overnight/16_consensus_at_print_merged.csv,,,False,False
2023Q4,2023-11-01,pre_guide,revenue,PG-2023Q4-revenue,LSEG,2023-11-01,True,True,2180.0,musd,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline.",data/processed/overnight/16_consensus_at_print_merged.csv,,,False,False
2023Q4,2023-11-01,at_print,revenue,AP-2023Q3-revenue,LSEG,2023-11-01,True,True,3370.0,musd,consensus quoted on the print-day article; confidence=high,data/processed/overnight/16_consensus_at_print_merged.csv,,,False,False
2024Q1,2024-02-13,pre_guide,revenue,PG-2024Q1-revenue,LSEG,2024-02-13,True,True,2030.0,musd,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline.",data/processed/overnight/16_consensus_at_print_merged.csv,,,False,False
2024Q1,2024-02-13,at_print,revenue,AP-2023Q4-revenue,LSEG,2024-02-13,True,True,2170.0,musd,consensus quoted on the print-day article; confidence=high,data/processed/overnight/16_consensus_at_print_merged.csv,,,False,False
2024Q2,2024-05-08,pre_guide,revenue,PG-2024Q2-revenue,LSEG,2024-05-08,True,True,2740.0,musd,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline.",data/processed/overnight/16_consensus_at_print_merged.csv,,,False,False
2024Q2,2024-05-08,at_print,revenue,AP-2024Q1-revenue,LSEG,2024-05-08,True,True,2060.0,musd,consensus quoted on the print-day article; confidence=high,data/processed/overnight/16_consensus_at_print_merged.csv,,,False,False
2024Q3,2024-08-06,pre_guide,revenue,PG-2024Q3-revenue,LSEG,,False,True,3840.0,musd,"vintage_unknown: this value appears only in 16_consensus_at_print_merged.csv, is absent from 04_consensus_at_print.csv, carries no as-of timestamp or url, and the same row's notes column says NEXT-QUARTER CONSENSUS NOT FOUND. Registered for audit; excluded from every PIT use.",data/processed/overnight/16_consensus_at_print_merged.csv,,pit_usable_false|missing_timestamp,False,False
2024Q3,2024-08-06,at_print,revenue,AP-2024Q2-revenue,LSEG,2024-08-06,True,True,2740.0,musd,consensus quoted on the print-day article; confidence=medium,data/processed/overnight/16_consensus_at_print_merged.csv,,,False,False
2024Q4,2024-11-07,pre_guide,revenue,PG-2024Q4-revenue,LSEG,2024-11-07,True,True,2420.0,musd,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline.",data/processed/overnight/16_consensus_at_print_merged.csv,,,False,False
2024Q4,2024-11-07,at_print,gbv,AP-2024Q3-gbv,vendor_not_recorded,2024-11-07,True,True,19.9,busd,consensus quoted on the print-day article; confidence=high,data/processed/overnight/16_consensus_at_print_merged.csv,,,True,False
2024Q4,2024-11-07,at_print,revenue,AP-2024Q3-revenue,LSEG,2024-11-07,True,True,3720.0,musd,consensus quoted on the print-day article; confidence=high,data/processed/overnight/16_consensus_at_print_merged.csv,,,False,False
2025Q1,2025-02-13,pre_guide,revenue,PG-2025Q1-revenue,LSEG,2025-02-13,True,True,2300.0,musd,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline.",data/processed/overnight/16_consensus_at_print_merged.csv,,,False,False
2025Q1,2025-02-13,at_print,gbv,AP-2024Q4-gbv,vendor_not_recorded,2025-02-13,True,True,17.2,busd,consensus quoted on the print-day article; confidence=high,data/processed/overnight/16_consensus_at_print_merged.csv,,,True,False
2025Q1,2025-02-13,at_print,revenue,AP-2024Q4-revenue,LSEG,2025-02-13,True,True,2420.0,musd,consensus quoted on the print-day article; confidence=high,data/processed/overnight/16_consensus_at_print_merged.csv,,,False,False
2025Q2,2025-05-01,pre_guide,revenue,PG-2025Q2-revenue,LSEG,2025-05-01,True,True,3040.0,musd,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline.",data/processed/overnight/16_consensus_at_print_merged.csv,,,False,False
2025Q2,2025-05-01,at_print,revenue,AP-2025Q1-revenue,LSEG,2025-05-01,True,True,2260.0,musd,consensus quoted on the print-day article; confidence=high,data/processed/overnight/16_consensus_at_print_merged.csv,,,False,False
2025Q3,2025-08-06,pre_guide,revenue,PG-2025Q3-revenue,LSEG,2025-08-06,True,True,4050.0,musd,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline.",data/processed/overnight/16_consensus_at_print_merged.csv,,,False,False
2025Q3,2025-08-06,at_print,gbv,AP-2025Q2-gbv,vendor_not_recorded,2025-08-06,True,True,22.66,busd,consensus quoted on the print-day article; confidence=high,data/processed/overnight/16_consensus_at_print_merged.csv,,,True,False
2025Q3,2025-08-06,at_print,revenue,AP-2025Q2-revenue,LSEG,2025-08-06,True,True,3040.0,musd,consensus quoted on the print-day article; confidence=high,data/processed/overnight/16_consensus_at_print_merged.csv,,,False,False
2025Q4,2025-11-06,pre_guide,revenue,PG-2025Q4-revenue,LSEG,2025-11-06,True,True,2670.0,musd,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline.",data/processed/overnight/16_consensus_at_print_merged.csv,,,False,False
2025Q4,2025-11-06,at_print,gbv,AP-2025Q3-gbv,vendor_not_recorded,2025-11-06,True,True,21.9,busd,consensus quoted on the print-day article; confidence=high,data/processed/overnight/16_consensus_at_print_merged.csv,,,True,False
2025Q4,2025-11-06,at_print,revenue,AP-2025Q3-revenue,LSEG,2025-11-06,True,True,4080.0,musd,consensus quoted on the print-day article; confidence=high,data/processed/overnight/16_consensus_at_print_merged.csv,,,False,False
2026Q1,2026-02-12,pre_guide,revenue,PG-2026Q1-revenue,LSEG,2026-02-12,True,True,2530.0,musd,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline.",data/processed/overnight/16_consensus_at_print_merged.csv,,,False,False
2026Q1,2026-02-12,at_print,gbv,AP-2025Q4-gbv,vendor_not_recorded,2026-02-12,True,True,19.4,busd,consensus quoted on the print-day article; confidence=high,data/processed/overnight/16_consensus_at_print_merged.csv,,,True,False
2026Q1,2026-02-12,at_print,revenue,AP-2025Q4-revenue,LSEG,2026-02-12,True,True,2720.0,musd,consensus quoted on the print-day article; confidence=high,data/processed/overnight/16_consensus_at_print_merged.csv,,,False,False
2026Q2,2026-05-07,pre_guide,revenue,PG-2026Q2-revenue,LSEG,2026-05-07,True,True,3460.0,musd,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline.",data/processed/overnight/16_consensus_at_print_merged.csv,,,False,False
2026Q2,2026-05-07,at_print,gbv,AP-2026Q1-gbv,vendor_not_recorded,2026-05-07,True,True,27.82,busd,consensus quoted on the print-day article; confidence=high,data/processed/overnight/16_consensus_at_print_merged.csv,,,True,False
2026Q2,2026-05-07,at_print,revenue,AP-2026Q1-revenue,LSEG,2026-05-07,True,True,2620.0,musd,consensus quoted on the print-day article; confidence=high,data/processed/overnight/16_consensus_at_print_merged.csv,,,False,False
