quarter,guide_date,consensus,consensus_id,vendor,consensus_stamp,consensus_exclusion,actual_guide,actual_gap,actual_sign,panel_max_date,gbv_lag1_date,gbv_lag2_date,kernel_point,signal,future_lambda_signal,future_gbv_signal,both_future_signal,kernel_status,entry_date,excess_open_20d_pct,future_lambda_pct,future_lambda_date,lambda_pct,variant,training_quarters,n_train,lambda_max_date,cushion,cushion_n,cushion_quarters,cushion_max_date,knowable_from,a2_point_delta,a2_signal_delta
2021Q4,2021-11-04,,PG-2021Q4-revenue,,,pit_usable_false|vendor_unattributed|missing_timestamp|invalid_value,1435.0,,0,2021-11-04,2021-11-04,2021-08-12,,,,,,No realised guide cushion before as_of,2021-11-05,-6.194621873223526,,,,,,,,,,,,,,
2022Q1,2022-02-15,,PG-2022Q1-revenue,CNBC unattributed,2022-02-15,vendor_unattributed,1445.0,,0,2022-02-15,2022-02-15,2021-11-04,,,,,,No admissible same-season lambda observations: season=1; variant=ex_covid,2022-02-16,-8.829273885706257,,,,,,,,,,,,,,
2022Q2,2022-05-03,,PG-2022Q2-revenue,CNBC unattributed,2022-05-03,vendor_unattributed,2080.0,,0,2022-05-03,2022-05-03,2022-02-15,,,,,,No admissible same-season lambda observations: season=2; variant=ex_covid,2022-05-04,-19.319019616857812,13.811816192560176,2022-08-02,,,,,,,,,,,,
2022Q3,2022-08-02,2770.0,PG-2022Q3-revenue,StreetAccount,2022-08-02,,2830.0,2.166064981949467,1,2022-08-02,2022-08-02,2022-05-03,,,,,,No admissible same-season lambda observations: season=3; variant=ex_covid,2022-08-03,8.76111966277574,,,,,,,,,,,,,,
2022Q4,2022-11-01,1850.0,PG-2022Q4-revenue,Refinitiv,2022-11-01,,1840.0,-0.540540540540535,-1,2022-11-01,2022-11-01,2022-08-02,,,-0.34679706579542335,,-11.92476255192707,No admissible same-season lambda observations: season=4; variant=ex_covid,2022-11-02,-7.137323703791177,11.83817427385892,2023-02-14,,,,,,,,,,,,
2023Q1,2023-02-14,1690.0,PG-2023Q1-revenue,Refinitiv,2023-02-14,,1785.0,5.621301775147924,1,2023-02-14,2023-02-14,2022-11-01,,,4.067347357810824,,32.649224449040574,No admissible same-season lambda observations: season=1; variant=ex_covid,2023-02-15,-10.672748360077655,12.80281690140845,2023-05-09,,,,,,,,,,,,
2023Q2,2023-05-09,2420.0,PG-2023Q2-revenue,Refinitiv,2023-05-09,,2400.0,-0.8264462809917328,-1,2023-05-09,2023-05-09,2023-02-14,2435.665270113213,0.6473252112897843,0.3264792225744939,8.617555384559505,8.271301702446898,available,2023-05-10,-1.5214077445124374,13.767786549318762,2023-08-03,13.811816192560176,ex_covid,"[""2022Q2""]",1.0,2022-08-02,0.026388462129359525,6.0,"[""2021Q4"", ""2022Q1"", ""2022Q2"", ""2022Q3"", ""2022Q4"", ""2023Q1""]",2023-05-09,2023-05-09,0.0,0.0
2023Q3,2023-08-03,3220.0,PG-2023Q3-revenue,Refinitiv,2023-08-03,,3350.0,4.037267080745344,1,2023-08-03,2023-08-03,2023-05-09,,,2.0579840769115343,,-2.992667012218908,No admissible same-season lambda observations: season=3; variant=ex_covid,2023-08-04,-6.946247437404396,17.390784982935156,2023-11-01,,,,,,,,,,,,
2023Q4,2023-11-01,2180.0,PG-2023Q4-revenue,LSEG,2023-11-01,,2150.0,-1.3761467889908285,-1,2023-11-01,2023-11-01,2023-08-03,2141.4449187070622,-1.768581710685213,-1.320639752436903,-13.055495122742933,-12.659022258440567,available,2023-11-02,-4.421988877518124,11.892157154882781,2024-02-13,11.83817427385892,ex_covid,"[""2022Q4""]",1.0,2023-02-14,0.026388462129359525,8.0,"[""2021Q4"", ""2022Q1"", ""2022Q2"", ""2022Q3"", ""2022Q4"", ""2023Q1"", ""2023Q2"", ""2023Q3""]",2023-11-01,2023-11-01,0.0,0.0
2024Q1,2024-02-13,2030.0,PG-2024Q1-revenue,LSEG,2024-02-13,,2050.0,0.9852216748768461,1,2024-02-13,2024-02-13,2023-11-01,2051.9043840507834,1.0790336970829317,1.9935418544651862,25.68244960712338,26.81955609895976,available,2024-02-14,10.641186353226818,12.91864983001457,2024-05-08,12.80281690140845,ex_covid,"[""2023Q1""]",1.0,2023-05-09,0.025354589530774962,8.0,"[""2022Q1"", ""2022Q2"", ""2022Q3"", ""2022Q4"", ""2023Q1"", ""2023Q2"", ""2023Q3"", ""2023Q4""]",2024-02-13,2024-02-13,0.0,2.220446049250313e-16
