print,print_date,prior_quarter_growth_pct,street_nights_m,street_implied_growth_pct,street_positioned_for,street_accel_pts,actual_growth_pct,actual_accel_pts,printed,nights_vs_street_pct,day1_excess_pct,mgmt_guide_direction_for_this_quarter,mgmt_guide_bucket_mid_pct,street_sign_matches_guide,guide_downside_miss
4Q21,2022-02-15,28.96,74.96,61.901,acceleration,32.941,58.53,29.57,acceleration,-2.081,3.7,no guide,,,
1Q22,2022-05-03,58.53,100.87,56.63,deceleration,-1.9,58.54,0.01,flat,1.219,4.3,no guide,,,
2Q22,2022-08-02,58.54,106.4,28.039,deceleration,-30.501,24.79,-33.75,deceleration,-2.538,-3.9,no guide,,,
4Q22,2023-02-14,25.09,89.7,22.207,deceleration,-2.883,20.16,-4.93,deceleration,-1.672,12.6,deceleration,,1.0,0.0
2Q23,2023-08-03,18.61,117.6,13.404,deceleration,-5.206,10.99,-7.62,deceleration,-2.126,-0.0,deceleration,,1.0,0.0
3Q23,2023-11-01,10.99,112.9,13.24,acceleration,2.25,13.54,2.55,acceleration,0.266,-5.1,acceleration,,1.0,0.0
4Q23,2024-02-13,13.54,98.0,11.111,deceleration,-2.429,12.02,-1.52,deceleration,0.816,-2.8,deceleration,,1.0,0.0
1Q24,2024-05-08,12.02,132.1,9.083,deceleration,-2.937,9.5,-2.52,deceleration,0.379,-7.1,deceleration,,1.0,0.0
3Q24,2024-11-07,8.69,121.4,7.244,deceleration,-1.446,8.48,-0.21,flat,1.153,-8.8,deceleration,,1.0,0.0
4Q24,2025-02-13,8.48,108.7,10.02,acceleration,1.54,12.35,3.87,acceleration,2.116,14.0,acceleration,,1.0,0.0
1Q25,2025-05-01,12.35,143.4,8.145,deceleration,-4.205,7.92,-4.43,deceleration,-0.209,-0.5,flat,,0.0,1.0
2Q25,2025-08-06,7.92,133.35,6.595,deceleration,-1.325,7.43,-0.49,deceleration,0.787,-8.4,deceleration,,1.0,0.0
3Q25,2025-11-06,7.43,131.75,7.288,flat,-0.142,8.79,1.36,acceleration,1.404,0.6,flat,,1.0,0.0
4Q25,2026-02-12,8.79,117.6,5.946,deceleration,-2.844,9.82,1.03,acceleration,3.656,4.4,deceleration,5.0,1.0,0.0
1Q26,2026-05-07,9.82,155.77,8.854,deceleration,-0.966,9.15,-0.67,deceleration,0.276,-1.6,deceleration,8.0,1.0,0.0
2Q26,2026-08-06,9.15,145.44,8.214,deceleration,-0.936,10.34,1.19,acceleration,1.966,16.3,deceleration,,1.0,0.0
3Q26E,2026-11-05,10.34,148.9,11.452,acceleration,1.112,,,,,,"acceleration (bucket 'low double-digit' 10-12, mid 11.0)",11.0,,
4Q26E (guide read on 5 Nov),2027-02,11.45,134.2,10.09,deceleration vs its own 3Q26E bar; acceleration vs 4Q25's 9.82%,-1.36,,,,,,not yet guided,,,
