team_bridge,path,uplift_scope,ntm_revenue_musd,ntm_growth_pct,team_ntm_revenue_musd,gap_vs_team_musd,nights_uplift_vs_team_pts,implied_3q26_nights_growth_pct,implied_3q26_nights_m,implied_3q26_sign_vs_2q26,gap_to_street_bar_pts,implied_4q26_nights_growth_pct,implied_4q26_revenue_musd
"WS30 pnl bridge (3Q26 10.29 / 4Q26 9.94 / 1H27 7.95, 8.45)","price-implied, guide-proxy units",uniform across the four NTM quarters,14860.473,12.93,14818.354,42.119,0.32,10.61,147.775,acceleration,-0.84,10.26,3120.252
"WS30 pnl bridge (3Q26 10.29 / 4Q26 9.94 / 1H27 7.95, 8.45)","price-implied, guide-proxy units",2H26 only (1H27 held),14860.473,12.93,14818.354,42.119,0.613,10.903,148.166,acceleration,-0.547,10.553,3128.384
"WS30 pnl bridge (3Q26 10.29 / 4Q26 9.94 / 1H27 7.95, 8.45)","price-implied, realised units (proxy bias 1.37pp removed; unstable)",uniform across the four NTM quarters,14680.195,11.56,14818.354,-138.159,-1.05,9.24,145.945,deceleration,-2.21,8.89,3082.193
"WS30 pnl bridge (3Q26 10.29 / 4Q26 9.94 / 1H27 7.95, 8.45)","price-implied, realised units (proxy bias 1.37pp removed; unstable)",2H26 only (1H27 held),14680.195,11.56,14818.354,-138.159,-2.01,8.28,144.662,deceleration,-3.17,7.93,3055.518
"WS30 pnl bridge (3Q26 10.29 / 4Q26 9.94 / 1H27 7.95, 8.45)",Street: Bloomberg 2H26 + 1H27 at Street FY27 x H1 share on the delivered FY26 base,uniform across the four NTM quarters,14875.605,13.045,14818.354,57.251,0.435,10.725,147.929,acceleration,-0.725,10.375,3123.446
"WS30 pnl bridge (3Q26 10.29 / 4Q26 9.94 / 1H27 7.95, 8.45)",Street: Bloomberg 2H26 + 1H27 at Street FY27 x H1 share on the delivered FY26 base,2H26 only (1H27 held),14875.605,13.045,14818.354,57.251,0.833,11.123,148.46,acceleration,-0.327,10.773,3134.5
"WS30 pnl bridge (3Q26 10.29 / 4Q26 9.94 / 1H27 7.95, 8.45)","Street: same on the Street's own FY26 base ($14,130m)",uniform across the four NTM quarters,14925.464,13.424,14818.354,107.109,0.814,11.104,148.435,acceleration,-0.346,10.754,3133.972
"WS30 pnl bridge (3Q26 10.29 / 4Q26 9.94 / 1H27 7.95, 8.45)","Street: same on the Street's own FY26 base ($14,130m)",2H26 only (1H27 held),14925.464,13.424,14818.354,107.109,1.558,11.848,149.429,acceleration,0.398,11.498,3154.653
"WS30 pnl bridge (3Q26 10.29 / 4Q26 9.94 / 1H27 7.95, 8.45)",management delivered,uniform across the four NTM quarters,15004.296,14.023,14818.354,185.942,1.413,11.703,149.235,acceleration,0.253,11.353,3150.614
"WS30 pnl bridge (3Q26 10.29 / 4Q26 9.94 / 1H27 7.95, 8.45)",management delivered,2H26 only (1H27 held),15004.296,14.023,14818.354,185.942,2.705,12.995,150.962,acceleration,1.545,12.645,3186.516
