quarter,metric,n_estimates,street_low,street_mean,street_high,prior_year_actual,street_low_growth,street_mean_growth,street_high_growth,team_value,team_growth,team_position,team_position_pct_of_range,team_source,source
3Q26,nights_m,28,147.0,149.0,151.0,133.6,10.03,11.527,13.024,146.8,9.88,below the lowest estimate,-5.0,"team baseline +9.9% (docs/q3nowcast/SYNTHESIS.md; reviews index 9.5-10.0, band 8.5-11.0)","Bloomberg MODL, Standard Consensus, screenshot 12 Sep 2026 (Krish); values read off the image"
3Q26,gbv_musd,28,25992.0,26375.0,26723.0,22892.0,13.542,15.215,16.735,25900.0,13.14,below the lowest estimate,-12.585,team: 146.8m x $176.8 (H note); WS-B FX schedule,"Bloomberg MODL, Standard Consensus, screenshot 12 Sep 2026 (Krish); values read off the image"
3Q26,adr_usd,26,173.71,177.06,179.12,171.29,1.413,3.369,4.571,176.9,3.275,inside the range,58.965,ADR card v3 +3.3% (docs/adrv3); H note +3.2% $176.8,"Bloomberg MODL, Standard Consensus, screenshot 12 Sep 2026 (Krish); values read off the image"
3Q26,take_rate_pct,28,17.82,18.0,18.44,17.88,-0.06,0.12,0.56,18.4,0.52,inside the range,93.548,"team 3Q26 revenue $4,771m / GBV ~$25.9bn","Bloomberg MODL, Standard Consensus, screenshot 12 Sep 2026 (Krish); values read off the image"
4Q26,nights_m,28,130.0,134.0,136.0,121.9,6.645,9.926,11.567,132.7,8.86,inside the range,45.0,team baseline +8.9% (8.0-8.2% if the ex-NA lap is adopted: 131.7-131.9m),"Bloomberg MODL, Standard Consensus, screenshot 12 Sep 2026 (Krish); values read off the image"
4Q26,gbv_musd,28,22177.0,23003.0,23565.0,20400.0,8.711,12.76,15.515,23100.0,13.235,inside the range,66.499,team: 132.7m x $174.1 (ADR card v2/v3 4Q26 +3.8-3.9%),"Bloomberg MODL, Standard Consensus, screenshot 12 Sep 2026 (Krish); values read off the image"
4Q26,adr_usd,25,167.79,171.33,174.21,167.51,0.167,2.28,4.0,174.1,3.934,inside the range,98.287,ADR card v3 4Q26 +3.8%,"Bloomberg MODL, Standard Consensus, screenshot 12 Sep 2026 (Krish); values read off the image"
4Q26,take_rate_pct,28,13.6,13.76,14.0,13.62,-0.02,0.14,0.38,13.5,-0.12,below the lowest estimate,-25.0,"team 4Q26 revenue $3,111m / GBV ~$23.1bn","Bloomberg MODL, Standard Consensus, screenshot 12 Sep 2026 (Krish); values read off the image"
4Q26,revenue_musd,37,3052.0,3157.0,3223.0,2778.0,9.863,13.643,16.019,3111.0,11.987,inside the range,34.503,"WS29 bridge base; ex-NA lap $3,055-3,102m","Bloomberg MODL, Standard Consensus, screenshot 12 Sep 2026 (Krish); values read off the image"
4Q26,eps_usd,29,0.67,0.87,1.36,0.56,19.643,55.357,142.857,0.81,44.643,inside the range,20.29,WS30 base,"Bloomberg MODL, Standard Consensus, screenshot 12 Sep 2026 (Krish); values read off the image"
