item,value
threshold_musd,145.8
resid_pct_mean_since_2Q24,-0.4234394265069119
resid_pct_sd_since_2Q24,5.629140339405161
beta_realised_mean_last4,0.8749153070040342
p_base,0.013645
ii_median,176.6795624700373
ii_p10,158.28747020190613
ii_p90,196.33680085478582
ii_yoy_median_pct,9.061458314837845
p_rate_3.97_no_more_hikes,0.0230375
p_rate_4.30_two_hikes,0.0027325
p_rate_3.25_emergency_cuts,0.6652025
p_beta_0.83,0.0641575
p_beta_0.94_4Q25_realised,0.0013175
p_funds_held_flat_yoy,0.043645
p_rnpl_overlay_20pct,0.02705
p_rnpl_overlay_0,0.0069125
p_cash_minus_3bn_buyback_upsize,0.3811175
p_cash_minus_3bn_and_rate_3.97,0.52909
p_resid_sd_10pct,0.0660475
p_all_bear_joint,0.934665
p_cash_minus_1.5bn,0.0962275
p_cash_minus_2bn_rate_3.97,0.271215
mix_w_base,0.88
mix_p_base,0.013645
mix_w_upsize_1.5bn,0.07
mix_p_upsize_1.5bn,0.0962275
mix_w_upsize_3bn,0.03
mix_p_upsize_3bn,0.3811175
mix_w_emergency_cuts,0.02
mix_p_emergency_cuts,0.6652025
p_mixture,0.043481099999999995
avg_base_needed_at_4.10_0.88,16164.079822616408
rate_needed_at_base_19650_beta_0.88,3.3726578764746704
