quarter,ii,tbill,cash_inv_restricted,funds_held,base_end,avg_base,rule_0.876,resid_pct,beta_realised
1Q24,202,5.234,11128,8737,19865,,,,
2Q24,226,5.246,11286,10342,21628,20746.5,238.35114441000005,-5.181911100352932,0.8306064587609084
3Q24,207,4.998,11280,6573,17853,19740.5,216.07201161,-4.198605614120243,0.8392202148203066
4Q24,183,4.401,10636,5931,16567,17210.0,165.8732499,10.325203196009735,0.9664487799970451
1Q25,173,4.208,11532,9175,20707,18637.0,171.74964624,0.7280095111536822,0.8823773633177062
2Q25,190,4.23,11400,11067,22467,21587.0,199.97549190000004,-4.988357225788642,0.8323019907020915
3Q25,180,4.099,11719,7209,18928,20697.5,185.797524975,-3.1203456428066434,0.8486657721690137
4Q25,162,3.726,11049,6959,18008,18468.0,150.69777191999998,7.499930447545022,0.9416993907204941
1Q26,155,3.594,12065,10550,22615,20311.5,159.86897289,-3.045602159056948,0.8493205250866611
2Q26,183,3.624,12136,12224,24360,23487.5,186.409953,-1.8292762511452398,0.8599755400399677
