feature_id,period,revenue,revpar_per_night,annual,partial
0,2023,192943,17.62,True,False
0,2024Q2,53190,19.48,False,False
0,2024Q3,207083,75.03,False,False
0,2024Q4,53165,19.26,False,False
0,2025Q1,49057,18.17,False,False
0,2025Q2,39262,14.38,False,False
0,2025Q3,42384,15.36,False,False
0,2025Q4,44621,16.17,False,False
0,2026Q1,47483,17.59,False,False
0,2026Q2,28070,15.34,False,True
1,2023,1733237,35.97,True,False
1,2024Q2,435255,36.24,False,False
1,2024Q3,449463,37.01,False,False
1,2024Q4,367401,30.25,False,False
1,2025Q1,339231,28.55,False,False
1,2025Q2,391470,32.59,False,False
1,2025Q3,426639,35.13,False,False
1,2025Q4,430514,35.45,False,False
1,2026Q1,453405,38.17,False,False
1,2026Q2,312432,38.8,False,True
2,2023,1906560,39.57,True,False
2,2024Q2,473017,39.38,False,False
2,2024Q3,462274,38.07,False,False
2,2024Q4,458053,37.72,False,False
2,2025Q1,424136,35.7,False,False
2,2025Q2,414853,34.54,False,False
2,2025Q3,425557,35.04,False,False
2,2025Q4,431142,35.5,False,False
2,2026Q1,390233,32.85,False,False
2,2026Q2,277798,34.5,False,True
3,2023,4434184,96.42,True,False
3,2024Q2,1292857,112.76,False,False
3,2024Q3,1296406,111.84,False,False
3,2024Q4,1234848,106.53,False,False
3,2025Q1,1336880,117.89,False,False
3,2025Q2,1242649,108.38,False,False
3,2025Q3,1025224,88.44,False,False
3,2025Q4,1139366,98.29,False,False
3,2026Q1,1336426,117.85,False,False
3,2026Q2,857677,111.59,False,True
4,2023,828387,54.04,True,False
4,2024Q2,210355,55.04,False,False
4,2024Q3,283579,73.39,False,False
4,2024Q4,237832,61.55,False,False
4,2025Q1,248380,65.71,False,False
4,2025Q2,244030,63.85,False,False
4,2025Q3,300310,77.72,False,False
4,2025Q4,169690,43.92,False,False
4,2026Q1,181499,48.02,False,False
4,2026Q2,113363,44.25,False,True
5,2023,321123,29.33,True,False
5,2024Q2,80521,29.49,False,False
5,2024Q3,130770,47.38,False,False
5,2024Q4,79089,28.66,False,False
5,2025Q1,65640,24.31,False,False
5,2025Q2,72670,26.62,False,False
5,2025Q3,66017,23.92,False,False
5,2025Q4,73094,26.48,False,False
5,2026Q1,74740,27.68,False,False
5,2026Q2,45284,24.75,False,True
6,2023,648997,46.79,True,False
6,2024Q2,114076,32.99,False,False
6,2024Q3,136245,38.97,False,False
6,2024Q4,138321,39.57,False,False
6,2025Q1,163342,47.76,False,False
6,2025Q2,205741,59.5,False,False
6,2025Q3,201512,57.64,False,False
6,2025Q4,163164,46.67,False,False
6,2026Q1,216213,63.22,False,False
6,2026Q2,123744,53.38,False,True
7,2023,13290967,96.33,True,False
7,2024Q2,3568006,103.73,False,False
7,2024Q3,3527967,101.45,False,False
7,2024Q4,4054124,116.58,False,False
7,2025Q1,4571384,134.37,False,False
7,2025Q2,4212709,122.47,False,False
7,2025Q3,3077682,88.5,False,False
7,2025Q4,4263657,122.6,False,False
7,2026Q1,4934841,145.06,False,False
7,2026Q2,3097133,134.32,False,True
8,2023,22175220,148.18,True,False
8,2024Q2,5637797,151.11,False,False
8,2024Q3,4583008,121.5,False,False
8,2024Q4,4445877,117.87,False,False
8,2025Q1,5809800,157.45,False,False
8,2025Q2,6195266,166.05,False,False
8,2025Q3,5999999,159.07,False,False
8,2025Q4,6610078,175.24,False,False
8,2026Q1,6294016,170.57,False,False
8,2026Q2,4787443,191.42,False,True
9,2023,25002464,218.15,True,False
9,2024Q2,6651363,232.78,False,False
9,2024Q3,5117547,177.15,False,False
9,2024Q4,7224008,250.07,False,False
9,2025Q1,7044362,249.27,False,False
9,2025Q2,6022916,210.78,False,False
9,2025Q3,4438078,153.63,False,False
9,2025Q4,16630380,575.68,False,False
9,2026Q1,6570946,232.52,False,False
9,2026Q2,4831697,252.26,False,True
10,2023,482986,28.15,True,False
10,2024Q2,97448,22.78,False,False
10,2024Q3,169030,39.09,False,False
10,2024Q4,91894,21.25,False,False
10,2025Q1,101110,23.9,False,False
10,2025Q2,104165,24.35,False,False
10,2025Q3,98674,22.82,False,False
10,2025Q4,97398,22.52,False,False
10,2026Q1,114867,27.16,False,False
10,2026Q2,78163,27.26,False,True
11,2023,2271732,45.1,True,False
11,2024Q2,572522,45.59,False,False
11,2024Q3,585145,46.09,False,False
11,2024Q4,567055,44.66,False,False
11,2025Q1,557712,44.9,False,False
11,2025Q2,572829,45.61,False,False
11,2025Q3,574620,45.26,False,False
11,2025Q4,562292,44.29,False,False
11,2026Q1,539857,43.47,False,False
11,2026Q2,356174,42.31,False,True
12,2023,2337207,48.51,True,False
12,2024Q2,581825,48.44,False,False
12,2024Q3,579042,47.68,False,False
12,2024Q4,565885,46.6,False,False
12,2025Q1,517678,43.58,False,False
12,2025Q2,555857,46.28,False,False
12,2025Q3,545604,44.93,False,False
12,2025Q4,567009,46.69,False,False
12,2026Q1,517961,43.6,False,False
12,2026Q2,368183,45.73,False,True
13,2023,1676034,34.79,True,False
13,2024Q2,360541,30.02,False,False
13,2024Q3,389591,32.08,False,False
13,2024Q4,361224,29.75,False,False
13,2025Q1,393484,33.12,False,False
13,2025Q2,429818,35.78,False,False
13,2025Q3,419203,34.52,False,False
13,2025Q4,422897,34.82,False,False
13,2026Q1,414830,34.92,False,False
13,2026Q2,326958,40.61,False,True
14,2023,1888964,37.78,True,False
14,2024Q2,478202,38.36,False,False
14,2024Q3,469916,37.28,False,False
14,2024Q4,409434,32.48,False,False
14,2025Q1,405920,32.92,False,False
14,2025Q2,475237,38.12,False,False
14,2025Q3,451033,35.78,False,False
14,2025Q4,461805,36.64,False,False
14,2026Q1,444671,36.06,False,False
14,2026Q2,290631,34.78,False,True
15,2023,2316009,97.62,True,False
15,2024Q2,688870,116.46,False,False
15,2024Q3,458029,76.59,False,False
15,2024Q4,590691,98.78,False,False
15,2025Q1,504558,86.25,False,False
15,2025Q2,497549,84.12,False,False
15,2025Q3,532385,89.03,False,False
15,2025Q4,564695,94.43,False,False
15,2026Q1,421836,72.11,False,False
15,2026Q2,458157,115.55,False,True
16,2023,1869987,81.32,True,False
16,2024Q2,490449,85.55,False,False
16,2024Q3,455773,78.64,False,False
16,2024Q4,153271,26.44,False,False
16,2025Q1,448471,79.1,False,False
16,2025Q2,510881,89.11,False,False
16,2025Q3,537257,92.69,False,False
16,2025Q4,192029,33.13,False,False
16,2026Q1,412083,72.68,False,False
16,2026Q2,305282,79.44,False,True
17,2023,15810465,666.41,True,False
17,2024Q2,3343533,565.26,False,False
17,2024Q3,3774008,631.1,False,False
17,2024Q4,2458704,411.15,False,False
17,2025Q1,2814952,481.19,False,False
17,2025Q2,3216661,543.81,False,False
17,2025Q3,2969282,496.54,False,False
17,2025Q4,2074094,346.84,False,False
17,2026Q1,2127365,363.65,False,False
17,2026Q2,1767439,445.76,False,True
18,2023,4333940,116.41,True,False
18,2024Q2,1368010,147.38,False,False
18,2024Q3,995963,106.13,False,False
18,2024Q4,1225269,130.57,False,False
18,2025Q1,924724,100.73,False,False
18,2025Q2,1196116,128.86,False,False
18,2025Q3,943795,100.57,False,False
18,2025Q4,1186279,126.42,False,False
18,2026Q1,814021,88.67,False,False
18,2026Q2,886614,142.5,False,True
19,2023,501793,34.37,True,False
19,2024Q2,153984,42.3,False,False
19,2024Q3,207409,56.36,False,False
19,2024Q4,158458,43.06,False,False
19,2025Q1,114481,31.8,False,False
19,2025Q2,123673,33.98,False,False
19,2025Q3,121771,33.09,False,False
19,2025Q4,129646,35.23,False,False
19,2026Q1,119600,33.22,False,False
19,2026Q2,74681,30.61,False,True
20,2023,2213391,45.94,True,False
20,2024Q2,529199,44.06,False,False
20,2024Q3,547665,45.1,False,False
20,2024Q4,522057,42.99,False,False
20,2025Q1,484550,40.79,False,False
20,2025Q2,528703,44.01,False,False
20,2025Q3,542760,44.69,False,False
20,2025Q4,545455,44.92,False,False
20,2026Q1,519672,43.74,False,False
20,2026Q2,342467,42.53,False,True
21,2023,2035374,40.7,True,False
21,2024Q2,497399,39.9,False,False
21,2024Q3,530304,42.07,False,False
21,2024Q4,497378,39.46,False,False
21,2025Q1,427895,34.7,False,False
21,2025Q2,423857,34.0,False,False
21,2025Q3,475566,37.73,False,False
21,2025Q4,497408,39.46,False,False
21,2026Q1,483293,39.2,False,False
21,2026Q2,333841,39.95,False,True
22,2023,1935504,77.98,True,False
22,2024Q2,932642,150.72,False,False
22,2024Q3,484608,77.46,False,False
22,2024Q4,431328,68.95,False,False
22,2025Q1,438125,71.59,False,False
22,2025Q2,447434,72.31,False,False
22,2025Q3,418153,66.84,False,False
22,2025Q4,409002,65.38,False,False
22,2026Q1,410368,67.05,False,False
22,2026Q2,327598,78.98,False,True
23,2023,2158610,95.39,True,False
23,2024Q2,615648,109.12,False,False
23,2024Q3,529832,92.89,False,False
23,2024Q4,565757,99.19,False,False
23,2025Q1,501009,89.79,False,False
23,2025Q2,571645,101.32,False,False
23,2025Q3,556995,97.65,False,False
23,2025Q4,549049,96.26,False,False
23,2026Q1,608671,109.08,False,False
