feature_id,t12Revenue,t12Revpar,lastMonthRevenue,lastMonthRevpar,lastMonth
0,173750.0,15.87,11854,12.75,May 2026
1,1702027.0,35.33,159786,39.05,May 2026
2,1661785.0,34.49,141597,34.6,May 2026
3,4743665.0,103.15,414779,106.19,May 2026
4,895530.0,58.42,65044,49.96,May 2026
5,286521.0,26.17,23468,25.23,May 2026
6,786630.0,56.71,66209,56.2,May 2026
7,16488888.0,119.51,1430531,122.08,May 2026
8,25099359.0,167.72,2241866,176.39,May 2026
9,33662320.0,293.71,2228872,228.98,May 2026
10,415103.0,24.2,39061,26.81,May 2026
11,2249598.0,44.66,192132,44.91,May 2026
12,2186430.0,45.38,195243,47.71,May 2026
13,1686747.0,35.01,153768,37.58,May 2026
14,1832747.0,36.65,149738,35.26,May 2026
15,2016465.0,84.99,227238,112.77,May 2026
16,1652250.0,71.85,165563,84.77,May 2026
17,10387402.0,437.83,769471,381.87,May 2026
18,4140211.0,111.21,435835,137.84,May 2026
19,494691.0,33.88,40532,32.69,May 2026
20,2136590.0,44.35,177290,43.33,May 2026
21,1880123.0,37.6,166247,39.14,May 2026
22,1684958.0,67.89,178073,84.47,May 2026
23,2286361.0,101.03,202410,105.31,May 2026
24,2276770.0,46.55,187622,45.17,May 2026
25,388712.0,53.25,29703,47.91,May 2026
26,2513062.0,57.38,221536,59.55,May 2026
27,490476.0,22.03,46206,24.43,May 2026
28,627605.0,85.97,37737,60.87,May 2026
29,212019.0,29.04,14457,23.32,May 2026
30,725020.0,99.32,46128,74.4,May 2026
31,628803.0,86.14,43869,70.76,May 2026
32,11054522.0,115.16,1069386,131.16,May 2026
33,5180201.0,202.75,246145,113.43,May 2026
35,119690.0,27.33,13202,35.49,May 2026
38,78746.0,9.81,5852,8.58,May 2026
39,412723.0,21.33,45715,27.82,May 2026
40,950935.0,55.43,96681,66.36,May 2026
41,508515.0,29.02,0,,May 2026
43,374287.0,32.05,17359,17.5,May 2026
44,1893960.0,79.83,96206,47.74,May 2026
45,0.0,,0,,May 2026
46,1030032.0,15.17,134162,23.27,May 2026
47,370686.0,20.73,35508,23.38,May 2026
48,410050.0,31.21,32550,29.17,May 2026
49,269779.0,18.95,14325,11.85,May 2026
50,164299.0,15.0,11244,12.09,May 2026
51,532918.0,41.72,41684,38.42,May 2026
52,889245.0,45.12,81652,48.78,May 2026
53,2331821.0,69.44,220433,77.29,May 2026
54,369275.0,12.81,20062,8.19,May 2026
56,245164.0,18.15,16470,14.36,May 2026
57,3832069.0,116.65,371063,133.0,May 2026
58,2134725.0,74.03,261785,106.89,May 2026
59,2506989.0,110.78,226496,117.84,May 2026
61,525613.0,36.92,56113,46.41,May 2026
