name,address,city,state,zip,rooms,revpar,adr,occupancy,revenue,bucket,photo,flagged,id,lastMonthRevpar,lastMonth,source,lon,lat,brand,parentCompany,market,submarket,hotelClass,scale,yearBuilt
GUEST MOTEL,12111 MURPHY RD,STAFFORD,TX,77477,30,16.0,,,11854.0,gray,,False,0,12.75,May 2026,comptroller,-95.5648459,29.6461654,,,,,,,
INTOWN SUITES WEBSTER,480 W BAY AREA BLVD,WEBSTER,TX,77598,132,35.0,,,159786.0,yellow,,False,1,39.05,May 2026,comptroller,-95.1329959,29.546492,,,,,,,
INTOWN SUITES LEON VALLEY,6451 BANDERA RD,LEON VALLEY,TX,78238,132,34.0,,,141597.0,yellow,,False,2,34.6,May 2026,comptroller,-98.6107818,29.4904939,,,,,,,
Hampton by Hilton,5820 KATY FWY,HOUSTON,TX,77007,126,103.0,,,414779.0,red,,False,3,106.19,May 2026,comptroller,-95.42826389999999,29.778315,Hampton by Hilton,Hilton Worldwide,"Houston, TX",Katy Freeway West,Upper Midscale,Upper Midscale,1968.0
BEST WESTERN REFUGIO,1007 VICTORIA RD # 77,REFUGIO,TX,78377,42,58.0,,,65044.0,yellow,,False,4,49.96,May 2026,comptroller,-97.2691181,28.320405,,,,,,,
CRYSTAL SUITES,12962 SOUTH FWY,HOUSTON,TX,77047,30,26.0,,,23468.0,gray,,False,5,25.23,May 2026,comptroller,-95.38771109999999,29.6097226,,,,,,,
CRANE LA BONITA INN AND SUITES,220 NW COUNTY RD,CRANE,TX,79731,38,57.0,,,66209.0,yellow,,False,6,56.2,May 2026,comptroller,-102.3546973,31.4058551,,,,,,,
OMNI HOUSTON HOTEL,4 RIVERWAY,HOUSTON,TX,77056,378,120.0,,,1430531.0,red,,False,7,122.08,May 2026,comptroller,-95.4593725,29.7613035,,,,,,,
OMNI MANDALAY HOTEL,600 LAS COLINAS BLVD E STE 1900,IRVING,TX,75039,410,168.0,,,2241866.0,red,,False,8,176.39,May 2026,comptroller,-96.9378491,32.8676779,,,,,,,
OMNI AUSTIN HOTEL AT FIC CENTRE,700 SAN JACINTO BLVD,AUSTIN,TX,78701,314,294.0,,,2228872.0,red,,False,9,228.98,May 2026,comptroller,-97.74022629999999,30.2688711,,,,,,,
MUSTANG INN,10621 NORTH FWY,HOUSTON,TX,77037,47,24.0,,,39061.0,gray,,False,10,26.81,May 2026,comptroller,-95.4296984,30.0417022,,,,,,,
INTOWN SUITES CARROLLTON,2661 WESTGROVE DR,CARROLLTON,TX,75006,138,45.0,,,192132.0,yellow,,False,11,44.91,May 2026,comptroller,-96.8396482,32.9861349,,,,,,,
INTOWN SUITES SIX FLAGS,2211 N COLLINS ST,ARLINGTON,TX,76011,132,45.0,,,195243.0,yellow,,False,12,47.71,May 2026,comptroller,-97.095924,32.770771,,,,,,,
INTOWN SUITES HIGHWAY 290,14041 NORTHWEST FWY,HOUSTON,TX,77040,132,35.0,,,153768.0,yellow,,False,13,37.58,May 2026,comptroller,-95.4985198,29.8436183,,,,,,,
INTOWN SUITES SAN PEDRO,6923 SAN PEDRO AVE,SAN ANTONIO,TX,78216,137,37.0,,,149738.0,yellow,,False,14,35.26,May 2026,comptroller,-98.50019189999999,29.5055413,,,,,,,
