premium_source,premium,timing,coverage,effect_2Q26_pp,adr_4Q26_usd_move
P1 pooled 11.1%,0.11137469375932449,f_2Q26 = 1.0 (all in 2Q26),"covered, summer 1.0",0.15631805952401814,-0.2618483815086828
P1 pooled 11.1%,0.11137469375932449,f_2Q26 = 1.0 (all in 2Q26),"central cover, summer 1.0",0.1959639441859068,-0.32825920290581245
P1 pooled 11.1%,0.11137469375932449,f_2Q26 = 1.0 (all in 2Q26),"scaled, summer 1.3",0.30629277750213413,-0.5130710315938248
P1 pooled 11.1%,0.11137469375932449,f_2Q26 = 0.5,"covered, summer 1.0",0.07815902976200907,-0.1309241907543414
P1 pooled 11.1%,0.11137469375932449,f_2Q26 = 0.5,"central cover, summer 1.0",0.0979819720929534,-0.16412960145290623
P1 pooled 11.1%,0.11137469375932449,f_2Q26 = 0.5,"scaled, summer 1.3",0.15314638875106706,-0.2565355157969124
P1 Chicago-only,0.031689415000533,f_2Q26 = 1.0 (all in 2Q26),"covered, summer 1.0",0.044477140121607785,-0.07450365741770519
P1 Chicago-only,0.031689415000533,f_2Q26 = 1.0 (all in 2Q26),"central cover, summer 1.0",0.05575757421042135,-0.0933995125598768
P1 Chicago-only,0.031689415000533,f_2Q26 = 1.0 (all in 2Q26),"scaled, summer 1.3",0.08714941078900541,-0.14598397801266297
P1 Chicago-only,0.031689415000533,f_2Q26 = 0.5,"covered, summer 1.0",0.022238570060803892,-0.037251828708852595
P1 Chicago-only,0.031689415000533,f_2Q26 = 0.5,"central cover, summer 1.0",0.027878787105210676,-0.0466997562799384
P1 Chicago-only,0.031689415000533,f_2Q26 = 0.5,"scaled, summer 1.3",0.04357470539450271,-0.07299198900633148
P2 match nights only (8.9% x m_bar 0.32),0.02855655,f_2Q26 = 1.0 (all in 2Q26),"covered, summer 1.0",0.04008006066752372,-0.06713810962416898
P2 match nights only (8.9% x m_bar 0.32),0.02855655,f_2Q26 = 1.0 (all in 2Q26),"central cover, summer 1.0",0.050245293445518854,-0.08416589105058864
P2 match nights only (8.9% x m_bar 0.32),0.02855655,f_2Q26 = 1.0 (all in 2Q26),"scaled, summer 1.3",0.07853368409056821,-0.1315517742201108
P2 match nights only (8.9% x m_bar 0.32),0.02855655,f_2Q26 = 0.5,"covered, summer 1.0",0.02004003033376186,-0.03356905481208449
P2 match nights only (8.9% x m_bar 0.32),0.02855655,f_2Q26 = 0.5,"central cover, summer 1.0",0.025122646722759427,-0.04208294552529432
P2 match nights only (8.9% x m_bar 0.32),0.02855655,f_2Q26 = 0.5,"scaled, summer 1.3",0.039266842045284106,-0.0657758871100554
