pair,stat
los-angeles+mexico-city,0.10559771190796347
los-angeles+chicago,0.03269372625434043
los-angeles+austin,-0.003909548983266217
los-angeles+nashville,0.008382285007179559
los-angeles+new-orleans,-0.018953913189717307
mexico-city+chicago,0.05900048225675829
mexico-city+austin,0.02263954619968442
mexico-city+nashville,0.04290700407929081
mexico-city+new-orleans,0.01345643178273113
chicago+austin,-0.05073868797878125
chicago+nashville,-0.03234305361654519
chicago+new-orleans,-0.07560992081512298
austin+nashville,-0.0838902807466014
austin+new-orleans,-0.1109065214370286
nashville+new-orleans,-0.09756112236017214
