src,date,stadium,stage
grp_A.txt,2026-06-11,"Estadio Azteca, Mexico City",group
grp_A.txt,2026-06-11,"Estadio Akron, Zapopan",group
grp_A.txt,2026-06-18,"Mercedes-Benz Stadium, Atlanta",group
grp_A.txt,2026-06-18,"Estadio Akron, Zapopan",group
grp_A.txt,2026-06-24,"Estadio Azteca, Mexico City",group
grp_A.txt,2026-06-24,"Estadio BBVA, Guadalupe",group
grp_B.txt,2026-06-12,"BMO Field, Toronto",group
grp_B.txt,2026-06-13,"Levi's Stadium, Santa Clara",group
grp_B.txt,2026-06-18,"SoFi Stadium, Inglewood",group
grp_B.txt,2026-06-18,"BC Place, Vancouver",group
grp_B.txt,2026-06-24,"BC Place, Vancouver",group
grp_B.txt,2026-06-24,"Lumen Field, Seattle",group
grp_C.txt,2026-06-13,"MetLife Stadium, East Rutherford",group
grp_C.txt,2026-06-13,"Gillette Stadium, Foxborough",group
grp_C.txt,2026-06-19,"Gillette Stadium, Foxborough",group
grp_C.txt,2026-06-19,"Lincoln Financial Field, Philadelphia",group
grp_C.txt,2026-06-24,"Hard Rock Stadium, Miami Gardens",group
grp_C.txt,2026-06-24,"Mercedes-Benz Stadium, Atlanta",group
grp_D.txt,2026-06-12,"SoFi Stadium, Inglewood",group
grp_D.txt,2026-06-13,"BC Place, Vancouver",group
grp_D.txt,2026-06-19,"Lumen Field, Seattle",group
grp_D.txt,2026-06-19,"Levi's Stadium, Santa Clara",group
grp_D.txt,2026-06-25,"SoFi Stadium, Inglewood",group
grp_D.txt,2026-06-25,"Levi's Stadium, Santa Clara",group
grp_E.txt,2026-06-14,"NRG Stadium, Houston",group
grp_E.txt,2026-06-14,"Lincoln Financial Field, Philadelphia",group
grp_E.txt,2026-06-20,"BMO Field, Toronto",group
grp_E.txt,2026-06-20,"Arrowhead Stadium, Kansas City",group
grp_E.txt,2026-06-25,"Lincoln Financial Field, Philadelphia",group
grp_E.txt,2026-06-25,"MetLife Stadium, East Rutherford",group
grp_F.txt,2026-06-14,"AT&T Stadium, Arlington",group
grp_F.txt,2026-06-14,"Estadio BBVA, Guadalupe",group
grp_F.txt,2026-06-20,"NRG Stadium, Houston",group
grp_F.txt,2026-06-20,"Estadio BBVA, Guadalupe",group
grp_F.txt,2026-06-25,"AT&T Stadium, Arlington",group
grp_F.txt,2026-06-25,"Arrowhead Stadium, Kansas City",group
grp_G.txt,2026-06-15,"Lumen Field, Seattle",group
grp_G.txt,2026-06-15,"SoFi Stadium, Inglewood",group
grp_G.txt,2026-06-21,"SoFi Stadium, Inglewood",group
grp_G.txt,2026-06-21,"BC Place, Vancouver",group
grp_G.txt,2026-06-26,"Lumen Field, Seattle",group
grp_G.txt,2026-06-26,"BC Place, Vancouver",group
grp_H.txt,2026-06-15,"Mercedes-Benz Stadium, Atlanta",group
grp_H.txt,2026-06-15,"Hard Rock Stadium, Miami Gardens",group
grp_H.txt,2026-06-21,"Mercedes-Benz Stadium, Atlanta",group
grp_H.txt,2026-06-21,"Hard Rock Stadium, Miami Gardens",group
grp_H.txt,2026-06-26,"NRG Stadium, Houston",group
grp_H.txt,2026-06-26,"Estadio Akron, Zapopan",group
grp_I.txt,2026-06-16,"MetLife Stadium, East Rutherford",group
grp_I.txt,2026-06-16,"Gillette Stadium, Foxborough",group
grp_I.txt,2026-06-22,"Lincoln Financial Field, Philadelphia",group
grp_I.txt,2026-06-22,"MetLife Stadium, East Rutherford",group
grp_I.txt,2026-06-26,"Gillette Stadium, Foxborough",group
grp_I.txt,2026-06-26,"BMO Field, Toronto",group
grp_J.txt,2026-06-16,"Arrowhead Stadium, Kansas City",group
grp_J.txt,2026-06-16,"Levi's Stadium, Santa Clara",group
grp_J.txt,2026-06-22,"AT&T Stadium, Arlington",group
grp_J.txt,2026-06-22,"Levi's Stadium, Santa Clara",group
grp_J.txt,2026-06-27,"Arrowhead Stadium, Kansas City",group
grp_J.txt,2026-06-27,"AT&T Stadium, Arlington",group
grp_K.txt,2026-06-17,"NRG Stadium, Houston",group
grp_K.txt,2026-06-17,"Estadio Azteca, Mexico City",group
grp_K.txt,2026-06-23,"NRG Stadium, Houston",group
grp_K.txt,2026-06-23,"Estadio Akron, Zapopan",group
grp_K.txt,2026-06-27,"Hard Rock Stadium, Miami Gardens",group
grp_K.txt,2026-06-27,"Mercedes-Benz Stadium, Atlanta",group
grp_L.txt,2026-06-17,"AT&T Stadium, Arlington",group
grp_L.txt,2026-06-17,"BMO Field, Toronto",group
grp_L.txt,2026-06-23,"Gillette Stadium, Foxborough",group
grp_L.txt,2026-06-23,"BMO Field, Toronto",group
grp_L.txt,2026-06-27,"MetLife Stadium, East Rutherford",group
grp_L.txt,2026-06-27,"Lincoln Financial Field, Philadelphia",group
ko.txt,2026-07-04,"NRG Stadium, Houston",ko
ko.txt,2026-07-04,"Lincoln Financial Field, Philadelphia",ko
ko.txt,2026-07-05,"MetLife Stadium, East Rutherford",ko
ko.txt,2026-07-05,"Estadio Azteca, Mexico City",ko
ko.txt,2026-07-06,"AT&T Stadium, Arlington",ko
ko.txt,2026-07-06,"Lumen Field, Seattle",ko
ko.txt,2026-07-07,"Mercedes-Benz Stadium, Atlanta",ko
ko.txt,2026-07-07,"BC Place, Vancouver",ko
ko.txt,2026-07-09,"Gillette Stadium, Foxborough",ko
ko.txt,2026-07-10,"SoFi Stadium, Inglewood",ko
ko.txt,2026-07-11,"Hard Rock Stadium, Miami Gardens",ko
ko.txt,2026-07-11,"Arrowhead Stadium, Kansas City",ko
ko.txt,2026-07-14,"AT&T Stadium, Arlington",ko
ko.txt,2026-07-15,"Mercedes-Benz Stadium, Atlanta",ko
ko.txt,2026-07-18,"Hard Rock Stadium, Miami Gardens",ko
r32.txt,2026-06-28,"SoFi Stadium, Inglewood",r32
r32.txt,2026-06-29,"NRG Stadium, Houston",r32
r32.txt,2026-06-29,"Gillette Stadium, Foxborough",r32
r32.txt,2026-06-29,"Estadio BBVA, Guadalupe",r32
r32.txt,2026-06-30,"AT&T Stadium, Arlington",r32
r32.txt,2026-06-30,"MetLife Stadium, East Rutherford",r32
r32.txt,2026-06-30,"Estadio Azteca, Mexico City",r32
r32.txt,2026-07-01,"Mercedes-Benz Stadium, Atlanta",r32
r32.txt,2026-07-01,"Lumen Field, Seattle",r32
r32.txt,2026-07-01,"Levi's Stadium, Santa Clara",r32
r32.txt,2026-07-02,"SoFi Stadium, Inglewood",r32
r32.txt,2026-07-02,"BMO Field, Toronto",r32
r32.txt,2026-07-02,"BC Place, Vancouver",r32
r32.txt,2026-07-03,"AT&T Stadium, Arlington",r32
r32.txt,2026-07-03,"Hard Rock Stadium, Miami Gardens",r32
r32.txt,2026-07-03,"Arrowhead Stadium, Kansas City",r32
final.txt,2026-07-19,"MetLife Stadium, East Rutherford",final
