market,round,snap,host,X,n_active
austin,Dec,2025-12-22,False,0.015962110434770915,10576
austin,Jun,2026-06-22,False,0.17209882325998183,10468
austin,Mar,2026-03-25,False,0.005629000998471273,8083
chicago,Dec,2025-12-25,False,0.017836717333370278,8259
chicago,Jun,2026-06-24,False,0.14070333716253447,8085
chicago,Mar,2026-03-27,False,-0.04333933938368301,5103
los-angeles,Dec,2025-12-04,True,0.045259373551934906,37806
los-angeles,Jun,2026-06-15,True,0.16464882393430158,39062
los-angeles,Mar,2026-03-16,True,0.04135139917891131,37871
mexico-city,Dec,2025-12-29,True,0.07684219113547203,22656
mexico-city,Jun,2026-06-15,True,0.10426757277349818,29672
mexico-city,Mar,2026-03-30,True,0.027106059423601697,22469
nashville,Dec,2025-12-27,False,0.024812827348175942,6446
nashville,Jun,2026-06-26,False,0.14337630270009882,9579
nashville,Mar,2026-03-28,False,0.0017491464411517055,5995
new-orleans,Dec,2025-12-12,False,0.04228950266432038,6365
new-orleans,Jun,2026-06-16,False,0.13824109574671603,6539
new-orleans,Mar,2026-03-19,False,0.005740839247332763,6050
