market,venue,km,occ_nights_365,N_T_central,country
vancouver,"BC Place, Vancouver",1.8672995763472566,578714.0,61835.19452054794,canada
toronto,"BMO Field, Toronto",5.812999679329396,1536833.0,164209.55342465753,canada
mexico-city,"Estadio Azteca, Mexico City",11.216944739140535,2501789.0,267314.4410958904,mexico
los-angeles,"SoFi Stadium, Inglewood",11.586100143678248,2820219.0,301338.46849315066,united-states
oakland,"Levi's Stadium, Santa Clara",51.03017856394415,138340.0,14781.534246575342,united-states
san-francisco,"Levi's Stadium, Santa Clara",57.54676115711358,653180.0,69791.83561643836,united-states
san-mateo-county,"Levi's Stadium, Santa Clara",36.38635245563877,247242.0,26417.638356164385,united-states
santa-clara-county,"Levi's Stadium, Santa Clara",6.609769412641009,388868.0,41550.2794520548,united-states
santa-cruz-county,"Levi's Stadium, Santa Clara",46.884202822796716,163274.0,17445.71506849315,united-states
broward-county,"Hard Rock Stadium, Miami Gardens",19.284419716937272,1097292.0,117244.89863013699,united-states
boston,"Gillette Stadium, Foxborough",31.167949664643714,351139.0,37518.96164383562,united-states
cambridge,"Gillette Stadium, Foxborough",34.059427915958864,102117.0,10911.131506849315,united-states
jersey-city,"MetLife Stadium, East Rutherford",9.670808175098518,228911.0,24458.983561643836,united-states
newark,"MetLife Stadium, East Rutherford",13.250359140678635,135676.0,14496.887671232877,united-states
new-york-city,"MetLife Stadium, East Rutherford",14.301911310421092,1613807.0,172434.17260273974,united-states
rhode-island,"Gillette Stadium, Foxborough",59.66205037861642,365673.0,39071.9095890411,united-states
dallas,"AT&T Stadium, Arlington",28.62924970257838,518501.0,55401.47671232877,united-states
fort-worth,"AT&T Stadium, Arlington",22.448638377335275,190637.0,20369.43287671233,united-states
seattle,"Lumen Field, Seattle",3.4284243374998367,701819.0,74988.8794520548,united-states
