market,round,host,n_dates,k_pp,lo_pp,hi_pp,p
austin,Dec,False,39,-0.2443981259844647,-0.8431183159468305,0.35432206397790106,0.5019461635783424
austin,Jun,False,27,1.8617661372408252,-1.2866490625356213,5.010181337017271,0.330723060900597
austin,Mar,False,39,-0.6060090819229835,-1.5613220934787242,0.349303929632757,0.29675210212255965
chicago,Dec,False,39,0.8134529489873566,-0.5693695242437289,2.1962754222184424,0.33324706465916865
chicago,Jun,False,25,1.6064489846036936,-1.478984673121282,4.691882642328669,0.39177512126530756
chicago,Mar,False,39,-0.8332103467460695,-3.200639147455412,1.5342184539632728,0.5626553595523291
los-angeles,Dec,True,39,0.27828162293821085,0.15718223345845148,0.3993810124179702,0.0001569488405176812
los-angeles,Jun,True,34,-0.654624645456862,-2.110921894584844,0.80167260367112,0.4596743398512002
los-angeles,Mar,True,39,0.5472129486225857,0.10698467124187379,0.9874412260032976,0.040895549572209026
mexico-city,Dec,True,39,1.5601879876244416,1.0321125975645158,2.0882633776843673,1.1757175118469069e-06
mexico-city,Jun,True,34,8.279944299268035,3.8735743848542987,12.68631421368177,0.0019960457226590313
mexico-city,Mar,True,39,2.9753360010727845,1.565283170898927,4.385388831246642,0.000518936579991364
nashville,Dec,False,39,2.9560240461665774,-1.2055963080874417,7.117644400420596,0.2426658342352669
nashville,Jun,False,23,0.7015647392562688,-4.505491254867305,5.908620733379843,0.8246121704189575
nashville,Mar,False,39,4.350233567718706,-0.5289309602502998,9.229398095687712,0.14250081298155598
new-orleans,Dec,False,39,0.5818299542656182,-0.10671331227225288,1.2703732208034895,0.16455094269397363
new-orleans,Jun,False,33,3.216715163162339,-0.60802218267959,7.041452509004268,0.16655154845154296
new-orleans,Mar,False,39,1.23938527800262,-0.6752994459972964,3.1540700020025363,0.2870016518529863
