market,scrape,n,T_share,M_share
austin,2026-03-25,7333,0.0,0.0
austin,2026-04-23,7509,7.102588005504505e-05,0.0
austin,2026-05-25,7655,0.09425554415103729,0.041495443376566826
austin,2026-06-22,7568,0.9432670769153327,0.5793025772676936
austin,2026-07-18,7683,0.2407798912875055,0.0
austin,2026-08-25,7673,0.0,0.0
chicago,2026-04-24,4718,0.0001483679525222552,0.0
chicago,2026-05-26,4960,0.1981518817204301,0.06896217357910905
chicago,2026-06-24,4769,0.8816718090045832,0.18992800726916895
chicago,2026-07-20,5030,0.0,0.0
chicago,2026-08-27,5124,0.0,0.0
los-angeles,2026-03-16,17788,0.0,0.0
los-angeles,2026-04-14,17752,0.0,0.0
los-angeles,2026-05-23,18373,0.09479787887505735,0.05694562155129292
los-angeles,2026-06-15,18225,0.9751137239532301,0.4831226076164348
los-angeles,2026-07-12,18252,0.6457618473644116,0.0
los-angeles,2026-08-10,18187,0.0,0.0
mexico-city,2026-03-30,18909,0.0,0.0
mexico-city,2026-04-29,19973,0.0033470184749411704,0.0027119945259433567
mexico-city,2026-05-29,22784,0.1342674683988764,0.0414789827447833
mexico-city,2026-06-15,23735,0.9842054630995014,0.3995668442224162
mexico-city,2026-07-14,24519,0.7311507693741879,0.0
mexico-city,2026-08-30,23601,0.0,0.0
nashville,2026-04-25,5669,0.0002616569647792086,0.0
nashville,2026-05-26,7617,0.0670061328982164,0.03552642272610764
nashville,2026-06-26,7871,0.9580757573007604,0.2925567635261448
nashville,2026-07-21,7795,0.0,0.0
nashville,2026-08-27,7603,0.0,0.0
new-orleans,2026-03-19,3797,0.0,0.0
new-orleans,2026-04-18,3701,0.0,0.0
new-orleans,2026-05-23,4045,0.037309435517099296,0.019633292130201898
new-orleans,2026-06-16,3944,0.9960065922920892,0.6741228387906887
new-orleans,2026-07-15,3936,0.6938679587688734,0.0
new-orleans,2026-08-15,4047,0.0,0.0
