cls,ym,n_vm_cur,n_vm_prior,yoy_pct,n_markets
control,2026-03,144834.0,141150.0,2.6099893730074486,19
control,2026-04,140467.0,135907.0,3.3552355654969945,19
control,2026-05,167288.0,154547.0,8.244094029647941,19
control,2026-06,159719.0,163067.0,-2.0531437997878155,19
control,2026-07,180102.0,173220.0,3.972982334603392,19
host,2026-03,176321.0,165116.0,6.786138230092775,19
host,2026-04,180069.0,166669.0,8.039887441575821,19
host,2026-05,210196.0,179184.0,17.307348870434858,19
host,2026-06,226840.0,196098.0,15.67685544982611,19
host,2026-07,231125.0,202274.0,14.263325983566855,19
