market,round,host,X
austin,Dec,False,-0.00123485085180558
austin,Jun,False,0.1387980491117995
austin,Mar,False,0.009226288130214144
chicago,Dec,False,0.003584363829708781
chicago,Jun,False,0.12519144327670406
chicago,Mar,False,-0.02255457857980675
los-angeles,Dec,True,0.009229613886914623
los-angeles,Jun,True,0.1173815372662857
los-angeles,Mar,True,0.020255499313267505
mexico-city,Dec,True,0.050770775121796397
mexico-city,Jun,True,0.03988696019039184
mexico-city,Mar,True,-0.0017824074521998468
nashville,Dec,False,0.022272266364490728
nashville,Jun,False,0.14337630270009882
nashville,Mar,False,0.04962498942355342
new-orleans,Dec,False,-0.0004249348224552585
new-orleans,Jun,False,0.10694362254566245
new-orleans,Mar,False,0.027820697089471796
