market,market_key,scrape,lat,lon,nearest_venue,km,cls
vancouver,canada_bc_vancouver,2026-07-14,49.26002826690663,-123.11070433176693,"BC Place, Vancouver",1.8672995763472566,host
victoria,canada_bc_victoria,2026-07-24,48.511574285602926,-123.49930419209296,"BC Place, Vancouver",89.67606200872235,ring
winnipeg,canada_mb_winnipeg,2026-06-22,49.86249752857013,-97.13708167713715,"Arrowhead Stadium, Kansas City",1220.5062398795703,control
new-brunswick,canada_nb_new-brunswick,2026-06-30,46.20328305521102,-65.58498698796016,"Gillette Stadium, Foxborough",643.4447715612072,control
ottawa,canada_on_ottawa,2026-06-24,45.37128721990615,-75.70638132935635,"BMO Field, Toronto",352.1149042841126,control
toronto,canada_on_toronto,2026-07-14,43.683295194075406,-79.39793975495212,"BMO Field, Toronto",5.812999679329396,host
montreal,canada_qc_montreal,2026-06-15,45.511332945991526,-73.58631967386492,"Gillette Stadium, Foxborough",423.48651468382184,control
quebec-city,canada_qc_quebec-city,2026-07-16,46.81901231323123,-71.23553408566372,"Gillette Stadium, Foxborough",525.7470485467804,control
mexico-city,mexico_df_mexico-city,2026-06-15,19.403001803491797,-99.16372436426768,"Estadio Azteca, Mexico City",11.216944739140535,host
los-angeles,united-states_ca_los-angeles,2026-06-15,34.055078633937214,-118.31120365295925,"SoFi Stadium, Inglewood",11.586100143678248,host
oakland,united-states_ca_oakland,2026-06-27,37.81022123303585,-122.2371258271109,"Levi's Stadium, Santa Clara",51.03017856394415,host
pacific-grove,united-states_ca_pacific-grove,2026-06-14,36.62024146737626,-121.91975440720066,"Levi's Stadium, Santa Clara",87.15303501280069,ring
san-diego,united-states_ca_san-diego,2026-06-27,32.770591745447895,-117.1846013070193,"SoFi Stadium, Inglewood",169.69994515427308,ring
san-francisco,united-states_ca_san-francisco,2026-06-14,37.770981720843544,-122.42923105436327,"Levi's Stadium, Santa Clara",57.54676115711358,host
san-mateo-county,united-states_ca_san-mateo-county,2026-06-27,37.553737763562985,-122.3359913856456,"Levi's Stadium, Santa Clara",36.38635245563877,host
santa-clara-county,united-states_ca_santa-clara-county,2026-06-28,37.344925164313096,-121.95404353888848,"Levi's Stadium, Santa Clara",6.609769412641009,host
santa-cruz-county,united-states_ca_santa-cruz-county,2026-06-30,36.981419110218205,-121.9611550495039,"Levi's Stadium, Santa Clara",46.884202822796716,host
denver,united-states_co_denver,2026-06-30,39.74199003304154,-104.97467820166389,"Arrowhead Stadium, Kansas City",904.2345042899279,control
washington-dc,united-states_dc_washington-dc,2026-06-24,38.909072105590646,-77.01445404623831,"Lincoln Financial Field, Philadelphia",193.23363989248543,ring
broward-county,united-states_fl_broward-county,2026-06-29,26.107511170195785,-80.14109013008836,"Hard Rock Stadium, Miami Gardens",19.284419716937272,host
hawaii,united-states_hi_hawaii,2026-06-21,20.91783260563562,-157.21082170746854,"Levi's Stadium, Santa Clara",3849.9421459297378,control
chicago,united-states_il_chicago,2026-06-24,41.88997289540334,-87.66163778719842,"Arrowhead Stadium, Kansas City",657.625089766006,control
new-orleans,united-states_la_new-orleans,2026-06-16,29.958072839601844,-90.07247150104922,"NRG Stadium, Houston",515.8308541050541,control
boston,united-states_ma_boston,2026-06-15,42.33652923991934,-71.08197849577986,"Gillette Stadium, Foxborough",31.167949664643714,host
cambridge,united-states_ma_cambridge,2026-06-29,42.37377912486957,-71.10563463705746,"Gillette Stadium, Foxborough",34.059427915958864,host
twin-cities-msa,united-states_mn_twin-cities-msa,2026-06-27,45.00994259069272,-93.25572344916934,"Arrowhead Stadium, Kansas City",670.5312882565785,control
bozeman,united-states_mt_bozeman,2026-07-16,45.68177190020436,-111.05303689272162,"Lumen Field, Seattle",886.0895765374715,control
asheville,united-states_nc_asheville,2026-06-25,35.57548525048399,-82.55708003000724,"Mercedes-Benz Stadium, Atlanta",263.41122710307855,control
jersey-city,united-states_nj_jersey-city,2026-06-27,40.72705189638173,-74.06191808313679,"MetLife Stadium, East Rutherford",9.670808175098518,host
newark,united-states_nj_newark,2026-06-30,40.733179129242615,-74.19073594449694,"MetLife Stadium, East Rutherford",13.250359140678635,host
clark-county-nv,united-states_nv_clark-county-nv,2026-06-27,36.11917585075592,-115.16237525643444,"SoFi Stadium, Inglewood",376.3180148302634,control
albany,united-states_ny_albany,2026-07-15,42.65873805442778,-73.77767106193077,"MetLife Stadium, East Rutherford",206.6536397429585,control
new-york-city,united-states_ny_new-york-city,2026-08-10,40.72876335240494,-73.94673191261052,"MetLife Stadium, East Rutherford",14.301911310421092,host
rochester,united-states_ny_rochester,2026-07-21,43.153852699918545,-77.60509399077024,"BMO Field, Toronto",155.92027395321662,ring
columbus,united-states_oh_columbus,2026-06-29,39.98692063004747,-82.99053948301695,"BMO Field, Toronto",501.9123784025626,control
portland,united-states_or_portland,2026-06-15,45.52756238510731,-122.65254172264873,"Lumen Field, Seattle",231.21589951198393,control
salem-or,united-states_or_salem-or,2026-06-28,44.930759566189934,-123.03903267145782,"Lumen Field, Seattle",301.2183991373332,control
rhode-island,united-states_ri_rhode-island,2026-06-30,41.56608286580175,-71.41408523914026,"Gillette Stadium, Foxborough",59.66205037861642,host
nashville,united-states_tn_nashville,2026-06-26,36.16504016730548,-86.76753936541424,"Mercedes-Benz Stadium, Atlanta",343.9341689951596,control
austin,united-states_tx_austin,2026-06-22,30.281476390274648,-97.75121921464176,"NRG Stadium, Houston",234.98326264738844,control
dallas,united-states_tx_dallas,2026-07-20,32.80577212141902,-96.79627795257203,"AT&T Stadium, Arlington",28.62924970257838,host
fort-worth,united-states_tx_fort-worth,2026-06-21,32.763144606474384,-97.33381657107078,"AT&T Stadium, Arlington",22.448638377335275,host
seattle,united-states_wa_seattle,2026-06-15,47.62597173938322,-122.33447122370895,"Lumen Field, Seattle",3.4284243374998367,host
