window,as_of,guide_target,n,slope_turns_per_growth_pp,ci95_lo,ci95_hi,r2,ci_excludes_zero,sign,contains_0p486
W1,2024-08-06,2024Q3,9,-1.4051874580079644,-2.253805625137411,-0.5565692908785177,0.418902622549765,True,-,False
W1,2024-11-07,2024Q4,12,0.0351125368483182,-0.7003673766382297,0.7705924503348662,0.4937532150515072,False,+,True
W2,2024-11-07,2024Q4,10,-0.3189663163835187,-0.9863831240125278,0.3484504912454902,0.5662448893808922,False,-,False
W1,2025-02-13,2025Q1,15,0.3955219573154103,-0.0260360745685266,0.8170799891993472,0.4761867253775492,False,+,True
W2,2025-02-13,2025Q1,13,0.2957125808409191,-0.2130196303407099,0.8044447920225484,0.468554858182775,False,+,True
W1,2025-05-01,2025Q2,18,-0.2203937882111299,-0.4635918535419111,0.0228042771196511,0.5885801221753444,False,-,False
W2,2025-05-01,2025Q2,16,-0.1266615488656174,-0.3903143606894603,0.1369912629582254,0.5908880435497939,False,-,False
W1,2025-08-06,2025Q3,21,0.0777724650410961,-0.0694137649658526,0.2249586950480448,0.5645709733506643,False,+,False
W2,2025-08-06,2025Q3,19,0.1620019441017476,0.0233002049009874,0.3007036833025077,0.5686313105466841,True,+,False
W1,2025-11-06,2025Q4,24,0.1851246303677859,0.0492158727054204,0.3210333880301514,0.5573221240926113,True,+,False
W2,2025-11-06,2025Q4,22,0.2719357245458031,0.1492678371108456,0.3946036119807607,0.5734148053133125,True,+,False
W1,2026-02-12,2026Q1,27,0.2938303526188672,0.1153792171692274,0.472281488068507,0.4996690974310016,True,+,False
W2,2026-02-12,2026Q1,25,0.3925744353051494,0.2234180877901086,0.5617307828201902,0.5057445766635762,True,+,True
W1,2026-05-07,2026Q2,30,0.4192078834198885,0.321409517995976,0.5170062488438011,0.4988075527778446,True,+,True
W2,2026-05-07,2026Q2,28,0.4271022929443195,0.3755806751660068,0.4786239107226323,0.5430013744564324,True,+,False
