object,fee_treatment,sd_case,sd_pct,cushion_case,mean_musd,sd_total_musd,q05,q10,q25,q50,q75,q90,q95,interval80_lo,interval80_hi,p_below_lseg_3158,p_below_spglobal_3160,p_below_zacks_3200
guide,none,CHOSEN_3.03,3.0305087137639526,mean_1.8567,3161.2591013775545,117.02653419495286,2970.4135019111122,3011.9120013869256,3081.8132385522267,3160.302231963036,3239.6620103930904,3311.835838625304,3355.368774596447,3011.9120013869256,3311.835838625304,0.49215001868549657,0.4989695504053966,0.6324404499442479
guide,none,CHOSEN_3.03,3.0305087137639526,median_1.7905,3163.3166593914757,117.10270285924383,2972.3468448955114,3013.8723543592514,3083.819087906247,3162.3591671825984,3241.7705982430944,3313.9914020106635,3357.5526721165274,3013.8723543592514,3313.9914020106635,0.485146440596777,0.49196111152903765,0.6257551236336689
guide,none,SENSITIVITY_2.73,2.73,mean_1.8567,3161.2591013775545,109.38217577111388,2982.869662211934,3021.6620833221873,3087.004001022374,3160.370312624647,3234.545378742867,3301.9981245227023,3342.6803251834776,3021.6620833221873,3301.9981245227023,0.49135328018602287,0.4986492253794641,0.6410537351994532
guide,none,SENSITIVITY_2.73,2.73,median_1.7905,3163.3166593914757,109.4533689777145,2984.811112495238,3023.628782297349,3089.0132288703985,3162.4272921556394,3236.6506363481426,3304.14728486837,3344.8559642154255,3023.628782297349,3304.14728486837,0.48386075590165456,0.49115117892725757,0.6339579253199611
guide,theta_0.83_primitives_half,CHOSEN_3.03,3.0305087137639526,mean_1.8567,3178.7823964975832,117.67522841132164,2986.878913556688,3028.6074449375214,3098.896154299445,3177.8202230239517,3257.6199036491425,3330.193801363668,3373.9680464018356,3028.6074449375214,3330.193801363668,0.4330224591919205,0.43973474269033624,0.5746461990444999
guide,theta_0.83_primitives_half,CHOSEN_3.03,3.0305087137639526,median_1.7905,3180.851359839302,117.75181928902688,2988.822973327847,3030.5786644166956,3100.913122353031,3179.8885601190773,3259.7401796923623,3332.3613133341137,3376.1640495670185,3030.5786644166956,3332.3613133341137,0.42614674101449235,0.43283676543507293,0.5677220075068123
guide,theta_0.83_primitives_half,SENSITIVITY_2.73,2.73,mean_1.8567,3178.7823964975832,109.98849625461791,2999.4041200716965,3038.411572921436,3104.115689881743,3177.888681066058,3252.4749098041248,3320.3015554551985,3361.2092631640994,3038.411572921436,3320.3015554551985,0.42814133549310096,0.43530967940250365,0.5795427659669892
guide,theta_0.83_primitives_half,SENSITIVITY_2.73,2.73,median_1.7905,3180.851359839302,110.06008409498041,3001.3563320816365,3040.3891735802144,3106.1360551567914,3179.957062718238,3254.591837142611,3322.462628893021,3363.39696206321,3040.3891735802144,3322.462628893021,0.42080150693061297,0.4279430653435564,0.5721524800648944
print,none,CHOSEN_3.03,2.8590839216355013,mean_1.8567,3219.955560455246,114.7224491301973,3032.8644409628,3073.546726303595,3142.0735939974843,3219.0190722648326,3296.8167405098898,3367.5677491735755,3410.241196078031,3073.546726303595,3367.5677491735755,0.29657810308902094,0.30268908656498456,0.43406846671264193
print,none,SENSITIVITY_2.73,2.73,mean_1.8567,3219.955560455246,111.41312173221738,3038.253887752262,3077.766584450565,3144.3217336750754,3219.0502691788206,3294.602575691887,3363.307745649993,3404.7453102495347,3077.766584450565,3363.307745649993,0.2909970111462503,0.297237542593744,0.432016905305158
print,theta_0.83_primitives_half,CHOSEN_3.03,2.8590839216355013,mean_1.8567,3237.804218141876,115.35837148536103,3049.676026775197,3090.58381963351,3159.4905412045237,3236.8625388682867,3315.0914503163176,3386.23464157722,3429.144633282312,3090.58381963351,3386.23464157722,0.24586585212015935,0.25142123542613154,0.3743254310581073
print,theta_0.83_primitives_half,SENSITIVITY_2.73,2.73,mean_1.8567,3237.804218141876,112.03070002927785,3055.0953480113894,3094.8270690360855,3161.751142630354,3236.8939087110707,3312.865012077407,3381.9510242666743,3423.6182830008142,3094.8270690360855,3381.9510242666743,0.23936205275557346,0.24500364196385052,0.3706109109603807
