source_id,region,provider,dataset,gate_result,collection_outcome,compiled_rows,strict_pit_rows,reason,source_url
EUROSTAT_PLATFORM_NIGHTS_COUNTRY,Europe,Eurostat,Collaborative-platform nights by country,governed_snapshot_reuse,compiled_current_snapshot,99,0,Official EU27 collaborative-platform nights; current snapshot is diagnostic/prospective only.,https://ec.europa.eu/eurostat/
EUROSTAT_TOURISM_NIGHTS,Europe,Eurostat,Tourism nights at accommodation establishments,governed_snapshot_reuse,compiled_current_snapshot,42,0,Official EU27 total-tourism nights control; current snapshot is diagnostic/prospective only.,https://ec.europa.eu/eurostat/
BLS_CPI_LODGING,United States,U.S. Bureau of Labor Statistics,Consumer Price Index for other lodging away from home CUUR0000SEHB02,blocked_or_inconclusive,not_collected,0,0,robots guidance does not clearly allow the intended paths,https://api.bls.gov/publicAPI/v1/timeseries/data/CUUR0000SEHB02; https://www.bls.gov/cpi/additional-resources/index-publication-level.htm
BTS_T100,United States,U.S. Bureau of Transportation Statistics,T-100 domestic and international segment traffic,blocked_or_inconclusive,not_collected_provider_stop,0,0,Robots unresolved after 404/403; no payload.,https://www.transtats.bts.gov/
CENSUS_QSS_ACCOMMODATION,United States,U.S. Census Bureau,Quarterly Services Survey accommodation revenue estimates for NAICS 721,blocked_or_inconclusive,not_collected,0,0,source is not publicly accessible | robots guidance does not clearly allow the intended paths,https://api.census.gov/data/timeseries/qss.html
FHWA_TVT_VMT,United States,Federal Highway Administration Office of Highway Policy Information,Traffic Volume Trends monthly vehicle miles traveled reports and workbooks,blocked_or_inconclusive,not_collected_robots_disallowed,0,0,Workbook directory explicitly disallowed; index-only Allow does not extend to payloads.,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/tvt.cfm
FTA_NTD_MONTHLY_RIDERSHIP,United States,Federal Transit Administration National Transit Database,Raw Monthly Ridership no adjustments or estimates,blocked_or_inconclusive,not_collected_provider_stop,0,0,Robots request 403; permission unresolved.,https://www.transit.dot.gov/ntd/monthly-ridership; https://www.transit.dot.gov/ntd/data-product/monthly-modal-time-series-safety-and-service
LAX_TERMINAL_PASSENGERS,United States,Los Angeles World Airports via City of Los Angeles Open Data,Los Angeles International Airport Passenger Traffic by Terminal,blocked_or_inconclusive,not_collected_provider_stop,0,0,Terms page triggered conservative stop; robots does not explicitly Allow /resource.,https://data.lacity.org/Transportation/LAX-Passenger-Traffic-by-Terminal/g3qu-7q2u
NOLA_STR_PERMIT_EVENTS,United States,City of New Orleans,New Orleans short-term-rental permit applications,blocked_or_inconclusive,not_collected,0,0,terms do not clearly permit automation | robots guidance does not clearly allow the intended paths | CAPTCHA is required,https://data.nola.gov/Housing-Land-Use-and-Blight/Map-of-Short-Term-Rental-License-Applications/j5u3-2ueh
NPS_VISITOR_USE,United States,National Park Service Social Science Program,NPS Visitor Use Statistics monthly visitation and overnight stays,blocked_or_inconclusive,not_collected_robots_disallowed,0,0,Exact robots says Disallow: /.,https://irmaservices.nps.gov/v3/rest/Stats/help; https://home.nps.gov/subjects/socialscience/statistics-faq.htm
NYC_OSE_STR_SNAPSHOTS,United States,NYC Mayor's Office of Special Enforcement,NYC short-term-rental registration snapshots,blocked_or_inconclusive,not_collected,0,0,terms do not clearly permit automation | robots guidance does not clearly allow the intended paths | collection includes personal data,https://www.nyc.gov/site/specialenforcement/registration-law/registration-and-listing-data.page
PANYNJ_AIRPORT_PARKING,United States,Port Authority of New York and New Jersey via New York State Open Data,Port Authority Airport Parking Counts,blocked_or_inconclusive,not_collected_permission_unclear,0,0,Neither terms nor robots affirmatively authorizes the exact automated /resource request.,https://data.ny.gov/Transportation/Port-Authority-Airport-Parking-Counts/h87k-kqb6
SAN_DIEGO_STRO_ACTIVE,United States,City of San Diego,Active licenses for Short-Term Residential Occupancy,blocked_or_inconclusive,not_collected,0,0,terms do not clearly permit automation | robots guidance does not clearly allow the intended paths | collection includes personal data,https://data.sandiego.gov/datasets/stro-licenses/
SFO_AIR_PASSENGERS,United States,City and County of San Francisco,Air Traffic Passenger Statistics,allowed/reused,reused_governed_current_snapshot,384,0,"Useful aggregate monthly history, but all rows are current-snapshot observations unavailable for retrospective PIT testing.",https://data.sfgov.org/Transportation/Air-Traffic-Passenger-Statistics/rkru-6vcg
TSA_CHECKPOINT,United States,U.S. Transportation Security Administration,Daily TSA checkpoint travel numbers,blocked_or_inconclusive,not_collected_provider_stop,0,0,HTTP 403 on robots; no exact-path permission.,https://www.tsa.gov/travel/passenger-volumes
