event_index,prediction_id,issuing_fiscal_period,guided_fiscal_period,guidance_cutoff_utc,guidance_midpoint_usd_mm,prior_year_midpoint_usd_mm,guidance_yoy_growth,guidance_acceleration_pp,feature_id,feature_value,feature_change_pp,feature_reference_period,assumed_availability_utc_for_diagnostic,strict_pit_eligible,diagnostic_eligible,acceleration_direction_match,evidence_status,weight_fiscal_year,us_revenue_usd_mm,emea_revenue_usd_mm,us_weight,emea_weight,weight_available_at_utc,weight_source_url
1,ABNB-2020Q4-GUIDE,2020Q4,2021Q1,2021-02-25T21:05:00Z,,,,,US_SFO_T3M_YOY,,,,,false,false,,current_snapshot_diagnostic_only,,,,,,,
1,ABNB-2020Q4-GUIDE,2020Q4,2021Q1,2021-02-25T21:05:00Z,,,,,EU_PLATFORM_T3M_YOY,-0.34113041811660394,,2020-09,2021-01-28T00:00:00Z,false,true,,current_snapshot_diagnostic_only,,,,,,,
1,ABNB-2020Q4-GUIDE,2020Q4,2021Q1,2021-02-25T21:05:00Z,,,,,EU_TOURISM_T3M_YOY,,,,,false,false,,current_snapshot_diagnostic_only,,,,,,,
1,ABNB-2020Q4-GUIDE,2020Q4,2021Q1,2021-02-25T21:05:00Z,,,,,US_EU_50_50_COMPOSITE,,,,,false,false,,current_snapshot_diagnostic_only,,,,,,,
1,ABNB-2020Q4-GUIDE,2020Q4,2021Q1,2021-02-25T21:05:00Z,,,,,US_EMEA_REVENUE_WEIGHTED_COMPOSITE,,,,,false,false,,current_snapshot_diagnostic_only,,,,,,,
1,ABNB-2020Q4-GUIDE,2020Q4,2021Q1,2021-02-25T21:05:00Z,,,,,EU_PLATFORM_MINUS_TOURISM,,,,,false,false,,current_snapshot_diagnostic_only,,,,,,,
2,ABNB-2021Q1-GUIDE,2021Q1,2021Q2,2021-05-13T20:00:42Z,,,,,US_SFO_T3M_YOY,,,,,false,false,,current_snapshot_diagnostic_only,,,,,,,
2,ABNB-2021Q1-GUIDE,2021Q1,2021Q2,2021-05-13T20:00:42Z,,,,,EU_PLATFORM_T3M_YOY,-0.6140680057158187,-0.2729375875992147,2020-12,2021-04-30T00:00:00Z,false,true,,current_snapshot_diagnostic_only,,,,,,,
2,ABNB-2021Q1-GUIDE,2021Q1,2021Q2,2021-05-13T20:00:42Z,,,,,EU_TOURISM_T3M_YOY,,,,,false,false,,current_snapshot_diagnostic_only,,,,,,,
2,ABNB-2021Q1-GUIDE,2021Q1,2021Q2,2021-05-13T20:00:42Z,,,,,US_EU_50_50_COMPOSITE,,,,,false,false,,current_snapshot_diagnostic_only,,,,,,,
2,ABNB-2021Q1-GUIDE,2021Q1,2021Q2,2021-05-13T20:00:42Z,,,,,US_EMEA_REVENUE_WEIGHTED_COMPOSITE,,,,,false,false,,current_snapshot_diagnostic_only,,,,,,,
2,ABNB-2021Q1-GUIDE,2021Q1,2021Q2,2021-05-13T20:00:42Z,,,,,EU_PLATFORM_MINUS_TOURISM,,,,,false,false,,current_snapshot_diagnostic_only,,,,,,,
3,ABNB-2021Q2-GUIDE,2021Q2,2021Q3,2021-08-12T20:01:10Z,,,,,US_SFO_T3M_YOY,,,,,false,false,,current_snapshot_diagnostic_only,,,,,,,
