observation_id,source_id,provider,region_family,geography,reference_period,metric,segment_1,segment_2,value,unit,observed_first_available_at_utc,source_loaded_at_utc,collection_timestamp_utc,pit_treatment,strict_pit_eligible,included_in_feature,raw_file
1c562a287d5eae5ae9e4,EUROSTAT_PLATFORM_NIGHTS_COUNTRY,Eurostat,Europe,European Union - 27 countries (from 2020),2018-01,Nights spent,Total,January,15529049.0,Number,2026-09-03T20:50:17Z,2026-07-02T11:00:00+0200,2026-09-03T20:50:17Z,current_snapshot_diagnostic_only,false,true,eurostat_tour_ce_omr.json
fdcc76580ed5729e05f5,EUROSTAT_PLATFORM_NIGHTS_COUNTRY,Eurostat,Europe,European Union - 27 countries (from 2020),2018-02,Nights spent,Total,February,18592014.0,Number,2026-09-03T20:50:17Z,2026-07-02T11:00:00+0200,2026-09-03T20:50:17Z,current_snapshot_diagnostic_only,false,true,eurostat_tour_ce_omr.json
01cbabcb55c2514efd4e,EUROSTAT_PLATFORM_NIGHTS_COUNTRY,Eurostat,Europe,European Union - 27 countries (from 2020),2018-03,Nights spent,Total,March,23628485.0,Number,2026-09-03T20:50:17Z,2026-07-02T11:00:00+0200,2026-09-03T20:50:17Z,current_snapshot_diagnostic_only,false,true,eurostat_tour_ce_omr.json
c5151f3d58866b420594,EUROSTAT_PLATFORM_NIGHTS_COUNTRY,Eurostat,Europe,European Union - 27 countries (from 2020),2018-04,Nights spent,Total,April,27942458.0,Number,2026-09-03T20:50:17Z,2026-07-02T11:00:00+0200,2026-09-03T20:50:17Z,current_snapshot_diagnostic_only,false,true,eurostat_tour_ce_omr.json
9dc263873be74ed17706,EUROSTAT_PLATFORM_NIGHTS_COUNTRY,Eurostat,Europe,European Union - 27 countries (from 2020),2018-05,Nights spent,Total,May,34465513.0,Number,2026-09-03T20:50:17Z,2026-07-02T11:00:00+0200,2026-09-03T20:50:17Z,current_snapshot_diagnostic_only,false,true,eurostat_tour_ce_omr.json
7314ff9a612408042c63,EUROSTAT_PLATFORM_NIGHTS_COUNTRY,Eurostat,Europe,European Union - 27 countries (from 2020),2018-06,Nights spent,Total,June,43406487.0,Number,2026-09-03T20:50:17Z,2026-07-02T11:00:00+0200,2026-09-03T20:50:17Z,current_snapshot_diagnostic_only,false,true,eurostat_tour_ce_omr.json
3316df031d87b0244fcd,EUROSTAT_PLATFORM_NIGHTS_COUNTRY,Eurostat,Europe,European Union - 27 countries (from 2020),2018-07,Nights spent,Total,July,76117667.0,Number,2026-09-03T20:50:17Z,2026-07-02T11:00:00+0200,2026-09-03T20:50:17Z,current_snapshot_diagnostic_only,false,true,eurostat_tour_ce_omr.json
238ec29644e8f7fc7963,EUROSTAT_PLATFORM_NIGHTS_COUNTRY,Eurostat,Europe,European Union - 27 countries (from 2020),2018-08,Nights spent,Total,August,83546771.0,Number,2026-09-03T20:50:17Z,2026-07-02T11:00:00+0200,2026-09-03T20:50:17Z,current_snapshot_diagnostic_only,false,true,eurostat_tour_ce_omr.json
9abbda9cf312c939c47a,EUROSTAT_PLATFORM_NIGHTS_COUNTRY,Eurostat,Europe,European Union - 27 countries (from 2020),2018-09,Nights spent,Total,September,43132226.0,Number,2026-09-03T20:50:17Z,2026-07-02T11:00:00+0200,2026-09-03T20:50:17Z,current_snapshot_diagnostic_only,false,true,eurostat_tour_ce_omr.json
cfc02fbb6410c6d4f268,EUROSTAT_PLATFORM_NIGHTS_COUNTRY,Eurostat,Europe,European Union - 27 countries (from 2020),2018-10,Nights spent,Total,October,31947547.0,Number,2026-09-03T20:50:17Z,2026-07-02T11:00:00+0200,2026-09-03T20:50:17Z,current_snapshot_diagnostic_only,false,true,eurostat_tour_ce_omr.json
