arm,horizon_quarters,model,window,comparison,n_total,actual_sign,predicted_sign,n_cell,always_majority_sign_accuracy
calendar_minus16,2,fixed,W1,guide_common_cushion_proxy,14,-1,-1,1,0.8571428571428571
calendar_minus16,2,fixed,W1,guide_common_cushion_proxy,14,-1,0,0,0.8571428571428571
calendar_minus16,2,fixed,W1,guide_common_cushion_proxy,14,-1,1,1,0.8571428571428571
calendar_minus16,2,fixed,W1,guide_common_cushion_proxy,14,0,-1,0,0.8571428571428571
calendar_minus16,2,fixed,W1,guide_common_cushion_proxy,14,0,0,0,0.8571428571428571
calendar_minus16,2,fixed,W1,guide_common_cushion_proxy,14,0,1,0,0.8571428571428571
calendar_minus16,2,fixed,W1,guide_common_cushion_proxy,14,1,-1,1,0.8571428571428571
calendar_minus16,2,fixed,W1,guide_common_cushion_proxy,14,1,0,0,0.8571428571428571
calendar_minus16,2,fixed,W1,guide_common_cushion_proxy,14,1,1,11,0.8571428571428571
calendar_minus16,2,fixed,W1,revenue_same_object,14,-1,-1,1,0.7857142857142857
calendar_minus16,2,fixed,W1,revenue_same_object,14,-1,0,0,0.7857142857142857
calendar_minus16,2,fixed,W1,revenue_same_object,14,-1,1,2,0.7857142857142857
calendar_minus16,2,fixed,W1,revenue_same_object,14,0,-1,0,0.7857142857142857
calendar_minus16,2,fixed,W1,revenue_same_object,14,0,0,0,0.7857142857142857
calendar_minus16,2,fixed,W1,revenue_same_object,14,0,1,0,0.7857142857142857
calendar_minus16,2,fixed,W1,revenue_same_object,14,1,-1,1,0.7857142857142857
calendar_minus16,2,fixed,W1,revenue_same_object,14,1,0,0,0.7857142857142857
calendar_minus16,2,fixed,W1,revenue_same_object,14,1,1,10,0.7857142857142857
calendar_minus16,2,fixed,W1,guide_vs_raw_revenue_different_objects,14,-1,-1,4,0.5714285714285714
calendar_minus16,2,fixed,W1,guide_vs_raw_revenue_different_objects,14,-1,0,0,0.5714285714285714
calendar_minus16,2,fixed,W1,guide_vs_raw_revenue_different_objects,14,-1,1,4,0.5714285714285714
calendar_minus16,2,fixed,W1,guide_vs_raw_revenue_different_objects,14,0,-1,0,0.5714285714285714
calendar_minus16,2,fixed,W1,guide_vs_raw_revenue_different_objects,14,0,0,0,0.5714285714285714
calendar_minus16,2,fixed,W1,guide_vs_raw_revenue_different_objects,14,0,1,0,0.5714285714285714
calendar_minus16,2,fixed,W1,guide_vs_raw_revenue_different_objects,14,1,-1,2,0.5714285714285714
calendar_minus16,2,fixed,W1,guide_vs_raw_revenue_different_objects,14,1,0,0,0.5714285714285714
calendar_minus16,2,fixed,W1,guide_vs_raw_revenue_different_objects,14,1,1,4,0.5714285714285714
calendar_minus16,2,fixed,W2,guide_common_cushion_proxy,10,-1,-1,1,0.8
calendar_minus16,2,fixed,W2,guide_common_cushion_proxy,10,-1,0,0,0.8
calendar_minus16,2,fixed,W2,guide_common_cushion_proxy,10,-1,1,1,0.8
calendar_minus16,2,fixed,W2,guide_common_cushion_proxy,10,0,-1,0,0.8
calendar_minus16,2,fixed,W2,guide_common_cushion_proxy,10,0,0,0,0.8
calendar_minus16,2,fixed,W2,guide_common_cushion_proxy,10,0,1,0,0.8
calendar_minus16,2,fixed,W2,guide_common_cushion_proxy,10,1,-1,1,0.8
calendar_minus16,2,fixed,W2,guide_common_cushion_proxy,10,1,0,0,0.8
calendar_minus16,2,fixed,W2,guide_common_cushion_proxy,10,1,1,7,0.8
calendar_minus16,2,fixed,W2,revenue_same_object,10,-1,-1,1,0.7
calendar_minus16,2,fixed,W2,revenue_same_object,10,-1,0,0,0.7
calendar_minus16,2,fixed,W2,revenue_same_object,10,-1,1,2,0.7
calendar_minus16,2,fixed,W2,revenue_same_object,10,0,-1,0,0.7
calendar_minus16,2,fixed,W2,revenue_same_object,10,0,0,0,0.7
calendar_minus16,2,fixed,W2,revenue_same_object,10,0,1,0,0.7
calendar_minus16,2,fixed,W2,revenue_same_object,10,1,-1,1,0.7
calendar_minus16,2,fixed,W2,revenue_same_object,10,1,0,0,0.7
calendar_minus16,2,fixed,W2,revenue_same_object,10,1,1,6,0.7
calendar_minus16,2,fixed,W2,guide_vs_raw_revenue_different_objects,10,-1,-1,3,0.6
calendar_minus16,2,fixed,W2,guide_vs_raw_revenue_different_objects,10,-1,0,0,0.6
calendar_minus16,2,fixed,W2,guide_vs_raw_revenue_different_objects,10,-1,1,3,0.6
calendar_minus16,2,fixed,W2,guide_vs_raw_revenue_different_objects,10,0,-1,0,0.6
calendar_minus16,2,fixed,W2,guide_vs_raw_revenue_different_objects,10,0,0,0,0.6
calendar_minus16,2,fixed,W2,guide_vs_raw_revenue_different_objects,10,0,1,0,0.6
