arm,horizon_quarters,model,window,comparison,n_paired,n_row_specific_asof_proof,strict_original_row_proof_status
calendar_minus16,2,fixed,W1,guide_common_cushion_proxy,14,0,UNAVAILABLE
calendar_minus16,2,fixed,W1,revenue_same_object,14,0,UNAVAILABLE
calendar_minus16,2,fixed,W1,guide_vs_raw_revenue_different_objects,14,0,UNAVAILABLE
calendar_minus16,2,fixed,W2,guide_common_cushion_proxy,10,0,UNAVAILABLE
calendar_minus16,2,fixed,W2,revenue_same_object,10,0,UNAVAILABLE
calendar_minus16,2,fixed,W2,guide_vs_raw_revenue_different_objects,10,0,UNAVAILABLE
calendar_minus16,2,guide_growth,W1,guide_common_cushion_proxy,14,0,UNAVAILABLE
calendar_minus16,2,guide_growth,W1,revenue_same_object,14,0,UNAVAILABLE
calendar_minus16,2,guide_growth,W1,guide_vs_raw_revenue_different_objects,14,0,UNAVAILABLE
calendar_minus16,2,guide_growth,W2,guide_common_cushion_proxy,10,0,UNAVAILABLE
calendar_minus16,2,guide_growth,W2,revenue_same_object,10,0,UNAVAILABLE
calendar_minus16,2,guide_growth,W2,guide_vs_raw_revenue_different_objects,10,0,UNAVAILABLE
calendar_minus16,2,joint,W1,guide_common_cushion_proxy,11,0,UNAVAILABLE
calendar_minus16,2,joint,W1,revenue_same_object,11,0,UNAVAILABLE
calendar_minus16,2,joint,W1,guide_vs_raw_revenue_different_objects,11,0,UNAVAILABLE
calendar_minus16,2,joint,W2,guide_common_cushion_proxy,10,0,UNAVAILABLE
calendar_minus16,2,joint,W2,revenue_same_object,10,0,UNAVAILABLE
calendar_minus16,2,joint,W2,guide_vs_raw_revenue_different_objects,10,0,UNAVAILABLE
calendar_minus16,2,revenue_growth,W1,guide_common_cushion_proxy,14,0,UNAVAILABLE
calendar_minus16,2,revenue_growth,W1,revenue_same_object,14,0,UNAVAILABLE
calendar_minus16,2,revenue_growth,W1,guide_vs_raw_revenue_different_objects,14,0,UNAVAILABLE
calendar_minus16,2,revenue_growth,W2,guide_common_cushion_proxy,10,0,UNAVAILABLE
calendar_minus16,2,revenue_growth,W2,revenue_same_object,10,0,UNAVAILABLE
calendar_minus16,2,revenue_growth,W2,guide_vs_raw_revenue_different_objects,10,0,UNAVAILABLE
calendar_minus16,3,fixed,W1,guide_common_cushion_proxy,0,0,UNAVAILABLE
calendar_minus16,3,fixed,W1,revenue_same_object,0,0,UNAVAILABLE
calendar_minus16,3,fixed,W1,guide_vs_raw_revenue_different_objects,0,0,UNAVAILABLE
calendar_minus16,3,fixed,W2,guide_common_cushion_proxy,0,0,UNAVAILABLE
calendar_minus16,3,fixed,W2,revenue_same_object,0,0,UNAVAILABLE
calendar_minus16,3,fixed,W2,guide_vs_raw_revenue_different_objects,0,0,UNAVAILABLE
calendar_minus16,3,guide_growth,W1,guide_common_cushion_proxy,0,0,UNAVAILABLE
calendar_minus16,3,guide_growth,W1,revenue_same_object,0,0,UNAVAILABLE
calendar_minus16,3,guide_growth,W1,guide_vs_raw_revenue_different_objects,0,0,UNAVAILABLE
calendar_minus16,3,guide_growth,W2,guide_common_cushion_proxy,0,0,UNAVAILABLE
calendar_minus16,3,guide_growth,W2,revenue_same_object,0,0,UNAVAILABLE
calendar_minus16,3,guide_growth,W2,guide_vs_raw_revenue_different_objects,0,0,UNAVAILABLE
calendar_minus16,3,joint,W1,guide_common_cushion_proxy,0,0,UNAVAILABLE
calendar_minus16,3,joint,W1,revenue_same_object,0,0,UNAVAILABLE
calendar_minus16,3,joint,W1,guide_vs_raw_revenue_different_objects,0,0,UNAVAILABLE
calendar_minus16,3,joint,W2,guide_common_cushion_proxy,0,0,UNAVAILABLE
calendar_minus16,3,joint,W2,revenue_same_object,0,0,UNAVAILABLE
calendar_minus16,3,joint,W2,guide_vs_raw_revenue_different_objects,0,0,UNAVAILABLE
calendar_minus16,3,revenue_growth,W1,guide_common_cushion_proxy,0,0,UNAVAILABLE
calendar_minus16,3,revenue_growth,W1,revenue_same_object,0,0,UNAVAILABLE
calendar_minus16,3,revenue_growth,W1,guide_vs_raw_revenue_different_objects,0,0,UNAVAILABLE
calendar_minus16,3,revenue_growth,W2,guide_common_cushion_proxy,0,0,UNAVAILABLE
calendar_minus16,3,revenue_growth,W2,revenue_same_object,0,0,UNAVAILABLE
calendar_minus16,3,revenue_growth,W2,guide_vs_raw_revenue_different_objects,0,0,UNAVAILABLE
calendar_minus16,4,fixed,W1,guide_common_cushion_proxy,0,0,UNAVAILABLE
calendar_minus16,4,fixed,W1,revenue_same_object,0,0,UNAVAILABLE
calendar_minus16,4,fixed,W1,guide_vs_raw_revenue_different_objects,0,0,UNAVAILABLE
calendar_minus16,4,fixed,W2,guide_common_cushion_proxy,0,0,UNAVAILABLE
calendar_minus16,4,fixed,W2,revenue_same_object,0,0,UNAVAILABLE
calendar_minus16,4,fixed,W2,guide_vs_raw_revenue_different_objects,0,0,UNAVAILABLE
calendar_minus16,4,guide_growth,W1,guide_common_cushion_proxy,0,0,UNAVAILABLE
calendar_minus16,4,guide_growth,W1,revenue_same_object,0,0,UNAVAILABLE
calendar_minus16,4,guide_growth,W1,guide_vs_raw_revenue_different_objects,0,0,UNAVAILABLE
calendar_minus16,4,guide_growth,W2,guide_common_cushion_proxy,0,0,UNAVAILABLE
calendar_minus16,4,guide_growth,W2,revenue_same_object,0,0,UNAVAILABLE
calendar_minus16,4,guide_growth,W2,guide_vs_raw_revenue_different_objects,0,0,UNAVAILABLE
calendar_minus16,4,joint,W1,guide_common_cushion_proxy,0,0,UNAVAILABLE
calendar_minus16,4,joint,W1,revenue_same_object,0,0,UNAVAILABLE
calendar_minus16,4,joint,W1,guide_vs_raw_revenue_different_objects,0,0,UNAVAILABLE
calendar_minus16,4,joint,W2,guide_common_cushion_proxy,0,0,UNAVAILABLE
calendar_minus16,4,joint,W2,revenue_same_object,0,0,UNAVAILABLE
calendar_minus16,4,joint,W2,guide_vs_raw_revenue_different_objects,0,0,UNAVAILABLE
calendar_minus16,4,revenue_growth,W1,guide_common_cushion_proxy,0,0,UNAVAILABLE
calendar_minus16,4,revenue_growth,W1,revenue_same_object,0,0,UNAVAILABLE
calendar_minus16,4,revenue_growth,W1,guide_vs_raw_revenue_different_objects,0,0,UNAVAILABLE
calendar_minus16,4,revenue_growth,W2,guide_common_cushion_proxy,0,0,UNAVAILABLE
calendar_minus16,4,revenue_growth,W2,revenue_same_object,0,0,UNAVAILABLE
calendar_minus16,4,revenue_growth,W2,guide_vs_raw_revenue_different_objects,0,0,UNAVAILABLE
release_day,2,fixed,W1,guide_common_cushion_proxy,0,0,UNAVAILABLE
release_day,2,fixed,W1,revenue_same_object,0,0,UNAVAILABLE
release_day,2,fixed,W1,guide_vs_raw_revenue_different_objects,0,0,UNAVAILABLE
release_day,2,fixed,W2,guide_common_cushion_proxy,0,0,UNAVAILABLE
release_day,2,fixed,W2,revenue_same_object,0,0,UNAVAILABLE
release_day,2,fixed,W2,guide_vs_raw_revenue_different_objects,0,0,UNAVAILABLE
release_day,2,guide_growth,W1,guide_common_cushion_proxy,0,0,UNAVAILABLE
release_day,2,guide_growth,W1,revenue_same_object,0,0,UNAVAILABLE
release_day,2,guide_growth,W1,guide_vs_raw_revenue_different_objects,0,0,UNAVAILABLE
release_day,2,guide_growth,W2,guide_common_cushion_proxy,0,0,UNAVAILABLE
release_day,2,guide_growth,W2,revenue_same_object,0,0,UNAVAILABLE
release_day,2,guide_growth,W2,guide_vs_raw_revenue_different_objects,0,0,UNAVAILABLE
release_day,2,joint,W1,guide_common_cushion_proxy,0,0,UNAVAILABLE
release_day,2,joint,W1,revenue_same_object,0,0,UNAVAILABLE
release_day,2,joint,W1,guide_vs_raw_revenue_different_objects,0,0,UNAVAILABLE
release_day,2,joint,W2,guide_common_cushion_proxy,0,0,UNAVAILABLE
release_day,2,joint,W2,revenue_same_object,0,0,UNAVAILABLE
release_day,2,joint,W2,guide_vs_raw_revenue_different_objects,0,0,UNAVAILABLE
release_day,2,revenue_growth,W1,guide_common_cushion_proxy,0,0,UNAVAILABLE
release_day,2,revenue_growth,W1,revenue_same_object,0,0,UNAVAILABLE
release_day,2,revenue_growth,W1,guide_vs_raw_revenue_different_objects,0,0,UNAVAILABLE
release_day,2,revenue_growth,W2,guide_common_cushion_proxy,0,0,UNAVAILABLE
release_day,2,revenue_growth,W2,revenue_same_object,0,0,UNAVAILABLE
release_day,2,revenue_growth,W2,guide_vs_raw_revenue_different_objects,0,0,UNAVAILABLE
release_day,3,fixed,W1,guide_common_cushion_proxy,0,0,UNAVAILABLE
release_day,3,fixed,W1,revenue_same_object,0,0,UNAVAILABLE
release_day,3,fixed,W1,guide_vs_raw_revenue_different_objects,0,0,UNAVAILABLE
