arm,horizon_quarters,model,window,comparison,dropped_dimension,min,max,count
calendar_minus16,2,fixed,W1,guide_common_cushion_proxy,target_quarter,0.6531481154003954,0.930375944406464,14
calendar_minus16,2,fixed,W1,guide_common_cushion_proxy,target_year,0.6429195827222077,0.8672727149927465,4
calendar_minus16,2,fixed,W1,guide_vs_raw_revenue_different_objects,target_quarter,0.9403924655088681,1.253630912174714,14
calendar_minus16,2,fixed,W1,guide_vs_raw_revenue_different_objects,target_year,0.8940915217942524,1.1138389928922785,4
calendar_minus16,2,fixed,W1,revenue_same_object,target_quarter,0.7847100179305402,1.0199970255714952,14
calendar_minus16,2,fixed,W1,revenue_same_object,target_year,0.8178404402762889,1.0463218145430762,4
calendar_minus16,2,fixed,W2,guide_common_cushion_proxy,target_quarter,0.7135857079713774,1.0285352549276812,10
calendar_minus16,2,fixed,W2,guide_common_cushion_proxy,target_year,0.7062879129255185,1.3483516173659211,3
calendar_minus16,2,fixed,W2,guide_vs_raw_revenue_different_objects,target_quarter,0.9226984074766558,1.48071281380498,10
calendar_minus16,2,fixed,W2,guide_vs_raw_revenue_different_objects,target_year,0.8223842319104963,1.3025194800781064,3
calendar_minus16,2,fixed,W2,revenue_same_object,target_quarter,0.6388252250583454,1.068572681193961,10
calendar_minus16,2,fixed,W2,revenue_same_object,target_year,0.6675148511938438,1.2491774688562933,3
calendar_minus16,2,guide_growth,W1,guide_common_cushion_proxy,target_quarter,0.5177942128909486,0.8015006420279678,14
calendar_minus16,2,guide_growth,W1,guide_common_cushion_proxy,target_year,0.6085170796431656,0.6903850503670351,4
calendar_minus16,2,guide_growth,W1,guide_vs_raw_revenue_different_objects,target_quarter,0.7343990708608485,1.079978461411259,14
calendar_minus16,2,guide_growth,W1,guide_vs_raw_revenue_different_objects,target_year,0.8720125096069098,0.9869332229550178,4
calendar_minus16,2,guide_growth,W1,revenue_same_object,target_quarter,0.7417886135220166,1.031858485849597,14
calendar_minus16,2,guide_growth,W1,revenue_same_object,target_year,0.7780415858792333,0.9420979098342193,4
calendar_minus16,2,guide_growth,W2,guide_common_cushion_proxy,target_quarter,0.635514016051384,0.7952343969298885,10
calendar_minus16,2,guide_growth,W2,guide_common_cushion_proxy,target_year,0.6063959582139392,0.8743785809027143,3
calendar_minus16,2,guide_growth,W2,guide_vs_raw_revenue_different_objects,target_quarter,0.8246509358520724,1.0685404114415924,10
calendar_minus16,2,guide_growth,W2,guide_vs_raw_revenue_different_objects,target_year,0.7921803775143709,1.0282347065546542,3
calendar_minus16,2,guide_growth,W2,revenue_same_object,target_quarter,0.8637165855102293,1.0414874656671003,10
calendar_minus16,2,guide_growth,W2,revenue_same_object,target_year,0.8121257851057133,1.2200298893367159,3
calendar_minus16,2,joint,W1,guide_common_cushion_proxy,target_quarter,0.5968951749317529,0.850820033727807,11
calendar_minus16,2,joint,W1,guide_common_cushion_proxy,target_year,0.5994953854690374,0.9613405253262625,4
calendar_minus16,2,joint,W1,guide_vs_raw_revenue_different_objects,target_quarter,0.703983842450188,1.2955127443820882,11
calendar_minus16,2,joint,W1,guide_vs_raw_revenue_different_objects,target_year,0.7173847262761167,1.3298603201595263,4
calendar_minus16,2,joint,W1,revenue_same_object,target_quarter,0.5756452169839594,0.7265701687407169,11
calendar_minus16,2,joint,W1,revenue_same_object,target_year,0.5749479715829544,0.7686268318025136,4
calendar_minus16,2,joint,W2,guide_common_cushion_proxy,target_quarter,0.5494346498288457,0.8269672637376982,10
calendar_minus16,2,joint,W2,guide_common_cushion_proxy,target_year,0.5476996518746196,0.933516307748111,3
calendar_minus16,2,joint,W2,guide_vs_raw_revenue_different_objects,target_quarter,0.6319809874792678,1.2285698189488892,10
calendar_minus16,2,joint,W2,guide_vs_raw_revenue_different_objects,target_year,0.637727970819818,1.2576474930340933,3
calendar_minus16,2,joint,W2,revenue_same_object,target_quarter,0.5362590003968419,0.6908777695836207,10
calendar_minus16,2,joint,W2,revenue_same_object,target_year,0.5281076857873723,0.724653794316454,3
calendar_minus16,2,revenue_growth,W1,guide_common_cushion_proxy,target_quarter,0.8614782689998439,1.2662687898382574,14
calendar_minus16,2,revenue_growth,W1,guide_common_cushion_proxy,target_year,0.8301096038968424,1.3992320459549115,4
calendar_minus16,2,revenue_growth,W1,guide_vs_raw_revenue_different_objects,target_quarter,1.238948726939827,1.7062282269948563,14
calendar_minus16,2,revenue_growth,W1,guide_vs_raw_revenue_different_objects,target_year,1.2558152185170435,1.7673439586602808,4
calendar_minus16,2,revenue_growth,W1,revenue_same_object,target_quarter,0.9782095010636206,1.3735021209154263,14
calendar_minus16,2,revenue_growth,W1,revenue_same_object,target_year,0.9296659100017698,1.4332657428865465,4
calendar_minus16,2,revenue_growth,W2,guide_common_cushion_proxy,target_quarter,1.2240674911215164,1.5383709688367602,10
calendar_minus16,2,revenue_growth,W2,guide_common_cushion_proxy,target_year,1.195278517773216,1.807100714906467,3
calendar_minus16,2,revenue_growth,W2,guide_vs_raw_revenue_different_objects,target_quarter,1.5589188132559517,2.058122319192891,10
calendar_minus16,2,revenue_growth,W2,guide_vs_raw_revenue_different_objects,target_year,1.6202840081587502,2.026772836008941,3
calendar_minus16,2,revenue_growth,W2,revenue_same_object,target_quarter,1.1970419992321104,1.571120969606985,10
calendar_minus16,2,revenue_growth,W2,revenue_same_object,target_year,1.1425404457014037,1.7255126165361045,3
