vector,month,value,release
v41691191,2012-01,75.8,2012-02-17T07:00
v41691191,2012-02,79.6,2012-03-23T07:00
v41691191,2012-03,78.5,2012-04-20T08:30
v41691191,2012-04,78.0,2012-05-18T08:30
v41691191,2012-05,84.9,2012-06-22T08:30
v41691191,2012-06,86.4,2012-07-20T08:30
v41691191,2012-07,90.8,2012-08-17T08:30
v41691191,2012-08,93.2,2012-09-21T08:30
v41691191,2012-09,90.0,2012-10-19T08:30
v41691191,2012-10,82.5,2012-11-23T08:30
v41691191,2012-11,80.6,2012-12-21T08:30
v41691191,2012-12,76.3,2013-01-25T08:30
v41691191,2013-01,77.9,2021-07-28T08:30
v41691191,2013-02,81.4,2021-07-28T08:30
v41691191,2013-03,79.4,2021-07-28T08:30
v41691191,2013-04,79.4,2021-07-28T08:30
v41691191,2013-05,86.0,2021-07-28T08:30
v41691191,2013-06,87.1,2021-07-28T08:30
v41691191,2013-07,92.9,2021-07-28T08:30
v41691191,2013-08,94.5,2021-07-28T08:30
v41691191,2013-09,91.5,2021-07-28T08:30
v41691191,2013-10,84.1,2021-07-28T08:30
v41691191,2013-11,79.8,2021-07-28T08:30
v41691191,2013-12,76.5,2021-07-28T08:30
v41691191,2014-01,78.0,2021-07-28T08:30
v41691191,2014-02,81.7,2021-07-28T08:30
v41691191,2014-03,79.0,2021-07-28T08:30
v41691191,2014-04,76.5,2021-07-28T08:30
v41691191,2014-05,87.1,2021-07-28T08:30
v41691191,2014-06,91.8,2021-07-28T08:30
v41691191,2014-07,95.2,2021-07-28T08:30
v41691191,2014-08,99.0,2021-07-28T08:30
v41691191,2014-09,94.5,2021-07-28T08:30
v41691191,2014-10,87.7,2021-07-28T08:30
v41691191,2014-11,81.5,2021-07-28T08:30
v41691191,2014-12,78.2,2021-07-28T08:30
v41691191,2015-01,78.9,2021-07-28T08:30
v41691191,2015-02,80.0,2021-07-28T08:30
v41691191,2015-03,80.3,2021-07-28T08:30
v41691191,2015-04,81.6,2021-07-28T08:30
v41691191,2015-05,93.6,2021-07-28T08:30
v41691191,2015-06,100.0,2021-07-28T08:30
v41691191,2015-07,103.9,2021-07-28T08:30
v41691191,2015-08,106.3,2021-07-28T08:30
v41691191,2015-09,104.7,2021-07-28T08:30
v41691191,2015-10,91.9,2021-07-28T08:30
v41691191,2015-11,83.0,2021-07-28T08:30
v41691191,2015-12,80.4,2021-07-28T08:30
v41691191,2016-01,82.5,2021-07-28T08:30
v41691191,2016-02,83.9,2021-07-28T08:30
v41691191,2016-03,84.7,2021-07-28T08:30
v41691191,2016-04,86.2,2021-07-28T08:30
v41691191,2016-05,95.7,2021-07-28T08:30
v41691191,2016-06,99.1,2021-07-28T08:30
v41691191,2016-07,104.6,2021-07-28T08:30
v41691191,2016-08,106.3,2021-07-28T08:30
v41691191,2016-09,106.8,2021-07-28T08:30
v41691191,2016-10,94.6,2021-07-28T08:30
v41691191,2016-11,87.6,2021-07-28T08:30
v41691191,2016-12,81.2,2021-07-28T08:30
v41691191,2017-01,83.9,2021-07-28T08:30
v41691191,2017-02,89.1,2021-07-28T08:30
v41691191,2017-03,85.9,2021-07-28T08:30
v41691191,2017-04,91.1,2021-07-28T08:30
v41691191,2017-05,101.7,2021-07-28T08:30
v41691191,2017-06,106.1,2021-07-28T08:30
v41691191,2017-07,113.5,2021-07-28T08:30
v41691191,2017-08,113.0,2021-07-28T08:30
v41691191,2017-09,108.8,2021-07-28T08:30
v41691191,2017-10,96.4,2021-07-28T08:30
v41691191,2017-11,88.6,2021-07-28T08:30
v41691191,2017-12,82.5,2021-07-28T08:30
v41691191,2018-01,83.5,2021-07-28T08:30
v41691191,2018-02,84.8,2021-07-28T08:30
v41691191,2018-03,85.7,2021-07-28T08:30
v41691191,2018-04,89.2,2021-07-28T08:30
v41691191,2018-05,97.4,2021-07-28T08:30
v41691191,2018-06,106.4,2021-07-28T08:30
v41691191,2018-07,108.8,2021-07-28T08:30
v41691191,2018-08,110.0,2021-07-28T08:30
v41691191,2018-09,103.2,2021-07-28T08:30
v41691191,2018-10,92.5,2021-07-28T08:30
v41691191,2018-11,83.8,2021-07-28T08:30
v41691191,2018-12,77.9,2023-06-27T08:30
v41691191,2019-01,80.8,2021-09-15T08:30
v41691191,2019-02,80.8,2021-09-15T08:30
v41691191,2019-03,80.1,2021-09-15T08:30
v41691191,2019-04,80.6,2021-09-15T08:30
v41691191,2019-05,93.1,2021-09-15T08:30
v41691191,2019-06,100.7,2021-09-15T08:30
v41691191,2019-07,104.0,2021-09-15T08:30
v41691191,2019-08,102.6,2021-09-15T08:30
v41691191,2019-09,101.8,2021-09-15T08:30
v41691191,2019-10,88.8,2021-09-15T08:30
v41691191,2019-11,80.3,2021-09-15T08:30
v41691191,2019-12,75.7,2021-09-15T08:30
v41691191,2020-01,76.9,2021-09-15T08:30
v41691191,2020-02,78.3,2021-09-15T08:30
v41691191,2020-03,78.3,2021-09-15T08:30
v41691191,2020-04,72.7,2021-09-15T08:30
v41691191,2020-05,73.3,2021-09-15T08:30
v41691191,2020-06,75.4,2021-09-15T08:30
v41691191,2020-07,75.9,2021-09-15T08:30
v41691191,2020-08,76.5,2021-09-15T08:30
v41691191,2020-09,74.8,2021-09-15T08:30
v41691191,2020-10,68.5,2021-09-15T08:30
v41691191,2020-11,65.5,2021-09-15T08:30
v41691191,2020-12,64.2,2021-09-15T08:30
v41691191,2021-01,64.5,2021-09-15T08:30
v41691191,2021-02,64.2,2021-09-15T08:30
v41691191,2021-03,64.8,2021-09-15T08:30
v41691191,2021-04,65.8,2021-09-15T08:30
v41691191,2021-05,70.2,2021-09-15T08:30
v41691191,2021-06,73.1,2021-09-15T08:30
v41691191,2021-07,81.5,2021-09-15T08:30
v41691191,2021-08,91.3,2021-09-15T08:30
v41691191,2021-09,88.0,2021-10-20T08:30
v41691191,2021-10,80.7,2021-11-17T08:30
v41691191,2021-11,78.2,2021-12-15T08:30
v41691191,2021-12,77.7,2022-01-19T08:30
v41691191,2022-01,76.0,2022-02-16T08:30
v41691191,2022-02,77.7,2022-03-16T08:30
v41691191,2022-03,80.6,2022-04-20T08:30
v41691191,2022-04,86.1,2022-06-22T08:30
v41691191,2022-05,98.4,2022-06-22T08:30
v41691191,2022-06,109.4,2022-07-20T08:30
v41691191,2022-07,120.4,2022-08-16T08:30
v41691191,2022-08,121.4,2022-09-20T08:30
v41691191,2022-09,111.6,2022-10-19T08:30
v41691191,2022-10,102.0,2022-11-16T08:30
v41691191,2022-11,91.2,2022-12-21T08:30
v41691191,2022-12,89.3,2023-01-17T08:30
v41691191,2023-01,88.9,2023-02-21T08:30
v41691191,2023-02,92.9,2023-03-21T08:30
v41691191,2023-03,92.7,2023-04-18T08:30
v41691191,2023-04,95.8,2023-06-27T08:30
v41691191,2023-05,110.7,2023-06-27T08:30
v41691191,2023-06,123.5,2023-07-18T08:30
v41691191,2023-07,125.4,2023-08-15T08:30
v41691191,2023-08,126.3,2023-09-19T08:30
v41691191,2023-09,123.2,2023-10-17T08:30
v41691191,2023-10,107.0,2023-11-21T08:30
v41691191,2023-11,90.5,2023-12-19T08:30
v41691191,2023-12,86.3,2024-01-16T08:30
v41691191,2024-01,87.8,2024-02-20T08:30
v41691191,2024-02,89.8,2024-03-19T08:30
v41691191,2024-03,90.5,2024-04-16T08:30
v41691191,2024-04,94.4,2024-06-25T08:30
v41691191,2024-05,109.5,2024-06-25T08:30
v41691191,2024-06,112.7,2024-07-16T08:30
v41691191,2024-07,120.7,2024-08-20T08:30
v41691191,2024-08,118.9,2024-09-17T08:30
v41691191,2024-09,116.3,2024-10-15T08:30
v41691191,2024-10,97.9,2024-11-19T08:30
v41691191,2024-11,98.4,2024-12-17T08:30
v41691191,2024-12,98.0,2025-01-21T08:30
v41691191,2025-01,85.9,2025-02-18T08:30
v41691191,2025-02,87.8,2025-03-18T08:30
v41691191,2025-03,86.8,2025-04-15T08:30
v41691191,2025-04,88.1,2025-05-20T08:30
v41691191,2025-05,107.1,2025-06-24T08:30
v41691191,2025-06,113.9,2025-07-15T08:30
v41691191,2025-07,117.5,2025-08-19T08:30
v41691191,2025-08,122.3,2025-09-16T08:30
v41691191,2025-09,113.9,2025-10-21T08:30
v41691191,2025-10,97.3,2025-11-17T08:30
v41691191,2025-11,91.6,2025-12-15T08:30
v41691191,2025-12,87.4,2026-01-19T08:30
v41691191,2026-01,84.2,2026-02-17T08:30
v41691191,2026-02,90.0,2026-03-16T08:30
v41691191,2026-03,89.8,2026-04-20T08:30
v41691191,2026-04,93.2,2026-05-19T08:30
