cdid,name,month,value
d7cx,cpi_112_accommodation_index,1996-01,52.2
d7cx,cpi_112_accommodation_index,1996-02,52.2
d7cx,cpi_112_accommodation_index,1996-03,52.2
d7cx,cpi_112_accommodation_index,1996-04,52.4
d7cx,cpi_112_accommodation_index,1996-05,52.5
d7cx,cpi_112_accommodation_index,1996-06,52.5
d7cx,cpi_112_accommodation_index,1996-07,52.7
d7cx,cpi_112_accommodation_index,1996-08,52.9
d7cx,cpi_112_accommodation_index,1996-09,53.1
d7cx,cpi_112_accommodation_index,1996-10,53.2
d7cx,cpi_112_accommodation_index,1996-11,53.3
d7cx,cpi_112_accommodation_index,1996-12,53.5
d7cx,cpi_112_accommodation_index,1997-01,53.5
d7cx,cpi_112_accommodation_index,1997-02,53.6
d7cx,cpi_112_accommodation_index,1997-03,53.6
d7cx,cpi_112_accommodation_index,1997-04,54.0
d7cx,cpi_112_accommodation_index,1997-05,54.2
d7cx,cpi_112_accommodation_index,1997-06,54.4
d7cx,cpi_112_accommodation_index,1997-07,54.9
d7cx,cpi_112_accommodation_index,1997-08,55.2
d7cx,cpi_112_accommodation_index,1997-09,55.4
d7cx,cpi_112_accommodation_index,1997-10,55.5
d7cx,cpi_112_accommodation_index,1997-11,55.5
d7cx,cpi_112_accommodation_index,1997-12,55.6
d7cx,cpi_112_accommodation_index,1998-01,55.6
d7cx,cpi_112_accommodation_index,1998-02,55.7
d7cx,cpi_112_accommodation_index,1998-03,55.8
d7cx,cpi_112_accommodation_index,1998-04,55.7
d7cx,cpi_112_accommodation_index,1998-05,56.0
d7cx,cpi_112_accommodation_index,1998-06,56.4
d7cx,cpi_112_accommodation_index,1998-07,57.1
d7cx,cpi_112_accommodation_index,1998-08,57.9
d7cx,cpi_112_accommodation_index,1998-09,58.3
d7cx,cpi_112_accommodation_index,1998-10,58.4
d7cx,cpi_112_accommodation_index,1998-11,58.5
d7cx,cpi_112_accommodation_index,1998-12,58.6
d7cx,cpi_112_accommodation_index,1999-01,58.6
d7cx,cpi_112_accommodation_index,1999-02,58.5
d7cx,cpi_112_accommodation_index,1999-03,58.5
d7cx,cpi_112_accommodation_index,1999-04,58.7
d7cx,cpi_112_accommodation_index,1999-05,58.8
d7cx,cpi_112_accommodation_index,1999-06,59.3
d7cx,cpi_112_accommodation_index,1999-07,59.1
d7cx,cpi_112_accommodation_index,1999-08,59.2
d7cx,cpi_112_accommodation_index,1999-09,59.4
d7cx,cpi_112_accommodation_index,1999-10,59.4
d7cx,cpi_112_accommodation_index,1999-11,59.4
d7cx,cpi_112_accommodation_index,1999-12,59.4
d7cx,cpi_112_accommodation_index,2000-01,59.7
d7cx,cpi_112_accommodation_index,2000-02,59.9
d7cx,cpi_112_accommodation_index,2000-03,60.1
d7cx,cpi_112_accommodation_index,2000-04,60.9
d7cx,cpi_112_accommodation_index,2000-05,61.3
d7cx,cpi_112_accommodation_index,2000-06,61.8
d7cx,cpi_112_accommodation_index,2000-07,62.7
d7cx,cpi_112_accommodation_index,2000-08,63.9
d7cx,cpi_112_accommodation_index,2000-09,64.4
d7cx,cpi_112_accommodation_index,2000-10,64.8
d7cx,cpi_112_accommodation_index,2000-11,65.0
d7cx,cpi_112_accommodation_index,2000-12,65.1
d7cx,cpi_112_accommodation_index,2001-01,65.2
d7cx,cpi_112_accommodation_index,2001-02,65.3
d7cx,cpi_112_accommodation_index,2001-03,65.5
d7cx,cpi_112_accommodation_index,2001-04,66.0
d7cx,cpi_112_accommodation_index,2001-05,66.2
d7cx,cpi_112_accommodation_index,2001-06,66.3
d7cx,cpi_112_accommodation_index,2001-07,66.6
d7cx,cpi_112_accommodation_index,2001-08,67.0
d7cx,cpi_112_accommodation_index,2001-09,67.3
d7cx,cpi_112_accommodation_index,2001-10,67.4
d7cx,cpi_112_accommodation_index,2001-11,67.4
d7cx,cpi_112_accommodation_index,2001-12,67.5
d7cx,cpi_112_accommodation_index,2002-01,67.6
d7cx,cpi_112_accommodation_index,2002-02,67.6
d7cx,cpi_112_accommodation_index,2002-03,67.8
d7cx,cpi_112_accommodation_index,2002-04,68.2
d7cx,cpi_112_accommodation_index,2002-05,68.4
d7cx,cpi_112_accommodation_index,2002-06,68.7
d7cx,cpi_112_accommodation_index,2002-07,68.9
d7cx,cpi_112_accommodation_index,2002-08,69.3
d7cx,cpi_112_accommodation_index,2002-09,69.6
d7cx,cpi_112_accommodation_index,2002-10,69.8
d7cx,cpi_112_accommodation_index,2002-11,69.9
d7cx,cpi_112_accommodation_index,2002-12,70.1
d7cx,cpi_112_accommodation_index,2003-01,70.1
d7cx,cpi_112_accommodation_index,2003-02,70.2
d7cx,cpi_112_accommodation_index,2003-03,70.4
d7cx,cpi_112_accommodation_index,2003-04,70.5
d7cx,cpi_112_accommodation_index,2003-05,70.8
d7cx,cpi_112_accommodation_index,2003-06,71.0
d7cx,cpi_112_accommodation_index,2003-07,71.3
d7cx,cpi_112_accommodation_index,2003-08,71.7
d7cx,cpi_112_accommodation_index,2003-09,72.1
d7cx,cpi_112_accommodation_index,2003-10,72.3
d7cx,cpi_112_accommodation_index,2003-11,72.6
d7cx,cpi_112_accommodation_index,2003-12,72.8
d7cx,cpi_112_accommodation_index,2004-01,72.8
d7cx,cpi_112_accommodation_index,2004-02,73.0
d7cx,cpi_112_accommodation_index,2004-03,73.2
d7cx,cpi_112_accommodation_index,2004-04,73.5
d7cx,cpi_112_accommodation_index,2004-05,73.8
d7cx,cpi_112_accommodation_index,2004-06,74.0
d7cx,cpi_112_accommodation_index,2004-07,74.4
d7cx,cpi_112_accommodation_index,2004-08,74.9
d7cx,cpi_112_accommodation_index,2004-09,75.2
d7cx,cpi_112_accommodation_index,2004-10,75.7
d7cx,cpi_112_accommodation_index,2004-11,75.9
d7cx,cpi_112_accommodation_index,2004-12,76.2
d7cx,cpi_112_accommodation_index,2005-01,76.4
d7cx,cpi_112_accommodation_index,2005-02,76.6
d7cx,cpi_112_accommodation_index,2005-03,76.6
d7cx,cpi_112_accommodation_index,2005-04,77.7
d7cx,cpi_112_accommodation_index,2005-05,77.8
d7cx,cpi_112_accommodation_index,2005-06,78.0
d7cx,cpi_112_accommodation_index,2005-07,79.1
d7cx,cpi_112_accommodation_index,2005-08,79.3
d7cx,cpi_112_accommodation_index,2005-09,80.2
d7cx,cpi_112_accommodation_index,2005-10,80.5
d7cx,cpi_112_accommodation_index,2005-11,80.0
d7cx,cpi_112_accommodation_index,2005-12,80.3
d7cx,cpi_112_accommodation_index,2006-01,80.6
d7cx,cpi_112_accommodation_index,2006-02,81.4
d7cx,cpi_112_accommodation_index,2006-03,81.6
d7cx,cpi_112_accommodation_index,2006-04,81.6
d7cx,cpi_112_accommodation_index,2006-05,82.2
d7cx,cpi_112_accommodation_index,2006-06,82.0
d7cx,cpi_112_accommodation_index,2006-07,82.6
d7cx,cpi_112_accommodation_index,2006-08,82.5
d7cx,cpi_112_accommodation_index,2006-09,82.8
d7cx,cpi_112_accommodation_index,2006-10,83.4
d7cx,cpi_112_accommodation_index,2006-11,82.9
d7cx,cpi_112_accommodation_index,2006-12,82.9
d7cx,cpi_112_accommodation_index,2007-01,83.1
d7cx,cpi_112_accommodation_index,2007-02,83.5
d7cx,cpi_112_accommodation_index,2007-03,83.8
d7cx,cpi_112_accommodation_index,2007-04,84.4
d7cx,cpi_112_accommodation_index,2007-05,84.7
d7cx,cpi_112_accommodation_index,2007-06,85.1
d7cx,cpi_112_accommodation_index,2007-07,85.2
d7cx,cpi_112_accommodation_index,2007-08,85.2
d7cx,cpi_112_accommodation_index,2007-09,85.6
d7cx,cpi_112_accommodation_index,2007-10,85.9
d7cx,cpi_112_accommodation_index,2007-11,85.7
d7cx,cpi_112_accommodation_index,2007-12,85.6
d7cx,cpi_112_accommodation_index,2008-01,85.6
d7cx,cpi_112_accommodation_index,2008-02,85.3
d7cx,cpi_112_accommodation_index,2008-03,85.6
d7cx,cpi_112_accommodation_index,2008-04,86.1
d7cx,cpi_112_accommodation_index,2008-05,86.5
d7cx,cpi_112_accommodation_index,2008-06,86.4
d7cx,cpi_112_accommodation_index,2008-07,87.5
d7cx,cpi_112_accommodation_index,2008-08,86.6
d7cx,cpi_112_accommodation_index,2008-09,87.4
d7cx,cpi_112_accommodation_index,2008-10,87.7
d7cx,cpi_112_accommodation_index,2008-11,87.1
d7cx,cpi_112_accommodation_index,2008-12,86.6
d7cx,cpi_112_accommodation_index,2009-01,86.4
d7cx,cpi_112_accommodation_index,2009-02,86.1
d7cx,cpi_112_accommodation_index,2009-03,86.2
d7cx,cpi_112_accommodation_index,2009-04,86.2
d7cx,cpi_112_accommodation_index,2009-05,86.4
d7cx,cpi_112_accommodation_index,2009-06,86.4
d7cx,cpi_112_accommodation_index,2009-07,86.5
d7cx,cpi_112_accommodation_index,2009-08,86.3
d7cx,cpi_112_accommodation_index,2009-09,86.0
d7cx,cpi_112_accommodation_index,2009-10,86.3
d7cx,cpi_112_accommodation_index,2009-11,85.6
d7cx,cpi_112_accommodation_index,2009-12,84.8
d7cx,cpi_112_accommodation_index,2010-01,84.4
d7cx,cpi_112_accommodation_index,2010-02,85.1
d7cx,cpi_112_accommodation_index,2010-03,85.6
d7cx,cpi_112_accommodation_index,2010-04,86.5
d7cx,cpi_112_accommodation_index,2010-05,86.9
d7cx,cpi_112_accommodation_index,2010-06,87.9
d7cx,cpi_112_accommodation_index,2010-07,88.2
d7cx,cpi_112_accommodation_index,2010-08,87.9
d7cx,cpi_112_accommodation_index,2010-09,88.8
d7cx,cpi_112_accommodation_index,2010-10,88.9
d7cx,cpi_112_accommodation_index,2010-11,87.9
d7cx,cpi_112_accommodation_index,2010-12,87.9
d7cx,cpi_112_accommodation_index,2011-01,88.8
d7cx,cpi_112_accommodation_index,2011-02,89.1
d7cx,cpi_112_accommodation_index,2011-03,89.4
d7cx,cpi_112_accommodation_index,2011-04,89.4
d7cx,cpi_112_accommodation_index,2011-05,90.3
d7cx,cpi_112_accommodation_index,2011-06,90.5
d7cx,cpi_112_accommodation_index,2011-07,90.5
d7cx,cpi_112_accommodation_index,2011-08,90.2
d7cx,cpi_112_accommodation_index,2011-09,91.5
d7cx,cpi_112_accommodation_index,2011-10,90.6
d7cx,cpi_112_accommodation_index,2011-11,90.1
d7cx,cpi_112_accommodation_index,2011-12,89.4
d7cx,cpi_112_accommodation_index,2012-01,88.7
d7cx,cpi_112_accommodation_index,2012-02,89.6
d7cx,cpi_112_accommodation_index,2012-03,89.9
d7cx,cpi_112_accommodation_index,2012-04,92.1
