source,url,access_utc,http_status,bytes,sha256,last_period,cache_file,note
ine_es,https://servicios.ine.es/wstempus/js/EN/DATOS_TABLA/1989?nult=150,2026-09-12T22:30:18Z,200,126316,08048421e90f38b24582b90cfb7a1e965e996de3d1de212e404fb21a73dca6d3,2026-07,,
ine_es,https://servicios.ine.es/wstempus/js/EN/DATOS_TABLA/2007?nult=150,2026-09-12T22:30:22Z,200,94268,d0ebe65323971330bacd8ea32e0018e6f2fa701ff63a7d3f6759cccb2d3794d6,2026-07,,
ine_es,https://servicios.ine.es/wstempus/js/EN/DATOS_TABLA/1990?nult=150,2026-09-12T22:30:24Z,200,155759,3432ef6a02cd00f403db65571bb65f89db125fc6e12b661116beb1f325d5c017,2026-07,,
ine_es,https://servicios.ine.es/wstempus/js/EN/DATOS_TABLA/2058?nult=150,2026-09-12T22:30:27Z,200,252117,4951bc2b19ff71ad9e3a625ab5e40132657dc7fd2ae45337d974e9d97dec8294,2026-07,,
ine_es,https://servicios.ine.es/wstempus/js/EN/DATOS_TABLA/2056?nult=150,2026-09-12T22:30:29Z,200,252332,bb91ad09e1d393715a83b184e396a296352fb4294561bc7251a9d62106d1b77a,2026-07,,
statcan,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorsAndLatestNPeriods#v41691191,2026-09-12T22:30:31Z,200,40098,872d5670c1657a197951912e9bca86c02cb3d6102cd52a52558d622f6788fa1b,2026-07,,
statcan_taspi,https://www150.statcan.gc.ca/t1/wds/rest/getCubeMetadata#18100250,2026-09-12T22:30:32Z,200,6628,c528a69aa84a52f08bcea635369996c4f5bad4e0d80c7a68c23f4c28339b7e3b,2019-Q4,,"Traveller accommodation services price index, quarterly; cubeEndDate 2019-10-01, no longer updated"
ibge,"https://apisidra.ibge.gov.br/values/t/7060/n1/all/v/63,2265/p/all/c315/47659?formato=json",2026-09-12T22:30:47Z,200,33662,afc3e98c6ff68d1c53e7592faee7cf55774607e22b55ee4e139a1aae4c29e967,2026-08,,
ibge,"https://apisidra.ibge.gov.br/values/t/1419/n1/all/v/63,2265/p/all/c315/7753?formato=json",2026-09-12T22:30:48Z,200,39217,0834abddb6e8ebb1add743acf9cba9746092d13196d6834ab64c4c647e57749c,2026-08,,
fred_bea,https://fred.stlouisfed.org/graph/fredgraph.csv?id=B646RG3Q086SBEA,2026-09-12T22:30:49Z,200,5792,fd8e37751bf7dbcf0ddcef3cfeba472c7eef4dd0117bf8384c59754fcfab4b81,2026-Q2,,
fred_bea,https://fred.stlouisfed.org/graph/fredgraph.csv?id=B647RG3Q086SBEA,2026-09-12T22:30:50Z,200,4342,975fda4af013c315b33b09c4dcc27013a5fdf0aed84b0cf4d1dbe5530b81ef0a,2026-Q2,,
ons,https://www.ons.gov.uk/economy/inflationandpriceindices/timeseries/d7cx/mm23/data,2026-09-12T22:30:51Z,200,103878,8cac434798841b783565b6aee62ff750b8b39eace6cdaf49301ee7665c00dc82,2026-07,,
ons,https://www.ons.gov.uk/economy/inflationandpriceindices/timeseries/l7ie/mm23/data,2026-09-12T22:30:51Z,200,49868,8d3d8b0b4822d0ab6acfa62e2f777dc657015777d75532872c866ee2a849d875,2026-07,,
ons,https://www.ons.gov.uk/economy/inflationandpriceindices/timeseries/l7ik/mm23/data,2026-09-12T22:30:51Z,200,49864,dcdefa3b4d646cbfb7e78c59f9a381498747b1b38d7bff869ec515f343256eaa,2026-07,,
ons,https://www.ons.gov.uk/economy/inflationandpriceindices/timeseries/d7hb/mm23/data,2026-09-12T22:30:52Z,200,100374,46635191bcf311767d5ba49ebb5188ed4f15175aeeb3b3567eff85a1021a4cfc,2026-07,,
nz_statsnz,https://www.stats.govt.nz/assets/Uploads/Consumers-price-index/Consumers-price-index-June-2026-quarter/Download-data/consumers-price-index-june-2026-quarter-index-numbers.csv,2026-09-12T22:30:53Z,200,2917074,f474a6a3bfbe9b6377c3c68cc94a4cb494335130af3940fe538f5a0dd1274e9d,2026-Q2,nz_cpi_jun26.csv,
portugal_ine,https://www.ine.pt/ine/json_indicador/pindica.jsp?op=2&varcd=0008579&lang=EN,2026-09-12T22:36:13Z,500,0,,,,API keyed by indicator id; catalogue endpoint (xml_indic.jsp?opc=3) lists 326 indicators without the monthly ADR/RevPAR; monthly flash PDF only
