vintage,region,year_cur,year_cmp,supply_cur,supply_cmp,demand_cur,demand_cmp,occ_cur,occ_cmp,adr_cur,adr_cmp,adr_pct_change_reported,file_type,month,parse_ok
2023-06,State of Hawai‘i,2023,2022,768185.0,621575.0,417626.0,432848.0,0.544,0.696,302.65,295.23,0.025,pdf,2023-06,True
2023-06,O‘ahu,2023,2022,211261.0,172828.0,119246.0,116353.0,0.564,0.6729999999999999,242.18,218.26,0.11,pdf,2023-06,True
2023-06,Maui County,2023,2022,246240.0,212657.0,146306.0,159951.0,0.594,0.752,355.71,341.43,0.042,pdf,2023-06,True
2023-06,Island of Hawai‘i,2023,2022,194259.0,154175.0,90271.0,97052.0,0.465,0.629,244.65,246.88,-0.009000000000000001,pdf,2023-06,True
2023-06,Kaua‘i,2023,2022,116425.0,81915.0,61803.0,59492.0,0.531,0.726,378.42,400.39,-0.055,pdf,2023-06,True
2023-07,State of Hawai‘i,2023,2022,792902.0,669735.0,454719.0,481318.0,0.573,0.7190000000000001,303.97,300.87,0.01,pdf,2023-07,True
2023-07,O‘ahu,2023,2022,212046.0,181444.0,132182.0,134624.0,0.623,0.742,247.42,226.46,0.09300000000000001,pdf,2023-07,True
2023-07,Maui County,2023,2022,249956.0,229432.0,158834.0,171460.0,0.635,0.747,359.01,352.03,0.02,pdf,2023-07,True
2023-07,Island of Hawai‘i,2023,2022,204675.0,174193.0,98681.0,113916.0,0.48200000000000004,0.654,236.69,256.35,-0.077,pdf,2023-07,True
2023-07,Kaua‘i,2023,2022,126225.0,84666.0,65022.0,61318.0,0.515,0.7240000000000001,386.58,403.92,-0.043,pdf,2023-07,True
2023-08,State of Hawai‘i,2023,2022,746563.0,673977.0,405867.0,435808.0,0.544,0.647,279.47,299.93,-0.068,pdf,2023-08,True
2023-08,O‘ahu,2023,2022,222367.0,180665.0,135353.0,121051.0,0.609,0.67,242.63,227.93,0.064,pdf,2023-08,True
2023-08,Maui County,2023,2022,177618.0,231855.0,84445.0,161659.0,0.475,0.6970000000000001,312.02,347.88,-0.10300000000000001,pdf,2023-08,True
2023-08,Island of Hawai‘i,2023,2022,212188.0,165998.0,103102.0,92859.0,0.486,0.5589999999999999,227.19,244.7,-0.07200000000000001,pdf,2023-08,True
2023-08,Kaua‘i,2023,2022,134390.0,95459.0,82967.0,60239.0,0.617,0.631,371.43,401.08,-0.07400000000000001,pdf,2023-08,True
2023-09,State of Hawai‘i,2023,2022,707739.0,664519.0,373198.0,392311.0,0.527,0.59,260.11,282.77,-0.08,pdf,2023-09,True
2023-09,O‘ahu,2023,2022,223513.0,181497.0,125077.0,110558.0,0.56,0.609,225.59,214.32,0.053,pdf,2023-09,True
2023-09,Maui County,2023,2022,148351.0,222946.0,71690.0,142807.0,0.483,0.6409999999999999,266.14,332.8,-0.2,pdf,2023-09,True
2023-09,Island of Hawai‘i,2023,2022,209122.0,165784.0,93065.0,83106.0,0.445,0.501,213.91,224.81,-0.049,pdf,2023-09,True
2023-09,Kaua‘i,2023,2022,126753.0,94292.0,83366.0,55840.0,0.6579999999999999,0.5920000000000001,358.29,376.61,-0.049,pdf,2023-09,True
