table,item,variable,month,value
7060,47659,mom,2020-01,-0.17
7060,47659,mom,2020-02,1.65
7060,47659,mom,2020-03,-1.98
7060,47659,mom,2020-04,-2.58
7060,47659,mom,2020-05,-1.57
7060,47659,mom,2020-06,-1.33
7060,47659,mom,2020-07,-0.95
7060,47659,mom,2020-08,-1.78
7060,47659,mom,2020-09,-0.47
7060,47659,mom,2020-10,0.51
7060,47659,mom,2020-11,-0.37
7060,47659,mom,2020-12,0.74
7060,47659,mom,2021-01,-0.09
7060,47659,mom,2021-02,-0.26
7060,47659,mom,2021-03,-1.38
7060,47659,mom,2021-04,-0.59
7060,47659,mom,2021-05,0.9
7060,47659,mom,2021-06,-0.33
7060,47659,mom,2021-07,1.18
7060,47659,mom,2021-08,1.02
7060,47659,mom,2021-09,1.32
7060,47659,mom,2021-10,2.25
7060,47659,mom,2021-11,2.57
7060,47659,mom,2021-12,2.27
7060,47659,mom,2022-01,2.01
7060,47659,mom,2022-02,0.23
7060,47659,mom,2022-03,1.71
7060,47659,mom,2022-04,1.56
7060,47659,mom,2022-05,1.87
7060,47659,mom,2022-06,0.47
7060,47659,mom,2022-07,2.44
7060,47659,mom,2022-08,1.52
7060,47659,mom,2022-09,2.88
7060,47659,mom,2022-10,0.87
7060,47659,mom,2022-11,1.03
7060,47659,mom,2022-12,0.28
7060,47659,mom,2023-01,1.19
7060,47659,mom,2023-02,0.83
7060,47659,mom,2023-03,2.66
7060,47659,mom,2023-04,0.11
7060,47659,mom,2023-05,0.51
7060,47659,mom,2023-06,0.45
7060,47659,mom,2023-07,1.05
7060,47659,mom,2023-08,1.22
7060,47659,mom,2023-09,1.17
7060,47659,mom,2023-10,0.45
7060,47659,mom,2023-11,2.17
7060,47659,mom,2023-12,-0.77
7060,47659,mom,2024-01,0.55
7060,47659,mom,2024-02,-0.47
7060,47659,mom,2024-03,0.76
7060,47659,mom,2024-04,0.75
7060,47659,mom,2024-05,0.56
7060,47659,mom,2024-06,0.73
7060,47659,mom,2024-07,0.83
7060,47659,mom,2024-08,1.96
7060,47659,mom,2024-09,0.92
7060,47659,mom,2024-10,-0.02
7060,47659,mom,2024-11,2.2
7060,47659,mom,2024-12,-0.66
7060,47659,mom,2025-01,2.11
7060,47659,mom,2025-02,0.42
7060,47659,mom,2025-03,1.17
7060,47659,mom,2025-04,0.83
7060,47659,mom,2025-05,0.28
7060,47659,mom,2025-06,-0.65
7060,47659,mom,2025-07,0.06
7060,47659,mom,2025-08,1.87
7060,47659,mom,2025-09,1.77
7060,47659,mom,2025-10,0.51
7060,47659,mom,2025-11,4.09
7060,47659,mom,2025-12,-3.1
7060,47659,mom,2026-01,0.54
7060,47659,mom,2026-02,0.12
7060,47659,mom,2026-03,1.67
7060,47659,mom,2026-04,-0.69
7060,47659,mom,2026-05,0.82
7060,47659,mom,2026-06,-1.27
7060,47659,mom,2026-07,0.69
7060,47659,mom,2026-08,0.43
