freq,unit,coicop18,geo,time,value
M,RCH_A,CP112,AT,2015-01,1.8
M,RCH_A,CP112,AT,2015-02,2.1
M,RCH_A,CP112,AT,2015-03,1.9
M,RCH_A,CP112,AT,2015-04,2.2
M,RCH_A,CP112,AT,2015-05,1.9
M,RCH_A,CP112,AT,2015-06,1.0
M,RCH_A,CP112,AT,2015-07,1.2
M,RCH_A,CP112,AT,2015-08,1.6
M,RCH_A,CP112,AT,2015-09,0.8
M,RCH_A,CP112,AT,2015-10,1.9
M,RCH_A,CP112,AT,2015-11,0.8
M,RCH_A,CP112,AT,2015-12,2.5
M,RCH_A,CP112,AT,2016-01,2.9
M,RCH_A,CP112,AT,2016-02,2.9
M,RCH_A,CP112,AT,2016-03,2.5
M,RCH_A,CP112,AT,2016-04,3.9
M,RCH_A,CP112,AT,2016-05,4.5
M,RCH_A,CP112,AT,2016-06,4.8
M,RCH_A,CP112,AT,2016-07,4.5
M,RCH_A,CP112,AT,2016-08,4.2
M,RCH_A,CP112,AT,2016-09,3.9
M,RCH_A,CP112,AT,2016-10,4.3
M,RCH_A,CP112,AT,2016-11,5.9
M,RCH_A,CP112,AT,2016-12,4.9
M,RCH_A,CP112,AT,2017-01,3.8
M,RCH_A,CP112,AT,2017-02,3.7
M,RCH_A,CP112,AT,2017-03,4.0
M,RCH_A,CP112,AT,2017-04,2.8
M,RCH_A,CP112,AT,2017-05,1.9
M,RCH_A,CP112,AT,2017-06,1.0
M,RCH_A,CP112,AT,2017-07,1.2
M,RCH_A,CP112,AT,2017-08,1.8
M,RCH_A,CP112,AT,2017-09,2.4
M,RCH_A,CP112,AT,2017-10,0.3
M,RCH_A,CP112,AT,2017-11,1.1
M,RCH_A,CP112,AT,2017-12,1.3
M,RCH_A,CP112,AT,2018-01,2.0
M,RCH_A,CP112,AT,2018-02,2.3
M,RCH_A,CP112,AT,2018-03,2.2
M,RCH_A,CP112,AT,2018-04,3.3
M,RCH_A,CP112,AT,2018-05,4.4
M,RCH_A,CP112,AT,2018-06,4.6
M,RCH_A,CP112,AT,2018-07,4.2
M,RCH_A,CP112,AT,2018-08,3.9
M,RCH_A,CP112,AT,2018-09,3.9
M,RCH_A,CP112,AT,2018-10,4.5
M,RCH_A,CP112,AT,2018-11,3.1
M,RCH_A,CP112,AT,2018-12,1.1
M,RCH_A,CP112,AT,2019-01,0.9
M,RCH_A,CP112,AT,2019-02,1.7
M,RCH_A,CP112,AT,2019-03,1.2
M,RCH_A,CP112,AT,2019-04,2.4
M,RCH_A,CP112,AT,2019-05,2.3
M,RCH_A,CP112,AT,2019-06,2.5
M,RCH_A,CP112,AT,2019-07,2.4
M,RCH_A,CP112,AT,2019-08,2.5
M,RCH_A,CP112,AT,2019-09,2.4
M,RCH_A,CP112,AT,2019-10,1.7
M,RCH_A,CP112,AT,2019-11,2.4
M,RCH_A,CP112,AT,2019-12,4.3
M,RCH_A,CP112,AT,2020-01,2.8
M,RCH_A,CP112,AT,2020-02,2.4
M,RCH_A,CP112,AT,2020-03,2.7
M,RCH_A,CP112,AT,2020-04,2.8
M,RCH_A,CP112,AT,2020-05,2.8
M,RCH_A,CP112,AT,2020-06,3.1
M,RCH_A,CP112,AT,2020-07,4.1
M,RCH_A,CP112,AT,2020-08,3.4
M,RCH_A,CP112,AT,2020-09,2.8
M,RCH_A,CP112,AT,2020-10,3.1
M,RCH_A,CP112,AT,2020-11,3.1
M,RCH_A,CP112,AT,2020-12,3.2
M,RCH_A,CP112,AT,2021-01,2.9
M,RCH_A,CP112,AT,2021-02,1.7
M,RCH_A,CP112,AT,2021-03,2.6
M,RCH_A,CP112,AT,2021-04,4.1
M,RCH_A,CP112,AT,2021-05,4.3
M,RCH_A,CP112,AT,2021-06,6.6
M,RCH_A,CP112,AT,2021-07,5.6
M,RCH_A,CP112,AT,2021-08,7.3
M,RCH_A,CP112,AT,2021-09,8.8
M,RCH_A,CP112,AT,2021-10,10.0
M,RCH_A,CP112,AT,2021-11,9.4
M,RCH_A,CP112,AT,2021-12,3.6
M,RCH_A,CP112,AT,2022-01,10.7
M,RCH_A,CP112,AT,2022-02,10.3
M,RCH_A,CP112,AT,2022-03,11.7
M,RCH_A,CP112,AT,2022-04,9.0
M,RCH_A,CP112,AT,2022-05,11.9
M,RCH_A,CP112,AT,2022-06,10.5
M,RCH_A,CP112,AT,2022-07,9.8
M,RCH_A,CP112,AT,2022-08,10.4
M,RCH_A,CP112,AT,2022-09,11.7
M,RCH_A,CP112,AT,2022-10,12.3
M,RCH_A,CP112,AT,2022-11,11.3
M,RCH_A,CP112,AT,2022-12,15.2
M,RCH_A,CP112,AT,2023-01,10.2
M,RCH_A,CP112,AT,2023-02,11.6
M,RCH_A,CP112,AT,2023-03,10.2
M,RCH_A,CP112,AT,2023-04,13.5
M,RCH_A,CP112,AT,2023-05,13.5
M,RCH_A,CP112,AT,2023-06,13.4
M,RCH_A,CP112,AT,2023-07,14.3
M,RCH_A,CP112,AT,2023-08,11.7
M,RCH_A,CP112,AT,2023-09,9.8
M,RCH_A,CP112,AT,2023-10,8.8
M,RCH_A,CP112,AT,2023-11,9.0
M,RCH_A,CP112,AT,2023-12,8.3
M,RCH_A,CP112,AT,2024-01,6.2
M,RCH_A,CP112,AT,2024-02,6.7
M,RCH_A,CP112,AT,2024-03,6.1
M,RCH_A,CP112,AT,2024-04,5.6
M,RCH_A,CP112,AT,2024-05,5.8
M,RCH_A,CP112,AT,2024-06,6.2
M,RCH_A,CP112,AT,2024-07,4.2
M,RCH_A,CP112,AT,2024-08,5.6
M,RCH_A,CP112,AT,2024-09,6.4
M,RCH_A,CP112,AT,2024-10,5.9
M,RCH_A,CP112,AT,2024-11,5.5
M,RCH_A,CP112,AT,2024-12,5.5
M,RCH_A,CP112,AT,2025-01,5.7
M,RCH_A,CP112,AT,2025-02,5.2
M,RCH_A,CP112,AT,2025-03,4.9
M,RCH_A,CP112,AT,2025-04,5.4
M,RCH_A,CP112,AT,2025-05,4.6
M,RCH_A,CP112,AT,2025-06,4.2
M,RCH_A,CP112,AT,2025-07,5.0
M,RCH_A,CP112,AT,2025-08,3.3
M,RCH_A,CP112,AT,2025-09,4.0
M,RCH_A,CP112,AT,2025-10,4.0
M,RCH_A,CP112,AT,2025-11,4.3
M,RCH_A,CP112,AT,2025-12,4.5
M,RCH_A,CP112,AT,2026-01,1.8
M,RCH_A,CP112,AT,2026-02,2.7
M,RCH_A,CP112,AT,2026-03,2.3
M,RCH_A,CP112,AT,2026-04,1.6
M,RCH_A,CP112,AT,2026-05,2.1
M,RCH_A,CP112,AT,2026-06,1.4
M,RCH_A,CP112,AT,2026-07,2.5
M,RCH_A,CP112,BE,2015-01,1.3
M,RCH_A,CP112,BE,2015-02,3.5
M,RCH_A,CP112,BE,2015-03,1.2
M,RCH_A,CP112,BE,2015-04,5.2
M,RCH_A,CP112,BE,2015-05,6.4
M,RCH_A,CP112,BE,2015-06,4.0
M,RCH_A,CP112,BE,2015-07,5.6
M,RCH_A,CP112,BE,2015-08,5.9
M,RCH_A,CP112,BE,2015-09,2.8
M,RCH_A,CP112,BE,2015-10,5.2
M,RCH_A,CP112,BE,2015-11,5.4
M,RCH_A,CP112,BE,2015-12,2.7
M,RCH_A,CP112,BE,2016-01,0.5
M,RCH_A,CP112,BE,2016-02,3.6
M,RCH_A,CP112,BE,2016-03,7.9
M,RCH_A,CP112,BE,2016-04,0.7
M,RCH_A,CP112,BE,2016-05,3.7
M,RCH_A,CP112,BE,2016-06,0.5
M,RCH_A,CP112,BE,2016-07,6.1
M,RCH_A,CP112,BE,2016-08,9.4
M,RCH_A,CP112,BE,2016-09,3.1
M,RCH_A,CP112,BE,2016-10,-1.3
M,RCH_A,CP112,BE,2016-11,2.6
M,RCH_A,CP112,BE,2016-12,-2.3
M,RCH_A,CP112,BE,2017-01,4.4
M,RCH_A,CP112,BE,2017-02,4.1
M,RCH_A,CP112,BE,2017-03,-1.8
M,RCH_A,CP112,BE,2017-04,15.0
M,RCH_A,CP112,BE,2017-05,4.6
M,RCH_A,CP112,BE,2017-06,6.0
M,RCH_A,CP112,BE,2017-07,8.3
M,RCH_A,CP112,BE,2017-08,7.8
M,RCH_A,CP112,BE,2017-09,4.7
M,RCH_A,CP112,BE,2017-10,13.1
M,RCH_A,CP112,BE,2017-11,1.9
M,RCH_A,CP112,BE,2017-12,14.6
M,RCH_A,CP112,BE,2018-01,9.2
M,RCH_A,CP112,BE,2018-02,9.6
M,RCH_A,CP112,BE,2018-03,6.9
M,RCH_A,CP112,BE,2018-04,-5.7
M,RCH_A,CP112,BE,2018-05,3.9
M,RCH_A,CP112,BE,2018-06,1.2
M,RCH_A,CP112,BE,2018-07,3.9
M,RCH_A,CP112,BE,2018-08,3.7
M,RCH_A,CP112,BE,2018-09,0.5
M,RCH_A,CP112,BE,2018-10,1.4
M,RCH_A,CP112,BE,2018-11,4.6
M,RCH_A,CP112,BE,2018-12,4.7
M,RCH_A,CP112,BE,2019-01,-7.5
M,RCH_A,CP112,BE,2019-02,-7.0
M,RCH_A,CP112,BE,2019-03,2.5
M,RCH_A,CP112,BE,2019-04,15.8
M,RCH_A,CP112,BE,2019-05,1.2
M,RCH_A,CP112,BE,2019-06,13.6
M,RCH_A,CP112,BE,2019-07,3.8
M,RCH_A,CP112,BE,2019-08,4.5
M,RCH_A,CP112,BE,2019-09,3.1
M,RCH_A,CP112,BE,2019-10,4.1
M,RCH_A,CP112,BE,2019-11,1.8
M,RCH_A,CP112,BE,2019-12,-3.4
M,RCH_A,CP112,BE,2020-01,10.5
M,RCH_A,CP112,BE,2020-02,8.1
M,RCH_A,CP112,BE,2020-03,-3.0
M,RCH_A,CP112,BE,2020-04,-4.4
M,RCH_A,CP112,BE,2020-05,-3.3
M,RCH_A,CP112,BE,2020-06,-7.3
M,RCH_A,CP112,BE,2020-07,2.0
M,RCH_A,CP112,BE,2020-08,0.0
M,RCH_A,CP112,BE,2020-09,0.0
