freq,indic_bt,nace_r2,s_adj,unit,geo,time,value
Q,PRC_PRR,I55,NSA,PCH_SM,AT,2022-Q1,4.3
Q,PRC_PRR,I55,NSA,PCH_SM,AT,2022-Q2,8.4
Q,PRC_PRR,I55,NSA,PCH_SM,AT,2022-Q3,6.9
Q,PRC_PRR,I55,NSA,PCH_SM,AT,2022-Q4,8.5
Q,PRC_PRR,I55,NSA,PCH_SM,AT,2023-Q1,8.1
Q,PRC_PRR,I55,NSA,PCH_SM,AT,2023-Q2,10.4
Q,PRC_PRR,I55,NSA,PCH_SM,AT,2023-Q3,9.2
Q,PRC_PRR,I55,NSA,PCH_SM,AT,2023-Q4,7.7
Q,PRC_PRR,I55,NSA,PCH_SM,AT,2024-Q1,6.3
Q,PRC_PRR,I55,NSA,PCH_SM,AT,2024-Q2,4.4
Q,PRC_PRR,I55,NSA,PCH_SM,AT,2024-Q3,4.0
Q,PRC_PRR,I55,NSA,PCH_SM,AT,2024-Q4,5.3
Q,PRC_PRR,I55,NSA,PCH_SM,AT,2025-Q1,3.7
Q,PRC_PRR,I55,NSA,PCH_SM,AT,2025-Q2,4.4
Q,PRC_PRR,I55,NSA,PCH_SM,AT,2025-Q3,3.2
Q,PRC_PRR,I55,NSA,PCH_SM,AT,2025-Q4,3.9
Q,PRC_PRR,I55,NSA,PCH_SM,AT,2026-Q1,2.1
Q,PRC_PRR,I55,NSA,PCH_SM,DE,2022-Q1,4.6
Q,PRC_PRR,I55,NSA,PCH_SM,DE,2022-Q2,8.9
Q,PRC_PRR,I55,NSA,PCH_SM,DE,2022-Q3,10.5
Q,PRC_PRR,I55,NSA,PCH_SM,DE,2022-Q4,10.4
Q,PRC_PRR,I55,NSA,PCH_SM,DE,2023-Q1,11.1
Q,PRC_PRR,I55,NSA,PCH_SM,DE,2023-Q2,9.4
Q,PRC_PRR,I55,NSA,PCH_SM,DE,2023-Q3,5.7
Q,PRC_PRR,I55,NSA,PCH_SM,DE,2023-Q4,5.0
Q,PRC_PRR,I55,NSA,PCH_SM,DE,2024-Q1,1.4
Q,PRC_PRR,I55,NSA,PCH_SM,DE,2024-Q2,2.1
Q,PRC_PRR,I55,NSA,PCH_SM,DE,2024-Q3,1.4
Q,PRC_PRR,I55,NSA,PCH_SM,DE,2024-Q4,0.5
Q,PRC_PRR,I55,NSA,PCH_SM,DE,2025-Q1,2.7
Q,PRC_PRR,I55,NSA,PCH_SM,DE,2025-Q2,2.4
Q,PRC_PRR,I55,NSA,PCH_SM,DE,2025-Q3,2.9
Q,PRC_PRR,I55,NSA,PCH_SM,DE,2025-Q4,3.5
Q,PRC_PRR,I55,NSA,PCH_SM,DE,2026-Q1,5.3
Q,PRC_PRR,I55,NSA,PCH_SM,DK,2022-Q1,11.4
Q,PRC_PRR,I55,NSA,PCH_SM,DK,2022-Q2,17.2
Q,PRC_PRR,I55,NSA,PCH_SM,DK,2022-Q3,15.0
Q,PRC_PRR,I55,NSA,PCH_SM,DK,2022-Q4,12.4
Q,PRC_PRR,I55,NSA,PCH_SM,DK,2023-Q1,9.2
Q,PRC_PRR,I55,NSA,PCH_SM,DK,2023-Q2,3.1
Q,PRC_PRR,I55,NSA,PCH_SM,DK,2023-Q3,5.2
Q,PRC_PRR,I55,NSA,PCH_SM,DK,2023-Q4,5.9
Q,PRC_PRR,I55,NSA,PCH_SM,DK,2024-Q1,3.3
Q,PRC_PRR,I55,NSA,PCH_SM,DK,2024-Q2,0.9
Q,PRC_PRR,I55,NSA,PCH_SM,DK,2024-Q3,-2.7
Q,PRC_PRR,I55,NSA,PCH_SM,DK,2024-Q4,-13.1
Q,PRC_PRR,I55,NSA,PCH_SM,DK,2025-Q1,-4.0
Q,PRC_PRR,I55,NSA,PCH_SM,DK,2025-Q2,4.1
Q,PRC_PRR,I55,NSA,PCH_SM,DK,2025-Q3,6.5
Q,PRC_PRR,I55,NSA,PCH_SM,DK,2025-Q4,8.6
Q,PRC_PRR,I55,NSA,PCH_SM,DK,2026-Q1,-0.3
Q,PRC_PRR,I55,NSA,PCH_SM,DK,2026-Q2,1.0
Q,PRC_PRR,I55,NSA,PCH_SM,EA20,2015-Q1,2.9
Q,PRC_PRR,I55,NSA,PCH_SM,EA20,2015-Q2,3.7
Q,PRC_PRR,I55,NSA,PCH_SM,EA20,2015-Q3,7.9
Q,PRC_PRR,I55,NSA,PCH_SM,EA20,2015-Q4,3.1
Q,PRC_PRR,I55,NSA,PCH_SM,EA20,2016-Q1,1.4
Q,PRC_PRR,I55,NSA,PCH_SM,EA20,2016-Q2,1.1
Q,PRC_PRR,I55,NSA,PCH_SM,EA20,2016-Q3,-2.6
Q,PRC_PRR,I55,NSA,PCH_SM,EA20,2016-Q4,1.3
Q,PRC_PRR,I55,NSA,PCH_SM,EA20,2017-Q1,1.8
Q,PRC_PRR,I55,NSA,PCH_SM,EA20,2017-Q2,4.3
Q,PRC_PRR,I55,NSA,PCH_SM,EA20,2017-Q3,5.1
Q,PRC_PRR,I55,NSA,PCH_SM,EA20,2017-Q4,3.7
Q,PRC_PRR,I55,NSA,PCH_SM,EA20,2018-Q1,4.0
Q,PRC_PRR,I55,NSA,PCH_SM,EA20,2018-Q2,2.4
Q,PRC_PRR,I55,NSA,PCH_SM,EA20,2018-Q3,3.9
Q,PRC_PRR,I55,NSA,PCH_SM,EA20,2018-Q4,1.8
Q,PRC_PRR,I55,NSA,PCH_SM,EA20,2019-Q1,-0.1
Q,PRC_PRR,I55,NSA,PCH_SM,EA20,2019-Q2,3.0
Q,PRC_PRR,I55,NSA,PCH_SM,EA20,2019-Q3,0.8
Q,PRC_PRR,I55,NSA,PCH_SM,EA20,2019-Q4,1.9
Q,PRC_PRR,I55,NSA,PCH_SM,EA20,2020-Q1,1.7
Q,PRC_PRR,I55,NSA,PCH_SM,EA20,2020-Q2,-3.6
Q,PRC_PRR,I55,NSA,PCH_SM,EA20,2020-Q3,-7.7
Q,PRC_PRR,I55,NSA,PCH_SM,EA20,2022-Q1,9.5
Q,PRC_PRR,I55,NSA,PCH_SM,EA20,2022-Q2,15.0
Q,PRC_PRR,I55,NSA,PCH_SM,EA20,2022-Q3,13.8
Q,PRC_PRR,I55,NSA,PCH_SM,EA20,2022-Q4,12.5
Q,PRC_PRR,I55,NSA,PCH_SM,EA20,2023-Q1,11.1
Q,PRC_PRR,I55,NSA,PCH_SM,EA20,2023-Q2,12.5
Q,PRC_PRR,I55,NSA,PCH_SM,EA20,2023-Q3,10.0
Q,PRC_PRR,I55,NSA,PCH_SM,EA20,2023-Q4,8.1
Q,PRC_PRR,I55,NSA,PCH_SM,EA20,2024-Q1,6.0
Q,PRC_PRR,I55,NSA,PCH_SM,EA20,2024-Q2,5.5
