Series_reference,Period,Data_value,STATUS,UNITS,Subject,Group,Series_title_1,Series_title_2
CPIQ.SE9096,1999.06,658.14696485623,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,1999.09,658.945686900958,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,1999.12,668.5303514377,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2000.03,679.712460063898,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2000.06,663.738019169329,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2000.09,658.945686900958,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2000.12,668.5303514377,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2001.03,682.108626198083,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2001.06,661.341853035144,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2001.09,662.939297124601,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2001.12,682.907348242812,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2002.03,690.095846645367,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2002.06,676.517571884984,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2002.09,676.517571884984,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2002.12,704.472843450479,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2003.03,734.025559105431,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2003.06,707.667731629393,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2003.09,708.466453674121,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2003.12,735.623003194888,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2004.03,760.38338658147,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2004.06,730.031948881789,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2004.09,735.623003194888,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2004.12,770.766773162939,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2005.03,797.124600638978,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2005.06,763.578274760383,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2005.09,777.156549520767,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2005.12,810.702875399361,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2006.03,832.268370607029,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2006.06,798.722044728435,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2006.09,805.91054313099,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2006.12,835.463258785943,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2007.03,853.035143769968,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2007.06,829.872204472843,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2007.09,828.274760383387,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2007.12,863.418530351438,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2008.03,888.977635782748,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2008.06,865.015974440895,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2008.09,854.632587859425,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2008.12,899.361022364217,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2009.03,916.932907348243,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2009.06,863.418530351438,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2009.09,853.833865814696,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2009.12,892.97124600639,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2010.03,913.738019169329,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2010.06,865.015974440895,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2010.09,846.645367412141,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2010.12,908.945686900958,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2011.03,939.297124600639,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2011.06,886.581469648562,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2011.09,897.76357827476,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2011.12,927.316293929713,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2012.03,952.076677316294,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2012.06,920.127795527157,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2012.09,920.127795527157,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2012.12,948.88178913738,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2013.03,975.239616613419,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2013.06,931.309904153355,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2013.09,933.70607028754,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2013.12,967.252396166134,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2014.03,1000.79872204473,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2014.06,956.070287539936,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2014.09,948.88178913738,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2014.12,985.623003194888,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2015.03,1015.17571884984,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2015.06,956.869009584665,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2015.09,972.044728434505,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2015.12,1014.37699680511,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2016.03,1063.89776357827,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
CPIQ.SE9096,2016.06,992.012779552716,FINAL,Index,CPI,CPI Level 2 Subgroups for New Zealand,Accommodation services,
