statInfId,sheet,month,value
000040491331,am0413,1970-01,17.2
000040491331,am0413,1970-02,17.2
000040491331,am0413,1970-03,17.2
000040491331,am0413,1970-04,17.2
000040491331,am0413,1970-05,17.3
000040491331,am0413,1970-06,17.3
000040491331,am0413,1970-07,17.3
000040491331,am0413,1970-08,17.3
000040491331,am0413,1970-09,17.3
000040491331,am0413,1970-10,17.3
000040491331,am0413,1970-11,17.3
000040491331,am0413,1970-12,17.3
000040491331,am0413,1971-01,17.3
000040491331,am0413,1971-02,17.3
000040491331,am0413,1971-03,17.3
000040491331,am0413,1971-04,19.2
000040491331,am0413,1971-05,19.2
000040491331,am0413,1971-06,19.2
000040491331,am0413,1971-07,19.2
000040491331,am0413,1971-08,19.2
000040491331,am0413,1971-09,19.2
000040491331,am0413,1971-10,19.2
000040491331,am0413,1971-11,19.2
000040491331,am0413,1971-12,19.2
000040491331,am0413,1972-01,19.2
000040491331,am0413,1972-02,19.2
000040491331,am0413,1972-03,19.2
000040491331,am0413,1972-04,19.3
000040491331,am0413,1972-05,19.3
000040491331,am0413,1972-06,19.3
000040491331,am0413,1972-07,19.3
000040491331,am0413,1972-08,19.3
000040491331,am0413,1972-09,19.3
000040491331,am0413,1972-10,19.3
000040491331,am0413,1972-11,19.3
000040491331,am0413,1972-12,19.3
000040491331,am0413,1973-01,19.3
000040491331,am0413,1973-02,19.3
000040491331,am0413,1973-03,19.3
000040491331,am0413,1973-04,19.3
000040491331,am0413,1973-05,19.3
000040491331,am0413,1973-06,23.1
000040491331,am0413,1973-07,23.1
000040491331,am0413,1973-08,23.1
000040491331,am0413,1973-09,23.1
000040491331,am0413,1973-10,23.1
000040491331,am0413,1973-11,23.1
000040491331,am0413,1973-12,23.1
000040491331,am0413,1974-01,23.1
000040491331,am0413,1974-02,23.1
000040491331,am0413,1974-03,23.1
000040491331,am0413,1974-04,23.3
000040491331,am0413,1974-05,23.3
000040491331,am0413,1974-06,23.3
000040491331,am0413,1974-07,23.3
000040491331,am0413,1974-08,23.4
000040491331,am0413,1974-09,23.4
000040491331,am0413,1974-10,23.4
000040491331,am0413,1974-11,23.5
000040491331,am0413,1974-12,23.5
000040491331,am0413,1975-01,23.5
000040491331,am0413,1975-02,23.5
000040491331,am0413,1975-03,23.6
000040491331,am0413,1975-04,29.0
000040491331,am0413,1975-05,29.0
000040491331,am0413,1975-06,29.2
000040491331,am0413,1975-07,30.1
000040491331,am0413,1975-08,30.1
000040491331,am0413,1975-09,30.1
000040491331,am0413,1975-10,30.5
000040491331,am0413,1975-11,30.8
000040491331,am0413,1975-12,31.1
000040491331,am0413,1976-01,31.1
000040491331,am0413,1976-02,31.1
000040491331,am0413,1976-03,31.1
000040491331,am0413,1976-04,31.1
000040491331,am0413,1976-05,31.1
000040491331,am0413,1976-06,31.1
000040491331,am0413,1976-07,31.1
000040491331,am0413,1976-08,31.4
000040491331,am0413,1976-09,31.5
000040491331,am0413,1976-10,31.5
000040491331,am0413,1976-11,31.6
000040491331,am0413,1976-12,31.8
000040491331,am0413,1977-01,31.8
000040491331,am0413,1977-02,31.8
000040491331,am0413,1977-03,31.9
000040491331,am0413,1977-04,32.1
000040491331,am0413,1977-05,36.1
000040491331,am0413,1977-06,36.1
000040491331,am0413,1977-07,36.1
000040491331,am0413,1977-08,36.1
000040491331,am0413,1977-09,36.1
000040491331,am0413,1977-10,36.1
000040491331,am0413,1977-11,36.1
000040491331,am0413,1977-12,36.1
000040491331,am0413,1978-01,36.1
000040491331,am0413,1978-02,36.1
000040491331,am0413,1978-03,36.1
000040491331,am0413,1978-04,36.1
000040491331,am0413,1978-05,36.1
000040491331,am0413,1978-06,36.1
000040491331,am0413,1978-07,36.1
000040491331,am0413,1978-08,36.1
000040491331,am0413,1978-09,36.1
000040491331,am0413,1978-10,36.1
000040491331,am0413,1978-11,36.1
000040491331,am0413,1978-12,36.1
000040491331,am0413,1979-01,36.1
000040491331,am0413,1979-02,36.1
000040491331,am0413,1979-03,36.1
000040491331,am0413,1979-04,37.1
000040491331,am0413,1979-05,37.8
000040491331,am0413,1979-06,37.1
000040491331,am0413,1979-07,36.7
000040491331,am0413,1979-08,38.2
000040491331,am0413,1979-09,37.6
000040491331,am0413,1979-10,37.5
000040491331,am0413,1979-11,38.5
000040491331,am0413,1979-12,37.8
000040491331,am0413,1980-01,40.4
000040491331,am0413,1980-02,39.4
000040491331,am0413,1980-03,38.6
000040491331,am0413,1980-04,39.7
000040491331,am0413,1980-05,40.6
000040491331,am0413,1980-06,39.6
000040491331,am0413,1980-07,39.4
000040491331,am0413,1980-08,41.2
000040491331,am0413,1980-09,40.1
000040491331,am0413,1980-10,40.7
000040491331,am0413,1980-11,41.0
000040491331,am0413,1980-12,40.3
000040491331,am0413,1981-01,41.8
000040491331,am0413,1981-02,41.3
000040491331,am0413,1981-03,41.5
000040491331,am0413,1981-04,41.1
000040491331,am0413,1981-05,41.9
000040491331,am0413,1981-06,41.8
