flow,index,period,value
"CPI,2.0.0",30033,2017-Q1,71.82
"CPI,2.0.0",30033,2015-Q2,69.91
"CPI,2.0.0",30033,2015-Q3,71.08
"CPI,2.0.0",30033,2015-Q4,74.07
"CPI,2.0.0",30033,2016-Q1,72.63
"CPI,2.0.0",30033,2016-Q2,71.31
"CPI,2.0.0",30033,2016-Q3,72.09
"CPI,2.0.0",30033,2016-Q4,73.23
"CPI,2.0.0",30033,2021-Q4,83.54
"CPI,2.0.0",30033,2017-Q2,70.89
"CPI,2.0.0",30033,2017-Q3,72.29
"CPI,2.0.0",30033,2017-Q4,73.65
"CPI,2.0.0",30033,2018-Q1,73.27
"CPI,2.0.0",30033,2018-Q2,72.8
"CPI,2.0.0",30033,2018-Q3,75.24
"CPI,2.0.0",30033,2018-Q4,77.23
"CPI,2.0.0",30033,2019-Q1,74.93
"CPI,2.0.0",30033,2019-Q2,75.38
"CPI,2.0.0",30033,2019-Q3,77.75
"CPI,2.0.0",30033,2019-Q4,79.23
"CPI,2.0.0",30033,2020-Q1,76.79
"CPI,2.0.0",30033,2020-Q2,75.3
"CPI,2.0.0",30033,2020-Q3,76.45
"CPI,2.0.0",30033,2020-Q4,81.09
"CPI,2.0.0",30033,2021-Q1,79.71
"CPI,2.0.0",30033,2021-Q2,78.93
"CPI,2.0.0",30033,2021-Q3,79.36
"CPI,2.0.0",30033,2015-Q1,72.48
"CPI,2.0.0",30033,2022-Q1,82.98
"CPI,2.0.0",30033,2022-Q2,84.88
"CPI,2.0.0",30033,2022-Q3,88.33
"CPI,2.0.0",30033,2022-Q4,97.91
"CPI,2.0.0",30033,2023-Q1,97.22
"CPI,2.0.0",30033,2023-Q2,95.21
"CPI,2.0.0",30033,2023-Q3,94.37
"CPI,2.0.0",30033,2023-Q4,95.33
"CPI,2.0.0",30033,2024-Q1,93.45
"CPI,2.0.0",30033,2024-Q2,94.28
"CPI,2.0.0",30033,2024-Q3,95.64
"CPI,2.0.0",30033,2024-Q4,98.59
"CPI,2.0.0",30033,2025-Q1,95.02
"CPI,2.0.0",30033,2025-Q2,95.27
"CPI,2.0.0",30033,2025-Q3,98.06
"CPI,2.0.0",30033,2025-Q4,102.53
"CPI,2.0.0",30033,2026-Q1,98.63
"CPI,2.0.0",30033,2026-Q2,97.64
"CPI,2.0.0",40101,2017-Q1,69.32
"CPI,2.0.0",40101,2015-Q2,66.18
"CPI,2.0.0",40101,2015-Q3,65.56
"CPI,2.0.0",40101,2015-Q4,69.47
"CPI,2.0.0",40101,2016-Q1,68.15
"CPI,2.0.0",40101,2016-Q2,65.62
"CPI,2.0.0",40101,2016-Q3,65.84
"CPI,2.0.0",40101,2016-Q4,69.51
"CPI,2.0.0",40101,2021-Q4,81.74
"CPI,2.0.0",40101,2017-Q2,67.09
"CPI,2.0.0",40101,2017-Q3,67.16
"CPI,2.0.0",40101,2017-Q4,71.31
"CPI,2.0.0",40101,2018-Q1,72.37
"CPI,2.0.0",40101,2018-Q2,70.38
"CPI,2.0.0",40101,2018-Q3,72.05
"CPI,2.0.0",40101,2018-Q4,76.55
"CPI,2.0.0",40101,2019-Q1,73.6
"CPI,2.0.0",40101,2019-Q2,72.53
"CPI,2.0.0",40101,2019-Q3,72.54
"CPI,2.0.0",40101,2019-Q4,77.87
"CPI,2.0.0",40101,2020-Q1,75.47
"CPI,2.0.0",40101,2020-Q2,74.02
"CPI,2.0.0",40101,2020-Q3,75.14
"CPI,2.0.0",40101,2020-Q4,79.84
"CPI,2.0.0",40101,2021-Q1,78.41
"CPI,2.0.0",40101,2021-Q2,77.37
"CPI,2.0.0",40101,2021-Q3,77.96
"CPI,2.0.0",40101,2015-Q1,69.99
"CPI,2.0.0",40101,2022-Q1,81.97
"CPI,2.0.0",40101,2022-Q2,83.38
"CPI,2.0.0",40101,2022-Q3,86.36
"CPI,2.0.0",40101,2022-Q4,97.86
"CPI,2.0.0",40101,2023-Q1,102.43
"CPI,2.0.0",40101,2023-Q2,95.01
"CPI,2.0.0",40101,2023-Q3,92.71
"CPI,2.0.0",40101,2023-Q4,96.35
"CPI,2.0.0",40101,2024-Q1,97.65
"CPI,2.0.0",40101,2024-Q2,92.94
"CPI,2.0.0",40101,2024-Q3,93.9
"CPI,2.0.0",40101,2024-Q4,99.23
"CPI,2.0.0",40101,2025-Q1,99.48
"CPI,2.0.0",40101,2025-Q2,95.75
"CPI,2.0.0",40101,2025-Q3,98.82
"CPI,2.0.0",40101,2025-Q4,105.84
"CPI,2.0.0",40101,2026-Q1,105.19
"CPI,2.0.0",40101,2026-Q2,100.04
"CPI,2.0.0",40102,2017-Q1,65.47
"CPI,2.0.0",40102,2015-Q2,65.2
"CPI,2.0.0",40102,2015-Q3,68.21
"CPI,2.0.0",40102,2015-Q4,69.78
"CPI,2.0.0",40102,2016-Q1,68.38
"CPI,2.0.0",40102,2016-Q2,68.6
"CPI,2.0.0",40102,2016-Q3,69.91
"CPI,2.0.0",40102,2016-Q4,68.08
"CPI,2.0.0",40102,2021-Q4,84.36
"CPI,2.0.0",40102,2017-Q2,66.11
"CPI,2.0.0",40102,2017-Q3,68.82
"CPI,2.0.0",40102,2017-Q4,67.61
"CPI,2.0.0",40102,2018-Q1,66.01
"CPI,2.0.0",40102,2018-Q2,66.92
"CPI,2.0.0",40102,2018-Q3,69.76
"CPI,2.0.0",40102,2018-Q4,69.24
"CPI,2.0.0",40102,2019-Q1,67.78
"CPI,2.0.0",40102,2019-Q2,69.58
"CPI,2.0.0",40102,2019-Q3,73.84
"CPI,2.0.0",40102,2019-Q4,71.72
"CPI,2.0.0",40102,2020-Q1,69.52
"CPI,2.0.0",40102,2020-Q2,68.16
"CPI,2.0.0",40102,2020-Q3,69.22
"CPI,2.0.0",40102,2020-Q4,69.86
"CPI,2.0.0",40102,2021-Q1,70.22
"CPI,2.0.0",40102,2021-Q2,76.27
"CPI,2.0.0",40102,2021-Q3,72.53
"CPI,2.0.0",40102,2015-Q1,66.04
"CPI,2.0.0",40102,2022-Q1,64.86
"CPI,2.0.0",40102,2022-Q2,77.75
"CPI,2.0.0",40102,2022-Q3,90.82
"CPI,2.0.0",40102,2022-Q4,97.7
"CPI,2.0.0",40102,2023-Q1,89.73
"CPI,2.0.0",40102,2023-Q2,95.22
"CPI,2.0.0",40102,2023-Q3,95.7
"CPI,2.0.0",40102,2023-Q4,94.25
"CPI,2.0.0",40102,2024-Q1,88.7
"CPI,2.0.0",40102,2024-Q2,95.9
"CPI,2.0.0",40102,2024-Q3,97.73
"CPI,2.0.0",40102,2024-Q4,97.94
"CPI,2.0.0",40102,2025-Q1,90.53
"CPI,2.0.0",40102,2025-Q2,94.78
"CPI,2.0.0",40102,2025-Q3,97.3
"CPI,2.0.0",40102,2025-Q4,99.21
"CPI,2.0.0",40102,2026-Q1,92.04
"CPI,2.0.0",40102,2026-Q2,95.23
"CPI_M,1.2.0",30033,2017-09,100.0
"CPI_M,1.2.0",30033,2017-10,100.2
