series_id,month,value
PCU721110721110,2021-12,155.229
PCU721110721110,2021-11,148.361
PCU721110721110,2021-10,147.623
PCU721110721110,2021-09,146.899
PCU721110721110,2021-08,152.34
PCU721110721110,2021-07,153.365
PCU721110721110,2021-06,143.2
PCU721110721110,2021-05,135.3
PCU721110721110,2021-04,134.7
PCU721110721110,2021-03,134.8
PCU721110721110,2021-02,133.6
PCU721110721110,2021-01,132.1
PCU721110721110,2020-12,127.4
PCU721110721110,2020-11,125.7
PCU721110721110,2020-10,129.6
PCU721110721110,2020-09,127.8
PCU721110721110,2020-08,128.9
PCU721110721110,2020-07,130.1
PCU721110721110,2020-06,127.8
PCU721110721110,2020-05,126.4
PCU721110721110,2020-04,125.2
PCU721110721110,2020-03,143.7
PCU721110721110,2020-02,142.6
PCU721110721110,2020-01,146.4
PCU721110721110,2019-12,145.4
PCU721110721110,2019-11,146.5
PCU721110721110,2019-10,152.7
PCU721110721110,2019-09,151.4
PCU721110721110,2019-08,156.9
PCU721110721110,2019-07,159.1
PCU721110721110,2019-06,155.8
PCU721110721110,2019-05,153.4
PCU721110721110,2019-04,149.6
PCU721110721110,2019-03,153.1
PCU721110721110,2019-02,151.3
PCU721110721110,2019-01,142.0
PCU721110721110,2018-12,142.6
PCU721110721110,2018-11,144.4
PCU721110721110,2018-10,150.1
PCU721110721110,2018-09,147.1
PCU721110721110,2018-08,153.6
PCU721110721110,2018-07,156.2
PCU721110721110,2018-06,149.1
PCU721110721110,2018-05,144.4
PCU721110721110,2018-04,143.2
PCU721110721110,2018-03,152.3
PCU721110721110,2018-02,147.2
PCU721110721110,2018-01,138.4
PCU721110721110,2017-12,135.6
PCU721110721110,2017-11,138.5
PCU721110721110,2017-10,144.9
PCU721110721110,2017-09,142.7
PCU721110721110,2017-08,146.6
PCU721110721110,2017-07,153.4
PCU721110721110,2017-06,146.8
PCU721110721110,2017-05,142.0
PCU721110721110,2017-04,142.4
PCU721110721110,2017-03,141.7
PCU721110721110,2017-02,137.7
PCU721110721110,2017-01,132.6
PCU721110721110,2016-12,132.9
PCU721110721110,2016-11,133.5
PCU721110721110,2016-10,142.8
PCU721110721110,2016-09,140.6
PCU721110721110,2016-08,146.3
PCU721110721110,2016-07,148.9
PCU721110721110,2016-06,145.4
PCU721110721110,2016-05,138.5
PCU721110721110,2016-04,137.6
PCU721110721110,2016-03,140.5
PCU721110721110,2016-02,135.0
PCU721110721110,2016-01,132.1
PCU721110721110,2015-12,131.1
PCU721110721110,2015-11,131.2
PCU721110721110,2015-10,139.1
PCU721110721110,2015-09,137.1
