q,start,end,d_target_pct,d_price_pct,day1
2020Q4,2021-01-05,2021-04-07,12.409464027040062,21.33513063961694,13.3
2021Q1,2021-03-24,2021-06-23,-1.7651243441918374,-15.247415902618133,4.0
2021Q2,2021-06-23,2021-09-22,-0.10566812003077741,12.125613313620454,1.1
2021Q3,2021-09-16,2021-12-15,4.018214049845326,-0.005943804459540569,13.0
2021Q4,2021-12-27,2022-03-28,3.7806960185992278,-2.3473898830526863,3.6
2022Q1,2022-03-14,2022-06-13,-4.069131481076349,-28.57039689156984,7.7
2022Q2,2022-06-10,2022-09-12,-17.354618015963506,14.580843558398238,-1.1
2022Q3,2022-09-13,2022-12-12,-11.92052980132451,-21.35922238680529,-13.4
2022Q4,2022-12-22,2023-03-27,4.699248120300759,38.930128250594365,13.4
2023Q1,2023-03-20,2023-06-20,-6.591433700948956,6.798982532617437,-10.9
2023Q2,2023-06-13,2023-09-13,9.225700164744644,15.864687405873346,-0.5
2023Q3,2023-09-13,2023-12-12,-2.966314731020614,-2.878066124127243,-3.3
2023Q4,2023-12-21,2024-03-25,4.695186142214558,18.22789064874286,-1.7
2024Q1,2024-03-19,2024-06-18,5.352020687890002,-8.962235367892069,-6.9
2024Q2,2024-06-14,2024-09-16,-13.874856534888192,-19.469752641828762,-13.4
2024Q3,2024-09-19,2024-12-18,5.000000000000004,-0.9398051141535246,-8.7
2024Q4,2024-12-20,2025-03-26,7.902187902187907,-4.150217603441364,14.4
2025Q1,2025-03-12,2025-06-11,-6.083796459235369,9.09521472087873,1.0
2025Q2,2025-06-16,2025-09-16,1.7769992330753714,-11.332994891681059,-8.0
2025Q3,2025-09-18,2025-12-17,1.8853305785123897,6.623095144453184,0.3
2025Q4,2025-12-22,2026-03-25,2.556962025316456,-3.753194234528545,4.6
2026Q1,2026-03-18,2026-06-17,6.358354062624616,7.176075690479666,0.7
