block,sample,target,feature,n,pearson_r,pearson_p,spearman_rho,spearman_p,perm_p,loo_rmse,naive_rmse,loo_r2,r2_full,notes,cell,mean_1d,median_1d,mean_5d,mean_20d,share_positive_1d,quarters,perm_p_diff_1d,mannwhitney_p_1d,direction_concordance,concordance_hits,concordance_n,binomial_p
univariate,all,excess_1d,rev_beat_mid_pct,19,0.2355,0.3319,0.2853,0.2364,0.3330,8.7880,8.7427,-0.0104,,,,,,,,,,,,,,,
univariate,all,excess_1d,rev_beat_high_pct,19,0.2208,0.3636,0.3223,0.1783,0.3630,8.8967,8.7427,-0.0355,,,,,,,,,,,,,,,
univariate,all,excess_1d,rev_yoy,22,0.1032,0.6478,0.1214,0.5905,0.6279,10.0817,8.6157,-0.3692,,,,,,,,,,,,,,,
univariate,all,excess_1d,rev_accel,21,-0.1667,0.4701,0.1026,0.6581,0.4849,9.7701,8.8278,-0.2249,,,,,,,,,,,,,,,
univariate,all,excess_1d,nights_yoy,22,0.0937,0.6782,0.3427,0.1184,0.6631,9.7112,8.6157,-0.2705,,,,,,,,,,,,,,,
univariate,all,excess_1d,nights_accel,21,-0.1782,0.4396,0.1987,0.3879,0.4514,9.5892,8.8278,-0.1799,,,,,,,,,,,,,,,
univariate,all,excess_1d,gbv_yoy,22,0.1014,0.6534,0.3653,0.0945,0.6302,10.6024,8.6157,-0.5143,,,,,,,,,,,,,,,
univariate,all,excess_1d,gbv_accel,21,-0.2203,0.3373,-0.2156,0.3480,0.3466,9.5011,8.8278,-0.1583,,,,,,,,,,,,,,,
univariate,all,excess_1d,adr_yoy,22,0.1732,0.4409,0.3156,0.1524,0.4458,8.7158,8.6157,-0.0234,,,,,,,,,,,,,,,
univariate,all,excess_1d,take_rate_chg_bps,22,0.0266,0.9066,-0.0999,0.6581,0.9075,8.9294,8.6157,-0.0741,,,,,,,,,,,,,,,
univariate,all,excess_1d,margin_yoy_pts,22,0.0776,0.7313,0.1282,0.5697,0.7054,9.4851,8.6157,-0.2120,,,,,,,,,,,,,,,
univariate,all,excess_1d,margin_vs_bound_pts,20,0.1908,0.4203,0.0541,0.8207,0.4218,9.1647,9.0210,-0.0321,,,,,,,,,,,,,,,
univariate,all,excess_1d,margin_guide_met,20,0.3448,0.1365,0.3757,0.1025,0.1209,8.5284,9.0210,0.1062,,,,,,,,,,,,,,,
univariate,all,excess_1d,next_guide_mid_yoy,20,0.3552,0.1243,0.3053,0.1906,0.1225,8.7546,9.0662,0.0676,,,,,,,,,,,,,,,
univariate,all,excess_1d,guide_implied_accel_pts,20,0.1068,0.6541,0.1729,0.4659,0.6630,9.1561,9.0662,-0.0199,,,,,,,,,,,,,,,
univariate,all,excess_1d,guide_vs_cushion_trend_pts,19,-0.0295,0.9046,0.1175,0.6318,0.9050,9.1279,8.7427,-0.0900,,,,,,,,,,,,,,,
univariate,all,excess_1d,fy_floor_action_score,22,0.2822,0.2033,0.3062,0.1658,0.2003,8.6684,8.6157,-0.0123,,,,,,,,,,,,,,,
univariate,all,excess_1d,fy_floor_raised,22,0.0722,0.7496,0.0692,0.7595,0.7524,8.9988,8.6157,-0.0909,,,,,,,,,,,,,,,
univariate,all,excess_1d,sm_delev_pts,18,0.0679,0.7890,0.1579,0.5315,0.7910,9.2159,8.9334,-0.0642,,,,,,,,,,,,,,,
univariate,all,excess_1d,ops_per_night_yoy,18,-0.2581,0.3012,-0.2859,0.2502,0.3003,8.9090,8.9334,0.0055,,,,,,,,,,,,,,,
univariate,all,excess_1d,sbc_pct_rev_chg_pts,18,-0.0856,0.7356,-0.2054,0.4136,0.7340,9.4910,8.9334,-0.1287,,,,,,,,,,,,,,,
univariate,all,excess_5d,rev_beat_mid_pct,19,-0.1657,0.4979,-0.1773,0.4676,0.4903,9.9969,9.7822,-0.0444,,,,,,,,,,,,,,,
