print_quarter,reaction_date,rev_beat_mid_pct,rev_beat_high_pct,rev_yoy,rev_accel,nights_yoy,nights_accel,gbv_yoy,gbv_accel,adr_yoy,take_rate_chg_bps,margin_pct,margin_yoy_pts,sm_cash_yoy,sm_delev_pts,ops_per_night_yoy,sbc_pct_rev_chg_pts,margin_bound_type,margin_bound_pct,margin_vs_bound_pts,margin_guide_met,margin_surprise_specsign_pts,next_guide_mid_yoy,guide_implied_accel_pts,next_guide_width_pct,trail4_cushion_pct,guide_vs_cushion_trend_pts,fy_floor_action,fy_floor_action_score,fy_floor_raised,excess_1d,excess_5d,excess_20d,abnb_1d,pre_prev_excess_1d,pre_prev_streak_signed,pre_prev_rev_beat_mid_pct,pre_this_guide_width_pct,pre_this_guide_mid_yoy,pre_prev_fy_floor_action_score,pre_prev_sm_delev_pts,pre_trail4_sm_delev_pts,pre_prev_margin_vs_bound_pts,pre_prev_nights_accel,pre_hotel_cpi_q_yoy,pre_runup_20d_pct
2021Q1,2021-05-14,,,5.344,,13.580,,51.471,,33.360,-377.070,-6.652,33.016,,,,,none,,,,,,,,,,none,0.000,0,1.800,-2.600,2.500,4.000,12.900,1.000,,,,0.000,,,,,,-22.583
2021Q2,2021-08-13,,,298.507,293.163,196.786,183.205,318.750,267.279,41.095,-50.606,16.255,134.762,,,,,floor,0.000,16.255,1.000,16.255,,,,,,none,0.000,0,0.700,-4.700,6.800,1.100,1.800,2.000,,,,0.000,,,,,,9.927
2021Q3,2021-11-05,,,66.692,-231.816,28.964,-167.821,48.750,-270.000,15.342,202.332,49.218,11.885,,,,,floor,37.300,11.918,1.000,11.918,67.055,0.363,6.300,,,none,0.000,0,12.900,9.300,-2.800,13.000,0.700,3.000,,,,0.000,,,16.255,183.205,,5.218
2021Q4,2022-02-16,6.800,3.500,78.347,11.655,58.531,29.567,91.525,42.775,20.812,-100.180,21.736,24.181,,,,,none,,,,,62.909,-15.438,4.800,6.800,-38.236,introduced,0.500,0,3.700,-9.200,-9.100,3.600,12.900,4.000,,6.300,67.055,0.000,,,11.918,-167.821,,16.407
2022Q1,2022-05-04,4.400,2.000,70.124,-8.223,58.540,0.009,66.990,-24.535,5.330,16.161,15.176,21.827,59.350,-10.774,-20.000,-12.951,floor,0.000,15.176,1.000,15.176,55.805,-14.319,4.800,5.600,-63.887,raised,1.000,1,4.300,-14.200,-15.500,7.700,3.700,5.000,6.800,4.800,62.909,0.500,,,,29.567,,-18.088
2022Q2,2022-08-03,1.200,-1.200,57.603,-12.521,24.789,-33.751,26.866,-40.125,1.664,241.378,33.793,17.538,20.158,-37.445,-0.429,-5.706,floor,26.000,7.793,1.000,7.793,26.509,-31.094,3.500,4.133,-36.454,held,0.000,0,-3.900,-2.500,1.000,-1.100,4.300,6.000,4.400,4.800,55.805,1.000,-10.774,-10.774,15.176,0.009,,21.263
2022Q3,2022-11-02,1.900,0.100,28.923,-28.680,25.094,0.305,31.092,4.227,4.795,-31.114,50.520,1.302,33.458,4.535,0.368,-1.310,ceiling,49.000,1.520,0.000,-1.520,20.104,-8.818,4.300,3.575,-34.351,none,0.000,0,-10.000,-7.300,-13.000,-13.400,-3.900,-1.000,1.200,3.500,26.509,0.000,-37.445,-24.109,7.793,-33.751,,-1.588
2022Q4,2023-02-15,3.400,1.200,24.151,-4.771,20.163,-4.931,19.469,-11.623,-0.578,53.137,26.604,4.867,14.673,-9.478,-5.155,-1.391,floor,22.000,4.604,1.000,4.604,18.290,-5.861,3.900,2.725,-23.687,introduced,0.500,0,12.600,9.300,-3.500,13.400,-10.000,-2.000,1.900,4.300,20.104,0.000,4.535,-14.561,1.520,0.305,,19.354
2023Q1,2023-05-10,1.800,-0.100,20.477,-3.674,18.609,-1.554,18.605,-0.864,-0.004,13.851,14.411,-0.764,30.327,9.850,1.852,0.279,ceiling,15.000,-0.589,1.000,0.589,14.068,-6.409,4.200,2.075,-16.353,held,0.000,0,-12.000,-18.800,-16.700,-10.900,12.600,1.000,3.400,3.900,18.290,0.500,-9.478,-13.290,4.604,-4.931,7.100,11.221
2023Q2,2023-08-04,3.500,1.400,18.061,-2.416,10.993,-7.616,12.353,-6.252,1.225,62.877,32.971,-0.822,28.608,10.547,11.638,0.499,ceiling,34.000,-1.029,1.000,1.029,16.158,-1.903,3.000,2.650,-3.667,raised,1.000,1,-0.000,-2.100,-7.700,-0.500,-12.000,-1.000,1.800,4.200,14.068,0.000,9.850,-8.134,-0.589,-1.554,3.800,9.925
2023Q3,2023-11-02,1.400,-0.100,17.788,-0.273,13.541,2.547,17.308,4.955,3.318,7.566,53.989,3.469,3.758,-14.030,-3.297,0.305,floor,51.000,2.989,1.000,2.989,13.039,-4.749,1.900,2.525,-4.226,raised,1.000,1,-5.100,-6.000,-3.200,-3.300,-0.000,0.000,3.500,3.000,16.158,1.000,10.547,3.864,-1.029,-7.616,5.567,-6.232
2023Q4,2024-02-14,3.200,2.200,16.614,-1.174,12.018,-1.522,14.815,-2.493,2.497,22.079,33.273,6.670,4.301,-12.313,-6.522,-1.181,floor,27.000,6.273,1.000,6.273,12.761,-3.853,2.000,2.475,-2.683,introduced,0.500,0,-2.800,-0.400,6.500,-1.700,-5.100,-1.000,1.400,1.900,13.039,1.000,-14.030,-0.778,2.989,2.547,0.600,11.702
2024Q1,2024-05-09,4.500,3.500,17.822,1.208,9.496,-2.522,12.255,-2.560,2.519,44.195,19.795,5.383,13.507,-4.315,-8.636,0.571,floor,14.000,5.795,1.000,5.795,9.098,-8.724,2.200,3.150,-5.036,held,0.000,0,-7.100,-10.600,-12.200,-6.900,-2.800,-2.000,3.200,2.000,12.761,0.500,-12.313,-1.486,6.273,-1.522,-0.600,-1.485
2024Q2,2024-08-07,1.400,0.300,10.628,-7.194,8.688,-0.808,10.995,-1.260,2.122,-4.297,32.533,-0.438,17.111,6.483,-3.089,1.663,ceiling,33.000,-0.467,1.000,0.467,8.920,-1.708,1.600,2.625,-3.934,held,0.000,0,-12.300,-15.600,-16.500,-13.400,-7.100,-3.000,4.500,2.200,9.098,0.000,-4.315,-5.028,5.795,-2.522,-1.167,-14.418
2024Q3,2024-11-08,0.900,0.100,9.862,-0.766,8.481,-0.208,9.836,-1.159,1.250,0.432,52.465,-1.524,27.297,17.436,7.197,1.281,ceiling,54.000,-1.535,1.000,1.535,8.882,-0.980,2.100,2.500,-2.127,raised,1.000,1,-8.800,-7.700,-9.600,-8.700,-12.300,-4.000,1.400,1.600,8.920,0.000,6.483,-6.044,-0.467,-0.808,-0.933,10.963
2024Q4,2025-02-14,2.700,1.600,11.812,1.951,12.348,3.868,13.548,3.712,1.068,-21.877,30.847,-2.426,29.124,17.311,-7.364,3.956,ceiling,33.000,-2.153,1.000,2.153,5.042,-6.770,1.800,2.375,-4.994,introduced,0.500,0,14.000,5.400,-2.400,14.400,-8.800,-5.000,0.900,2.100,8.882,1.000,17.436,1.823,-1.535,-0.208,1.800,6.429
2025Q1,2025-05-02,1.000,0.100,6.069,-5.743,7.919,-4.430,6.987,-6.561,-0.863,-8.024,18.354,-1.441,8.351,2.282,-1.990,1.985,ceiling,20.000,-1.646,1.000,1.646,9.898,3.829,2.000,1.500,1.954,held,0.000,0,-0.500,0.500,-3.700,1.000,14.000,1.000,2.700,1.800,5.042,0.500,17.311,9.229,-2.153,3.868,0.500,0.985
2025Q2,2025-08-07,2.500,1.500,12.664,6.595,7.434,-0.484,10.849,3.862,3.179,21.220,33.689,1.156,21.252,8.589,-8.367,-0.206,ceiling,32.500,1.189,0.000,-1.189,8.789,-3.875,2.000,1.775,0.618,held,0.000,0,-8.400,-6.900,-5.300,-8.000,-0.500,-1.000,1.000,2.000,9.898,0.000,2.282,10.878,-1.646,-4.430,-1.567,-4.640
2025Q3,2025-11-07,0.900,-0.100,9.727,-2.937,8.795,1.361,13.930,3.081,4.720,-68.507,50.085,-2.380,24.204,14.477,-9.187,0.044,ceiling,52.500,-2.415,1.000,2.415,8.468,-1.259,2.200,1.775,0.325,raised,1.000,1,0.600,1.100,0.900,0.300,-8.400,-2.000,2.500,2.000,8.789,0.000,8.589,11.404,1.189,-0.484,-1.933,0.316
2025Q4,2026-02-13,3.300,2.100,12.016,2.289,9.820,1.025,15.909,1.979,5.545,-47.326,28.294,-2.553,26.347,14.331,4.184,-1.730,ceiling,30.800,-2.506,1.000,2.506,14.877,2.861,1.500,1.925,6.969,introduced,0.500,0,4.400,8.900,10.100,4.600,0.600,1.000,0.900,2.200,8.468,1.000,14.477,10.665,-2.415,1.361,-2.550,-12.674
