sample,signal,signal_label,target,n,quarters_used,mae_peer_ols,rmse_peer_ols,mae_naive_prior_q,rmse_naive_prior_q,mae_seasonal_naive,rmse_seasonal_naive,mae_ar1,rmse_ar1,mae_ar1_plus_peer,rmse_ar1_plus_peer,mae_mean_only,rmse_mean_only,mae_ratio_peer_vs_naive,mae_ratio_ar1peer_vs_ar1,ar1peer_beats_ar1_share
2021Q1-2026Q2,bkng_room_nights_yoy,BKNG room nights y/y,abnb_nights_yoy,12,2021Q1 2021Q2 2021Q3 2023Q1 2024Q1 2024Q2 2024Q3 2025Q1 2025Q2 2025Q3 2026Q1 2026Q2,8.41,18.24,34.73,73.45,35.56,79.67,38.1,61.9,21.22,48.07,31.12,56.13,0.24,0.56,0.92
2021Q1-2026Q2,bkng_room_nights_accel_pp,BKNG room nights accel (pp q/q),abnb_nights_yoy,12,2021Q1 2021Q2 2021Q3 2023Q1 2024Q1 2024Q2 2024Q3 2025Q1 2025Q2 2025Q3 2026Q1 2026Q2,47.1,81.24,34.73,73.45,35.56,79.67,38.1,61.9,34.71,72.83,31.12,56.13,1.36,0.91,0.75
2021Q1-2026Q2,bkng_gb_yoy,BKNG gross bookings y/y (reported),abnb_nights_yoy,12,2021Q1 2021Q2 2021Q3 2023Q1 2024Q1 2024Q2 2024Q3 2025Q1 2025Q2 2025Q3 2026Q1 2026Q2,4.66,9.47,34.73,73.45,35.56,79.67,38.1,61.9,6.17,11.14,31.12,56.13,0.13,0.16,1.0
2021Q1-2026Q2,bkng_gb_yoy_cc,BKNG gross bookings y/y (constant currency),abnb_nights_yoy,10,2021Q1 2021Q2 2021Q3 2023Q1 2024Q2 2025Q1 2025Q2 2025Q3 2026Q1 2026Q2,2.96,3.77,41.4,80.45,41.25,87.22,47.62,71.15,8.04,13.93,36.85,61.82,0.07,0.17,1.0
2021Q1-2026Q2,bkng_excess_1d_pct,BKNG day-1 excess return,abnb_nights_yoy,12,2021Q1 2021Q2 2021Q3 2023Q1 2024Q1 2024Q2 2024Q3 2025Q1 2025Q2 2025Q3 2026Q1 2026Q2,36.13,60.66,34.73,73.45,35.56,79.67,38.1,61.9,38.46,61.48,31.12,56.13,1.04,1.01,0.58
2021Q1-2026Q2,expe_room_nights_yoy,EXPE room nights y/y,abnb_nights_yoy,11,2021Q1 2021Q2 2021Q4 2022Q1 2022Q4 2023Q1 2023Q2 2023Q4 2024Q1 2024Q4 2026Q2,20.07,32.4,26.23,58.4,51.07,88.53,35.75,57.65,20.98,31.3,39.83,58.42,0.77,0.59,0.82
2021Q1-2026Q2,expe_room_nights_accel_pp,EXPE room nights accel (pp q/q),abnb_nights_yoy,11,2021Q1 2021Q2 2021Q4 2022Q1 2022Q4 2023Q1 2023Q2 2023Q4 2024Q1 2024Q4 2026Q2,36.05,70.4,26.23,58.4,51.07,88.53,35.75,57.65,19.74,26.42,39.83,58.42,1.37,0.55,0.73
2021Q1-2026Q2,expe_gb_yoy,EXPE gross bookings y/y,abnb_nights_yoy,11,2021Q1 2021Q2 2021Q4 2022Q1 2022Q4 2023Q1 2023Q2 2023Q4 2024Q1 2024Q4 2026Q2,15.35,29.75,26.23,58.4,51.07,88.53,35.75,57.65,15.76,24.0,39.83,58.42,0.59,0.44,0.82
2021Q1-2026Q2,expe_excess_1d_pct,EXPE day-1 excess return,abnb_nights_yoy,11,2021Q1 2021Q2 2021Q4 2022Q1 2022Q4 2023Q1 2023Q2 2023Q4 2024Q1 2024Q4 2026Q2,43.08,60.31,26.23,58.4,51.07,88.53,35.75,57.65,39.95,60.37,39.83,58.42,1.64,1.12,0.18
2021Q1-2026Q2,ota_room_nights_yoy,BKNG+EXPE mean room nights y/y,abnb_nights_yoy,5,2021Q1 2021Q2 2023Q1 2024Q1 2026Q2,,,,,,,,,,,,,,,
2021Q1-2026Q2,ota_room_nights_accel_pp,BKNG+EXPE mean room nights accel (pp),abnb_nights_yoy,5,2021Q1 2021Q2 2023Q1 2024Q1 2026Q2,,,,,,,,,,,,,,,
