print_quarter,margin_pct,margin_bound_type,margin_bound_pct,surprise_vs_bound_pts,surprise_specsign_pts,surprise_yoy_pts,sm_delev_pts_lag1,ops_per_night_yoy_lag1,take_rate_chg_bps_lag1,sbc_pct_rev_chg_pts_lag1,fx_pts,hotel_cpi_q_yoy,adr_exfx_yoy,sm_delev_pts,loo_pred_margin
2023Q1,14.41,ceiling,15.00,-0.59,0.59,-0.76,-9.48,-5.16,53.14,-1.39,1.00,7.10,-1.00,9.85,13.41
2023Q2,32.97,ceiling,34.00,-1.03,1.03,-0.82,9.85,1.85,13.85,0.28,1.00,3.80,0.23,10.55,32.62
2023Q3,53.99,floor,51.00,2.99,2.99,3.47,10.55,11.64,62.88,0.50,1.00,5.57,2.32,-14.03,57.53
2023Q4,33.27,floor,27.00,6.27,6.27,6.67,-14.03,-3.30,7.57,0.30,1.00,0.60,1.50,-12.31,30.54
2024Q1,19.80,floor,14.00,5.79,5.79,5.38,-12.31,-6.52,22.08,-1.18,0.00,-0.60,2.52,-4.32,17.34
2024Q2,32.53,ceiling,33.00,-0.47,0.47,-0.44,-4.32,-8.64,44.20,0.57,0.00,-1.17,2.12,6.48,33.68
2024Q3,52.47,ceiling,54.00,-1.53,1.53,-1.52,6.48,-3.09,-4.30,1.66,0.00,-0.93,1.25,17.44,51.47
2024Q4,30.85,ceiling,33.00,-2.15,2.15,-2.43,17.44,7.20,0.43,1.28,0.00,1.80,1.07,17.31,30.90
2025Q1,18.35,ceiling,20.00,-1.65,1.65,-1.44,17.31,-7.36,-21.88,3.96,0.00,0.50,-0.86,2.28,20.93
2025Q2,33.69,ceiling,32.50,1.19,-1.19,1.16,2.28,-1.99,-8.02,1.99,0.00,-1.57,3.18,8.59,33.01
2025Q3,50.09,ceiling,52.50,-2.42,2.42,-2.38,8.59,-8.37,21.22,-0.21,0.00,-1.93,4.72,14.48,53.06
2025Q4,28.29,ceiling,30.80,-2.51,2.51,-2.55,14.48,-9.19,-68.51,0.04,2.54,-2.55,3.00,14.33,30.20
2026Q1,19.38,point,18.40,0.98,0.98,1.03,14.33,4.18,-47.33,-1.73,5.19,-0.17,4.00,16.23,16.88
2026Q2,34.95,floor,33.70,1.25,1.25,1.26,16.23,-2.03,-10.22,-0.45,0.90,4.70,4.00,9.91,34.11
