quarter,ticker,report_date,acceptance_utc,reaction_date,stock_1d_pct,qqq_1d_pct,excess_1d_pct,room_nights_yoy,gb_yoy,gb_yoy_cc,gb_usd_b,rev_yoy,rev_yoy_cc,adj_ebitda_musd,adj_ebitda_margin_stated,rev_musd_xbrl,rev_yoy_xbrl,adj_ebitda_margin_pct,next_q_direction,next_q_note,guide_next_lo,guide_next_hi,guide_metric,room_nights_basis,gb_musd,rev_musd,room_nights_m,revpar_yoy
2020Q4,BKNG,2021-02-24,21:17,2021-02-25,-6.97,-3.49,-3.48,-60.0,-65.0,-65.0,7.3,-63.0,-63.0,-38.0,-3.1,1238.0,-62.9,-3.1,,no quantified next-quarter guide in the release (given on the call),,,,,,,,
2020Q4,EXPE,2021-02-11,21:03,2021-02-12,-2.27,0.56,-2.83,-61.0,-67.4,,,-66.5,,-160.0,,920.0,-66.5,-17.4,,no quantified next-quarter guide in the release (given on the call),,,,stayed (growth only),7567.0,920.0,,
2020Q4,HLT,2021-02-17,11:02,2021-02-17,-1.92,-0.48,-1.44,,,,,,,,,,,,,,,,,,,,,-59.2
2020Q4,MAR,2021-02-18,13:10,2021-02-18,0.49,-0.44,0.92,,,,,,,,,,,,,,,,,,,,,-64.1
2021Q1,BKNG,2021-05-05,20:06,2021-05-06,-2.51,0.75,-3.26,-20.0,-4.0,-6.0,11.9,-50.0,-51.0,-195.0,-17.1,1141.0,-50.1,-17.1,,no quantified next-quarter guide in the release (given on the call),,,,,,,,
2021Q1,EXPE,2021-05-06,20:05,2021-05-07,5.24,0.81,4.43,-47.0,-13.8,,,-43.6,,-58.0,,1246.0,-43.6,-4.7,,no quantified next-quarter guide in the release (given on the call),,,,stayed (growth only),15422.0,1246.0,,
2021Q1,HLT,2021-05-05,10:17,2021-05-05,-4.39,-0.34,-4.05,,,,,,,,,,,,,,,,,,,,,-38.4
2021Q1,MAR,2021-05-10,12:17,2021-05-10,-4.11,-2.53,-1.59,,,,,,,,,,,,,,,,,,,,,-46.3
2021Q2,BKNG,2021-08-04,20:04,2021-08-05,5.85,0.63,5.22,458.0,852.0,802.0,22.0,243.0,229.0,48.0,2.2,2160.0,242.9,2.2,,no quantified next-quarter guide in the release (given on the call),,,,,,,,
2021Q2,EXPE,2021-08-05,20:06,2021-08-06,-7.92,-0.44,-7.48,196.0,667.2,,,273.0,,201.0,,2111.0,273.0,9.5,,no quantified next-quarter guide in the release (given on the call),,,,stayed (growth only),20815.0,2111.0,,
2021Q2,HLT,2021-07-29,10:01,2021-07-29,3.84,0.18,3.66,,,,,,,,,,,,,,,,,,,,,233.8
2021Q2,MAR,2021-08-03,12:12,2021-08-03,-1.55,0.61,-2.15,,,,,,,,,,,,,,,,,,,,,262.6
2021Q3,BKNG,2021-11-03,20:05,2021-11-04,0.07,1.28,-1.21,44.0,77.0,75.0,23.7,77.0,76.0,2111.0,45.1,4676.0,77.1,45.1,,no quantified next-quarter guide in the release (given on the call),,,,,,,,
2021Q3,EXPE,2021-11-04,20:09,2021-11-05,15.63,0.1,15.53,59.0,117.0,,,96.9,,855.0,,2962.0,96.9,28.9,,no quantified next-quarter guide in the release (given on the call),,,,stayed (growth only),18725.0,2962.0,,
2021Q3,HLT,2021-10-27,10:06,2021-10-27,1.92,0.23,1.69,,,,,,,,,,,,,,,,,,,,,98.7
2021Q3,MAR,2021-11-03,11:47,2021-11-03,2.79,1.06,1.73,,,,,,,,,,,,,,,,,,,,,118.4
2021Q4,BKNG,2022-02-23,21:04,2022-02-24,-7.08,3.36,-10.44,100.0,160.0,,19.0,141.0,,940.0,31.5,2981.0,140.8,31.5,,no quantified next-quarter guide in the release (given on the call),,,,,,,,
2021Q4,EXPE,2022-02-10,21:08,2022-02-11,-2.73,-3.17,0.44,74.0,130.8,,,147.7,,479.0,,2279.0,147.7,21.0,,no quantified next-quarter guide in the release (given on the call),,,,stayed (growth only),17463.0,2279.0,,
2021Q4,HLT,2022-02-16,11:02,2022-02-16,-1.05,-0.03,-1.03,,,,,,,,,,,,,,,,,,,,,104.2
2021Q4,MAR,2022-02-15,12:37,2022-02-15,5.76,2.49,3.27,,,,,,,,,,,,,,,,,,,,,124.5
2022Q1,BKNG,2022-05-04,20:05,2022-05-05,3.26,-5.04,8.3,100.0,129.0,,27.3,136.0,,310.0,11.5,2695.0,136.2,11.5,,no quantified next-quarter guide in the release (given on the call),,,,,,,,
2022Q1,EXPE,2022-05-02,20:03,2022-05-03,-14.02,0.11,-14.12,52.0,58.3,,,80.5,,173.0,,2249.0,80.5,7.7,,no quantified next-quarter guide in the release (given on the call),,,,stayed (growth only),24412.0,2249.0,,
2022Q1,HLT,2022-05-03,10:02,2022-05-03,-4.15,0.11,-4.26,,,,,,,,,,,,,,,,,,,,,80.5
2022Q1,MAR,2022-05-04,11:42,2022-05-04,4.74,3.38,1.36,,,,,,,,,,,,,,,,,,,,,96.5
2022Q2,BKNG,2022-08-03,20:05,2022-08-04,-0.98,0.47,-1.45,56.0,57.0,,34.5,99.0,,1086.0,25.3,4294.0,98.8,25.3,,no quantified next-quarter guide in the release (given on the call),,,,,,,,
