quarter,abnb_release_date,abnb_reaction_date,bkng_report_date,bkng_acceptance_utc,bkng_room_nights_yoy,bkng_gb_yoy,bkng_gb_yoy_cc,bkng_rev_yoy,bkng_rev_yoy_cc,bkng_rev_yoy_xbrl,bkng_adj_ebitda_margin_pct,bkng_next_q_direction,bkng_next_q_note,bkng_reaction_date,bkng_stock_1d_pct,bkng_qqq_1d_pct,bkng_excess_1d_pct,bkng_lead_days,expe_report_date,expe_acceptance_utc,expe_room_nights_yoy,expe_room_nights_basis,expe_gb_yoy,expe_rev_yoy,expe_rev_yoy_xbrl,expe_adj_ebitda_margin_pct,expe_next_q_direction,expe_next_q_note,expe_reaction_date,expe_stock_1d_pct,expe_qqq_1d_pct,expe_excess_1d_pct,expe_lead_days,mar_report_date,mar_acceptance_utc,mar_revpar_yoy,mar_reaction_date,mar_stock_1d_pct,mar_excess_1d_pct,mar_lead_days,hlt_report_date,hlt_acceptance_utc,hlt_revpar_yoy,hlt_reaction_date,hlt_stock_1d_pct,hlt_excess_1d_pct,hlt_lead_days,bkng_room_nights_accel_pp,bkng_gb_accel_pp,expe_room_nights_accel_pp,expe_gb_accel_pp,mar_revpar_accel_pp,hlt_revpar_accel_pp
2021Q1,2021-05-13,2021-05-14,2021-05-05,20:06,-20.0,-4.0,-6.0,-50.0,-51.0,-50.1,-17.1,,no quantified next-quarter guide in the release (given on the call),2021-05-06,-2.51,0.75,-3.26,8,2021-05-06,20:05,-47.0,stayed (growth only),-13.8,-43.6,-43.6,-4.7,,no quantified next-quarter guide in the release (given on the call),2021-05-07,5.24,0.81,4.43,7,2021-05-10,12:17,-46.3,2021-05-10,-4.11,-1.59,3,2021-05-05,10:17,-38.4,2021-05-05,-4.39,-4.05,8,40.0,61.0,14.0,53.6,17.8,20.8
2021Q2,2021-08-12,2021-08-13,2021-08-04,20:04,458.0,852.0,802.0,243.0,229.0,242.9,2.2,,no quantified next-quarter guide in the release (given on the call),2021-08-05,5.85,0.63,5.22,8,2021-08-05,20:06,196.0,stayed (growth only),667.2,273.0,273.0,9.5,,no quantified next-quarter guide in the release (given on the call),2021-08-06,-7.92,-0.44,-7.48,7,2021-08-03,12:12,262.6,2021-08-03,-1.55,-2.15,9,2021-07-29,10:01,233.8,2021-07-29,3.84,3.66,14,478.0,856.0,243.0,681.0,308.9,272.2
2021Q3,2021-11-04,2021-11-05,2021-11-03,20:05,44.0,77.0,75.0,77.0,76.0,77.1,45.1,,no quantified next-quarter guide in the release (given on the call),2021-11-04,0.07,1.28,-1.21,1,2021-11-04,20:09,59.0,stayed (growth only),117.0,96.9,96.9,28.9,,no quantified next-quarter guide in the release (given on the call),2021-11-05,15.63,0.1,15.53,0,2021-11-03,11:47,118.4,2021-11-03,2.79,1.73,1,2021-10-27,10:06,98.7,2021-10-27,1.92,1.69,8,-414.0,-775.0,-137.0,-550.2,-144.2,-135.1
2021Q4,2022-02-15,2022-02-16,2022-02-23,21:04,100.0,160.0,,141.0,,140.8,31.5,,no quantified next-quarter guide in the release (given on the call),2022-02-24,-7.08,3.36,-10.44,-8,2022-02-10,21:08,74.0,stayed (growth only),130.8,147.7,147.7,21.0,,no quantified next-quarter guide in the release (given on the call),2022-02-11,-2.73,-3.17,0.44,5,2022-02-15,12:37,124.5,2022-02-15,5.76,3.27,0,2022-02-16,11:02,104.2,2022-02-16,-1.05,-1.03,-1,56.0,83.0,15.0,13.8,6.1,5.5
2022Q1,2022-05-03,2022-05-04,2022-05-04,20:05,100.0,129.0,,136.0,,136.2,11.5,,no quantified next-quarter guide in the release (given on the call),2022-05-05,3.26,-5.04,8.3,-1,2022-05-02,20:03,52.0,stayed (growth only),58.3,80.5,80.5,7.7,,no quantified next-quarter guide in the release (given on the call),2022-05-03,-14.02,0.11,-14.12,1,2022-05-04,11:42,96.5,2022-05-04,4.74,1.36,-1,2022-05-03,10:02,80.5,2022-05-03,-4.15,-4.26,0,0.0,-31.0,-22.0,-72.5,-28.0,-23.7
2022Q2,2022-08-02,2022-08-03,2022-08-03,20:05,56.0,57.0,,99.0,,98.8,25.3,,no quantified next-quarter guide in the release (given on the call),2022-08-04,-0.98,0.47,-1.45,-1,2022-08-04,20:05,20.6,booked,25.6,50.7,50.7,20.4,,no quantified next-quarter guide in the release (given on the call),2022-08-05,0.31,-0.82,1.13,-2,2022-08-02,11:38,70.6,2022-08-02,-0.83,-0.54,0,2022-07-27,10:02,54.3,2022-07-27,7.51,3.29,6,-44.0,-72.0,-31.4,-32.7,-25.9,-26.2
2022Q3,2022-11-01,2022-11-02,2022-11-02,20:04,31.0,36.0,52.0,29.0,47.0,29.4,43.9,,no quantified next-quarter guide in the release (given on the call),2022-11-03,2.67,-1.95,4.63,-1,2022-11-03,20:06,24.8,booked,28.1,22.2,22.2,29.8,,no quantified next-quarter guide in the release (given on the call),2022-11-04,5.71,1.61,4.1,-2,2022-11-03,10:52,36.3,2022-11-03,-4.26,-2.3,-2,2022-10-26,10:02,29.9,2022-10-26,-0.5,1.71,6,-25.0,-21.0,4.2,2.5,-34.3,-24.4
2022Q4,2023-02-14,2023-02-15,2023-02-23,21:03,39.0,44.0,58.0,36.0,49.0,35.8,30.6,,no quantified next-quarter guide in the release (given on the call),2023-02-24,1.07,-1.67,2.75,-9,2023-02-09,21:03,18.6,booked,17.5,14.9,14.9,17.2,,no quantified next-quarter guide in the release (given on the call),2023-02-10,-8.55,-0.66,-7.9,5,2023-02-14,12:28,28.8,2023-02-14,3.96,3.22,0,2023-02-09,11:01,24.8,2023-02-09,2.39,3.27,5,8.0,8.0,-6.2,-10.6,-7.5,-5.1
2023Q1,2023-05-09,2023-05-10,2023-05-04,20:02,38.0,44.0,52.0,40.0,47.0,40.2,15.5,,no quantified next-quarter guide in the release (given on the call),2023-05-05,-1.32,2.13,-3.44,5,2023-05-04,20:11,22.7,booked,20.4,18.5,18.5,6.9,,no quantified next-quarter guide in the release (given on the call),2023-05-05,4.9,2.13,2.78,5,2023-05-02,11:19,34.3,2023-05-02,4.98,5.85,7,2023-04-26,10:02,30.0,2023-04-26,-3.41,-4.02,13,-1.0,0.0,4.1,2.9,5.5,5.2
2023Q2,2023-08-03,2023-08-04,2023-08-03,20:03,9.0,15.0,,27.0,,27.2,32.6,,no quantified next-quarter guide in the release (given on the call),2023-08-04,7.86,-0.47,8.33,0,2023-08-03,13:01,8.7,booked,4.5,5.6,5.6,22.2,,no quantified next-quarter guide in the release (given on the call),2023-08-03,-16.38,-0.16,-16.22,0,2023-08-01,11:23,13.5,2023-08-01,1.45,1.68,2,2023-07-26,10:02,12.1,2023-07-26,-0.58,-0.24,8,-29.0,-29.0,-14.0,-15.9,-20.8,-17.9
2023Q3,2023-11-01,2023-11-02,2023-11-02,20:03,15.0,24.0,21.0,21.0,18.0,21.3,44.7,,no quantified next-quarter guide in the release (given on the call),2023-11-03,0.71,1.17,-0.47,-1,2023-11-02,20:03,9.4,booked,7.1,8.6,8.6,30.9,,no quantified next-quarter guide in the release (given on the call),2023-11-03,18.84,1.17,17.67,-1,2023-11-02,10:59,8.8,2023-11-02,-1.64,-3.46,-1,2023-10-25,10:02,6.8,2023-10-25,0.74,3.18,7,6.0,9.0,0.7,2.6,-4.7,-5.3
2023Q4,2024-02-13,2024-02-14,2024-02-22,21:01,9.0,16.0,,18.0,,18.2,30.6,,no quantified next-quarter guide in the release (given on the call),2024-02-23,-10.15,-0.29,-9.85,-9,2024-02-08,21:02,9.3,booked,5.7,10.3,10.3,18.4,,no quantified next-quarter guide in the release (given on the call),2024-02-09,-17.78,0.98,-18.77,5,2024-02-13,12:24,7.2,2024-02-13,-5.59,-4.03,0,2024-02-07,11:02,5.7,2024-02-07,0.72,-0.3,6,-6.0,-8.0,-0.1,-1.4,-1.6,-1.1
2024Q1,2024-05-08,2024-05-09,2024-05-02,20:02,9.0,10.0,,17.0,,16.9,20.3,,no quantified next-quarter guide in the release (given on the call),2024-05-03,3.01,2.01,1.0,6,2024-05-02,20:02,7.1,booked,2.6,8.4,8.4,8.8,,no quantified next-quarter guide in the release (given on the call),2024-05-03,-15.25,2.01,-17.26,6,2024-05-01,11:10,4.2,2024-05-01,-0.96,-0.24,7,2024-04-24,10:02,2.0,2024-04-24,3.89,3.55,14,0.0,-6.0,-2.2,-3.1,-3.0,-3.7
2024Q2,2024-08-06,2024-08-07,2024-08-01,20:04,7.0,4.0,6.0,7.0,9.0,7.3,32.3,,no quantified next-quarter guide in the release (given on the call),2024-08-02,-9.17,-2.37,-6.8,5,2024-08-08,20:02,10.3,booked,5.5,6.0,6.0,22.1,,no quantified next-quarter guide in the release (given on the call),2024-08-09,10.21,0.52,9.68,-2,2024-07-31,11:13,4.9,2024-07-31,-4.8,-7.76,6,2024-08-07,10:02,3.5,2024-08-07,-1.74,-0.66,-1,-2.0,-6.0,3.2,2.9,0.7,1.5
2024Q3,2024-11-07,2024-11-08,2024-10-30,20:04,8.0,9.0,,9.0,,8.9,45.8,,no quantified next-quarter guide in the release (given on the call),2024-10-31,4.76,-2.52,7.28,8,2024-11-07,21:03,9.1,booked,7.1,3.3,3.3,30.8,,no quantified next-quarter guide in the release (given on the call),2024-11-08,3.81,0.12,3.69,0,2024-11-04,12:21,3.0,2024-11-04,-1.59,-1.3,3,2024-10-23,10:02,1.4,2024-10-23,-1.94,-0.41,15,1.0,5.0,-1.2,1.6,-1.9,-2.1
2024Q4,2025-02-13,2025-02-14,2025-02-20,21:02,13.0,17.0,18.0,14.0,15.0,14.4,33.8,,no quantified next-quarter guide in the release (given on the call),2025-02-21,-0.55,-2.08,1.53,-7,2025-02-06,21:02,11.6,booked,12.7,10.3,10.3,20.2,,no quantified next-quarter guide in the release (given on the call),2025-02-07,17.27,-1.26,18.53,7,2025-02-11,12:30,5.0,2025-02-11,-5.4,-5.17,2,2025-02-06,11:02,3.5,2025-02-06,4.86,4.34,7,5.0,8.0,2.5,5.6,2.0,2.1
