block,cell,n,value,note
unconditional,P(revenue beat guide midpoint),19,1.0,
unconditional,P(revenue beat top of range),19,0.789,
unconditional,P(revenue beat top of range | 2024Q1 on),10,0.9,
unconditional,"mean revenue beat vs midpoint, %",19,2.55,
unconditional,"median revenue beat vs midpoint, %",19,2.5,
unconditional,"mean revenue beat vs midpoint, last 8 guides, %",8,1.88,
unconditional,"min revenue beat vs midpoint, %",19,0.9,
unconditional,"mean revenue beat vs top, %",19,1.06,
unconditional,"mean revenue beat vs top, Q3 guides only, %",4,0.0,seasonally large quarter; smallest cushions
unconditional,P(excess 1d > 0),23,0.478,
unconditional,P(excess 5d > 0),23,0.348,
unconditional,P(excess 20d > 0),22,0.273,
unconditional,P(|ABNB 1d| > 7%),23,0.478,
unconditional,P(|excess 1d| > 7%),23,0.478,
unconditional,P(|ABNB 1d| > 10%),23,0.348,
unconditional,P(ABNB 1d > +7%),23,0.261,
unconditional,P(ABNB 1d < -7%),23,0.217,
unconditional,"mean excess 1d, %",23,0.51,
unconditional,"median excess 1d, %",23,0.0,
unconditional,"std excess 1d, %",23,8.66,
unconditional,"mean excess 5d, %",23,-2.66,
unconditional,"median excess 5d, %",23,-2.6,
unconditional,"std excess 5d, %",23,9.07,
unconditional,"mean excess 20d, %",22,-4.66,
unconditional,"median excess 20d, %",22,-3.6,
unconditional,"std excess 20d, %",22,7.53,
unconditional,"mean |ABNB 1d|, %",23,7.06,
unconditional,"median |ABNB 1d|, %",23,6.9,
unconditional,P(margin at or better than guided direction),22,1.0,
unconditional,P(margin above guided direction),22,0.364,
unconditional,P(nights y/y accelerated vs prior quarter),23,0.348,
unconditional,P(nights y/y accelerated | 2023Q1 on),14,0.357,
unconditional,P(next-q guide implied accel vs reported y/y),20,0.1,
unconditional,P(next-q guide implied decel vs reported y/y),20,0.85,
unconditional,"P(next-q guide implied accel, cushion-adjusted)",17,0.412,
unconditional,count FY floor action = raised,7,7.0,
unconditional,count FY floor action = held,7,7.0,
unconditional,count FY floor action = introduced,5,5.0,
unconditional,count FY floor action = none,4,4.0,
unconditional,"P(FY floor raised | numeric-floor era, 2023Q4 on)",11,0.364,
unconditional,"P(FY floor raised | numeric-floor era, non-February calls)",8,0.5,
unconditional,"P(FY floor raised | Q3 print, 2023 on)",3,1.0,
regime_2024Q1_on,P(excess 1d > 0),10,0.4,
regime_2024Q1_on,P(|ABNB 1d| > 7%),10,0.5,
regime_2024Q1_on,"mean excess 1d, %",10,-0.34,
regime_2024Q1_on,"median excess 1d, %",10,-1.05,
regime_2024Q1_on,"mean revenue beat vs midpoint, %",10,2.09,
regime_2024Q1_on,"mean revenue beat vs top, %",10,1.11,
by_beat_bucket,"beat_top: mean excess 1d, %",15,0.25,
by_beat_bucket,"beat_top: median excess 1d, %",15,-0.5,
by_beat_bucket,"beat_top: mean excess 5d, %",15,-2.58,
by_beat_bucket,"beat_top: median excess 5d, %",15,-6.9,
by_beat_bucket,"beat_top: mean excess 20d, %",14,-6.31,
by_beat_bucket,"beat_top: median excess 20d, %",14,-7.05,
by_beat_bucket,beat_top: P(excess 1d > 0),15,0.4,
by_beat_bucket,beat_top: P(|ABNB 1d| > 7%),15,0.533,
by_beat_bucket,"beat_mid_only: mean excess 1d, %",4,-5.1,
by_beat_bucket,"beat_mid_only: median excess 1d, %",4,-4.5,
by_beat_bucket,"beat_mid_only: mean excess 5d, %",4,-6.55,
by_beat_bucket,"beat_mid_only: median excess 5d, %",4,-4.25,
by_beat_bucket,"beat_mid_only: mean excess 20d, %",4,-4.5,
by_beat_bucket,"beat_mid_only: median excess 20d, %",4,-1.15,
by_beat_bucket,beat_mid_only: P(excess 1d > 0),4,0.25,
by_beat_bucket,beat_mid_only: P(|ABNB 1d| > 7%),4,0.25,
by_beat_bucket,"perm p, mean excess 1d beat_top vs beat_mid_only",19,0.278,"20000 shuffles, two-sided"
by_beat_bucket,"Fisher p, P(excess 1d>0) beat_top vs beat_mid_only",19,1.0,
by_beat_size_median_split,"big_beat: mean excess 1d, %",9,3.06,
by_beat_size_median_split,"big_beat: median excess 1d, %",9,3.7,
by_beat_size_median_split,"big_beat: mean excess 5d, %",9,-2.37,
by_beat_size_median_split,"big_beat: median excess 5d, %",9,-2.1,
by_beat_size_median_split,"big_beat: mean excess 20d, %",9,-4.47,
by_beat_size_median_split,"big_beat: median excess 20d, %",9,-6.4,
by_beat_size_median_split,big_beat: P(excess 1d > 0),9,0.556,
by_beat_size_median_split,big_beat: P(|ABNB 1d| > 7%),9,0.333,
by_beat_size_median_split,"small_beat: mean excess 1d, %",10,-4.41,
by_beat_size_median_split,"small_beat: median excess 1d, %",10,-6.75,
by_beat_size_median_split,"small_beat: mean excess 5d, %",10,-4.36,
by_beat_size_median_split,"small_beat: median excess 5d, %",10,-6.45,
by_beat_size_median_split,"small_beat: mean excess 20d, %",9,-7.34,
by_beat_size_median_split,"small_beat: median excess 20d, %",9,-5.3,
by_beat_size_median_split,small_beat: P(excess 1d > 0),10,0.2,
by_beat_size_median_split,small_beat: P(|ABNB 1d| > 7%),10,0.6,
by_beat_size_median_split,"perm p, mean excess 1d big_beat vs small_beat",19,0.053,"20000 shuffles, two-sided"
by_beat_size_median_split,"Fisher p, P(excess 1d>0) big_beat vs small_beat",19,0.17,
by_beat_size_median_split,"median beat used as split, %",19,2.5,
by_guide_direction_raw,"accel: mean excess 1d, %",2,1.95,
by_guide_direction_raw,"accel: median excess 1d, %",2,1.95,
by_guide_direction_raw,"accel: mean excess 5d, %",2,4.7,
by_guide_direction_raw,"accel: median excess 5d, %",2,4.7,
by_guide_direction_raw,"accel: mean excess 20d, %",2,3.2,
by_guide_direction_raw,"accel: median excess 20d, %",2,3.2,
by_guide_direction_raw,accel: P(excess 1d > 0),2,0.5,
by_guide_direction_raw,accel: P(|ABNB 1d| > 7%),2,0.0,
by_guide_direction_raw,"flat: mean excess 1d, %",1,12.9,
by_guide_direction_raw,"flat: median excess 1d, %",1,12.9,
by_guide_direction_raw,"flat: mean excess 5d, %",1,9.3,
by_guide_direction_raw,"flat: median excess 5d, %",1,9.3,
by_guide_direction_raw,"flat: mean excess 20d, %",1,-2.8,
by_guide_direction_raw,"flat: median excess 20d, %",1,-2.8,
by_guide_direction_raw,flat: P(excess 1d > 0),1,1.0,
by_guide_direction_raw,flat: P(|ABNB 1d| > 7%),1,1.0,
by_guide_direction_raw,"decel: mean excess 1d, %",17,-1.21,
by_guide_direction_raw,"decel: median excess 1d, %",17,-2.8,
by_guide_direction_raw,"decel: mean excess 5d, %",17,-4.37,
by_guide_direction_raw,"decel: median excess 5d, %",17,-6.9,
by_guide_direction_raw,"decel: mean excess 20d, %",16,-7.04,
by_guide_direction_raw,"decel: median excess 20d, %",16,-7.05,
by_guide_direction_raw,decel: P(excess 1d > 0),17,0.353,
by_guide_direction_raw,decel: P(|ABNB 1d| > 7%),17,0.529,
by_guide_direction_cushion_adj,"accel: mean excess 1d, %",7,-0.04,
by_guide_direction_cushion_adj,"accel: median excess 1d, %",7,0.0,
by_guide_direction_cushion_adj,"accel: mean excess 5d, %",7,0.67,
by_guide_direction_cushion_adj,"accel: median excess 5d, %",7,0.5,
by_guide_direction_cushion_adj,"accel: mean excess 20d, %",6,-4.42,
by_guide_direction_cushion_adj,"accel: median excess 20d, %",6,-5.7,
