quarter,nights_yoy,nights_accel,gbv_yoy,adr_yoy,adr_exfx_yoy,adr_fx_effect,rev_beat_pct,excess_1d_pct,share_gap,cpi_lodging_sa,cpi_lodging_nsa,cpi_airfare,cpi_all,cpi_new_vehicles,umcsent,psavert,unrate,retail_sales_xauto,real_pce,real_dpi,pce_services,pce_durables,emp_leisure_hosp,air_rpm,vehicle_miles,initial_claims,usd_tw_broad,eurusd,bea_accom_nominal,bea_accom_real,bea_accom_price,bea_hotels_nominal,bea_hotels_real,bea_hotels_price,bea_inbound_foreign_travel,bea_outbound_us_travel
2019Q1,,,,,,,,,,3.382,3.134,-1.380,1.630,0.305,94.467,8.267,3.867,2.029,1.475,4.200,3.879,-0.049,1.658,4.462,1.332,-3.859,6.073,-7.612,2.507,-0.715,2.797,2.056,-1.383,3.492,-5.425,5.359
2019Q2,,,,,,,,,,2.832,3.174,-1.172,1.822,0.916,98.467,7.333,3.633,2.648,1.795,3.197,3.599,1.998,1.535,3.959,0.356,-1.560,4.349,-5.748,1.063,-1.688,2.416,0.266,-2.573,2.871,-0.681,7.807
2019Q3,,,,,,,,,,3.776,3.843,1.209,1.749,0.250,93.800,6.900,3.600,3.307,2.479,2.809,4.095,3.526,1.633,4.416,1.747,1.075,2.487,-4.373,2.414,-1.101,3.565,2.207,-1.687,3.969,-3.500,6.196
2019Q4,,,,,,,,,,1.916,1.687,2.820,2.049,0.020,97.200,6.733,3.600,3.136,2.829,2.328,4.568,3.860,2.359,4.420,-0.761,1.356,0.617,-2.975,6.417,4.409,2.646,7.642,5.696,1.881,3.730,7.282
2020Q1,,,,,,,,,,-1.415,-2.037,-2.145,2.144,-0.050,96.633,8.900,3.833,1.313,0.936,1.676,2.239,0.142,0.776,-15.605,-3.043,296.268,2.794,-2.921,-6.657,-6.408,1.551,-7.289,-6.259,-1.968,-32.352,-23.557
2020Q2,,,,,,,,,,-14.984,-14.384,-26.568,0.409,-0.337,74.067,24.233,13.000,-3.653,-8.579,11.896,-10.472,-3.340,-38.556,-95.228,-24.338,1149.771,5.548,-1.968,-74.940,-71.057,-11.449,-71.793,-65.932,-17.199,-94.527,-93.388
2020Q3,,,,,,,,,,-12.418,-12.600,-23.379,1.223,0.803,75.667,15.033,8.800,6.717,-1.564,7.318,-4.055,13.612,-23.584,-80.090,-8.158,396.993,0.749,5.195,-49.826,-43.639,-9.079,-46.329,-37.385,-14.316,-92.017,-90.621
2020Q4,,,,,,,,,,-11.202,-11.413,-19.015,1.242,1.692,79.800,12.200,6.767,7.475,-0.877,4.631,-3.094,14.885,-21.729,-64.324,-7.406,254.340,-2.145,7.682,-50.984,-45.550,-8.713,-51.831,-44.630,-12.998,-87.801,-80.650
2021Q1,13.000,,52.000,,,,,1.800,44.600,-11.707,-10.953,-21.250,1.903,1.335,80.233,19.567,6.233,16.201,3.115,16.790,0.837,28.726,-21.313,-44.950,-4.930,-12.600,-4.579,9.284,-38.799,-31.645,-10.447,-38.703,-29.051,-12.878,-75.821,-69.953
2021Q2,197.000,184.000,320.000,,,,,0.700,35.200,10.615,10.523,20.199,4.783,3.556,85.567,10.400,5.933,27.070,16.828,-1.906,19.208,39.964,36.173,1172.689,26.467,-82.131,-8.214,9.393,187.580,161.823,8.867,170.575,141.960,11.656,314.537,397.423
2021Q3,29.000,-168.000,48.000,,,,,12.900,-22.300,19.244,18.835,8.812,5.250,7.615,74.767,8.600,5.067,11.864,8.177,0.429,13.602,11.902,15.266,266.800,6.390,-65.262,-3.445,0.735,76.995,51.331,15.320,70.712,40.784,21.269,223.137,471.179
2021Q4,59.000,30.000,91.000,,,,6.800,3.700,7.100,23.091,22.766,-2.707,6.771,10.869,69.900,6.733,4.167,13.769,7.753,1.373,13.443,14.548,15.002,124.735,7.100,-68.700,0.921,-4.099,83.280,51.931,18.792,80.793,43.034,26.227,238.428,211.119
