country,market,snapshot_date,h000_030,h031_060,h061_090,h091_180,h181_372,listings,fwd_curve_slope_30_to_180
denmark,copenhagen,2026-06-30,0.7704,0.8508,0.8040,0.7659,0.7477,23146,0.0044
spain,menorca,2026-06-30,0.7596,0.7586,0.4772,0.4738,0.5981,3620,0.2859
france,pays-basque,2026-06-23,0.6748,0.7583,0.5465,0.5233,0.5527,12096,0.1516
the-netherlands,amsterdam,2026-06-15,0.7767,0.7392,0.7354,0.7261,0.7389,10465,0.0506
spain,mallorca,2026-06-23,0.7050,0.7338,0.5588,0.4195,0.4663,14901,0.2854
sweden,stockholm,2026-06-30,0.7095,0.7284,0.6422,0.5851,0.6087,4806,0.1244
spain,girona,2026-06-30,0.6546,0.6810,0.3612,0.3856,0.5396,21263,0.2690
norway,oslo,2026-06-30,0.6124,0.6713,0.6118,0.6183,0.6484,13391,-0.0059
spain,euskadi,2026-06-30,0.6912,0.6660,0.4120,0.3550,0.5190,6251,0.3361
greece,crete,2026-06-29,0.6708,0.6559,0.4600,0.4104,0.5151,27333,0.2604
united-kingdom,edinburgh,2026-06-23,0.7258,0.6552,0.6143,0.5329,0.6224,6258,0.1929
the-netherlands,the-hague,2026-06-28,0.7426,0.6453,0.6190,0.5671,0.5624,1497,0.1755
united-states,pacific-grove,2026-06-14,0.7079,0.6442,0.5041,0.3440,0.3825,270,0.3639
greece,south-aegean,2026-06-28,0.6533,0.6383,0.3975,0.4797,0.5784,36680,0.1735
united-states,san-francisco,2026-06-14,0.7250,0.6278,0.4735,0.4201,0.4838,7422,0.3049
italy,trentino,2026-06-30,0.6304,0.6238,0.3337,0.4252,0.5796,10090,0.2052
united-states,rhode-island,2026-06-30,0.7201,0.6237,0.4997,0.4788,0.5383,6040,0.2413
canada,new-brunswick,2026-06-30,0.6835,0.6111,0.3771,0.3755,0.4579,4620,0.3079
germany,munich,2026-06-29,0.7056,0.6100,0.6278,0.6300,0.6784,6890,0.0756
spain,malaga,2026-06-30,0.7198,0.6039,0.4293,0.3220,0.4405,9573,0.3978
germany,berlin,2026-06-26,0.7152,0.5958,0.5869,0.5341,0.5812,12855,0.1811
the-netherlands,rotterdam,2026-06-28,0.6896,0.5940,0.5765,0.5858,0.6455,1377,0.1038
france,paris,2026-06-16,0.7484,0.5858,0.5761,0.5994,0.6350,77679,0.1490
spain,valencia,2026-06-26,0.7139,0.5849,0.4040,0.3805,0.5203,7865,0.3334
switzerland,zurich,2026-06-30,0.6365,0.5826,0.5549,0.5737,0.6312,3308,0.0628
canada,victoria,2026-07-24,0.7769,0.5814,0.4253,0.3693,0.4731,3562,0.4076
united-kingdom,london,2026-06-19,0.7157,0.5789,0.5182,0.5285,0.5985,92799,0.1872
ireland,dublin,2026-06-21,0.6713,0.5750,0.6140,0.5553,0.6260,6981,0.1160
united-states,bozeman,2026-07-16,0.7665,0.5675,0.3966,0.2966,0.3722,592,0.4699
united-states,portland,2026-06-15,0.7133,0.5649,0.4012,0.3312,0.4392,4210,0.3821
switzerland,vaud,2026-07-12,0.6682,0.5581,0.4895,0.5039,0.5625,5402,0.1644
france,bordeaux,2026-06-22,0.6091,0.5535,0.5465,0.5576,0.6137,12244,0.0514
france,lyon,2026-06-22,0.6172,0.5530,0.5721,0.6189,0.6980,9355,-0.0017
united-states,santa-clara-county,2026-06-28,0.7557,0.5491,0.3575,0.3397,0.4299,6895,0.4160
italy,puglia,2026-06-30,0.5428,0.5442,0.2975,0.3289,0.4590,48685,0.2139
canada,vancouver,2026-07-14,0.6860,0.5430,0.4399,0.4234,0.5676,6656,0.2626
united-states,san-mateo-county,2026-06-27,0.7296,0.5428,0.3605,0.3169,0.4119,3354,0.4127
united-states,new-york-city,2026-08-10,0.5999,0.5379,0.4742,0.4254,0.4773,30234,0.1746
belgium,ghent,2026-06-29,0.6836,0.5336,0.4668,0.4226,0.5391,1386,0.2611
switzerland,geneva,2026-06-29,0.6633,0.5277,0.5196,0.5517,0.6060,2604,0.1116
italy,sicily,2026-06-30,0.5256,0.5272,0.3162,0.2498,0.3781,56877,0.2759
canada,quebec-city,2026-07-16,0.7238,0.5259,0.4549,0.3131,0.3665,2523,0.4107
canada,montreal,2026-06-15,0.6121,0.5203,0.4037,0.3820,0.4715,10677,0.2301
united-states,seattle,2026-06-15,0.5647,0.5139,0.3888,0.3588,0.4994,7814,0.2060
austria,vienna,2026-06-20,0.5922,0.5118,0.4460,0.4538,0.5181,13306,0.1383
united-states,santa-cruz-county,2026-06-30,0.6998,0.5115,0.3776,0.3280,0.4248,1804,0.3718
portugal,lisbon,2026-06-23,0.5940,0.5065,0.3991,0.3034,0.3736,24912,0.2906
australia,sunshine-coast,2026-07-26,0.6099,0.5022,0.4812,0.4645,0.4510,7281,0.1454
portugal,porto,2026-06-23,0.5906,0.4927,0.3412,0.2147,0.2921,15294,0.3760
united-states,chicago,2026-06-24,0.6509,0.4919,0.3549,0.2860,0.4118,8704,0.3649
united-states,denver,2026-06-30,0.6934,0.4909,0.3831,0.3493,0.4319,4949,0.3440
united-states,oakland,2026-06-27,0.6541,0.4904,0.3631,0.3826,0.5101,2154,0.2715
belgium,brussels,2026-06-27,0.6567,0.4869,0.4362,0.4219,0.4846,5111,0.2348
united-states,salem-or,2026-06-28,0.6656,0.4860,0.4248,0.3572,0.4724,349,0.3085
united-kingdom,bristol,2026-06-29,0.6214,0.4857,0.4585,0.4758,0.5380,3023,0.1456
spain,barcelona,2026-06-24,0.6594,0.4847,0.3895,0.3187,0.4192,15406,0.3407
united-states,cambridge,2026-06-29,0.6918,0.4819,0.4550,0.4316,0.5434,1457,0.2602
canada,toronto,2026-07-14,0.6368,0.4812,0.4065,0.4101,0.5163,22256,0.2267
united-states,san-diego,2026-06-27,0.6957,0.4761,0.3375,0.3201,0.4183,13273,0.3756
united-states,twin-cities-msa,2026-06-27,0.6555,0.4759,0.3504,0.2695,0.3741,5353,0.3860
italy,bergamo,2026-06-30,0.5821,0.4688,0.2892,0.2580,0.4455,4242,0.3241
latvia,riga,2026-06-30,0.6119,0.4676,0.3795,0.3776,0.5319,3471,0.2343
hungary,budapest,2026-07-21,0.6311,0.4656,0.3749,0.4221,0.5827,11545,0.2090
united-states,boston,2026-06-15,0.6015,0.4640,0.3306,0.3249,0.4152,4414,0.2766
italy,venice,2026-06-15,0.5988,0.4618,0.4411,0.3448,0.4537,8793,0.2540
australia,melbourne,2026-06-16,0.5188,0.4606,0.4161,0.4897,0.6068,25728,0.0291
canada,ottawa,2026-06-24,0.5786,0.4529,0.3696,0.3214,0.3988,2727,0.2573
united-states,hawaii,2026-06-21,0.5786,0.4482,0.3427,0.3375,0.3466,38231,0.2411
belgium,antwerp,2026-06-29,0.5889,0.4470,0.3801,0.3799,0.4784,2536,0.2090
czech-republic,prague,2026-06-27,0.5647,0.4291,0.3831,0.4100,0.5466,11619,0.1547
australia,brisbane,2026-07-14,0.6048,0.4151,0.3583,0.3943,0.5370,6358,0.2104
italy,bologna,2026-06-26,0.5162,0.4131,0.4401,0.3912,0.6234,4954,0.1250
spain,madrid,2026-06-20,0.6128,0.4127,0.4414,0.4288,0.4872,22835,0.1840
italy,rome,2026-06-20,0.5776,0.4117,0.3716,0.3167,0.4434,37228,0.2609
united-states,asheville,2026-06-25,0.5858,0.4102,0.3314,0.3074,0.4012,2868,0.2784
canada,winnipeg,2026-06-22,0.5848,0.4073,0.2832,0.2305,0.3413,1790,0.3543
united-states,los-angeles,2026-06-15,0.5352,0.4055,0.3024,0.3026,0.4148,43932,0.2327
australia,sydney,2026-06-16,0.4871,0.3985,0.3809,0.4590,0.5841,20573,0.0281
italy,florence,2026-06-26,0.5635,0.3960,0.4370,0.3516,0.4469,13508,0.2120
united-states,washington-dc,2026-06-24,0.5993,0.3944,0.2708,0.2770,0.3993,6996,0.3222
united-states,columbus,2026-06-29,0.5781,0.3795,0.3543,0.2913,0.4015,2959,0.2869
united-states,rochester,2026-07-21,0.6170,0.3766,0.2882,0.2659,0.4119,1025,0.3512
australia,northern-rivers,2026-06-24,0.5088,0.3766,0.3455,0.3901,0.4546,6367,0.1187
italy,naples,2026-06-25,0.4748,0.3720,0.3021,0.2299,0.4120,11580,0.2449
australia,tasmania,2026-06-15,0.4999,0.3640,0.3009,0.3464,0.4644,6618,0.1535
italy,milan,2026-06-25,0.5289,0.3574,0.3700,0.3686,0.5630,25790,0.1603
japan,tokyo,2026-06-30,0.5979,0.3571,0.2854,0.3176,0.5157,34419,0.2803
south-africa,cape-town,2026-06-29,0.4433,0.3555,0.3167,0.3611,0.4143,27381,0.0823
united-states,nashville,2026-06-26,0.5231,0.3489,0.2961,0.2498,0.3035,10255,0.2733
australia,barossa-valley,2026-06-29,0.4143,0.3446,0.2797,0.2892,0.3863,360,0.1251
united-states,jersey-city,2026-06-27,0.5196,0.3400,0.2761,0.2658,0.3866,2320,0.2538
argentina,buenos-aires,2026-07-24,0.5205,0.3395,0.2926,0.2995,0.3660,29609,0.2210
greece,athens,2026-06-28,0.5022,0.3325,0.3135,0.1905,0.2967,14342,0.3117
spain,sevilla,2026-06-30,0.4450,0.3307,0.3789,0.3670,0.5979,8246,0.0780
united-states,austin,2026-06-22,0.4696,0.3276,0.2740,0.3276,0.4141,11320,0.1420
chile,santiago,2026-06-29,0.4761,0.3213,0.1842,0.1903,0.2440,18534,0.2859
australia,barwon-south-west-vic,2026-06-29,0.4239,0.3199,0.3116,0.3723,0.5437,7095,0.0517
united-states,albany,2026-07-15,0.5541,0.3150,0.2997,0.2630,0.3683,484,0.2911
united-states,fort-worth,2026-06-21,0.4710,0.3075,0.2298,0.2567,0.3786,2419,0.2143
mexico,mexico-city,2026-06-15,0.3840,0.2970,0.2142,0.2729,0.3388,31430,0.1110
greece,thessaloniki,2026-06-29,0.4259,0.2964,0.2729,0.2486,0.4309,4965,0.1773
brazil,rio-de-janeiro,2026-06-24,0.3614,0.2935,0.3010,0.3780,0.5657,48729,-0.0166
taiwan,taipei,2026-06-30,0.5196,0.2900,0.2070,0.3479,0.5568,6419,0.1717
australia,western-australia,2026-06-28,0.4777,0.2885,0.2586,0.3186,0.4137,11724,0.1591
united-states,clark-county-nv,2026-06-27,0.4259,0.2715,0.2672,0.3446,0.4776,20296,0.0812
united-states,new-orleans,2026-06-16,0.3714,0.2692,0.2102,0.3054,0.4406,7254,0.0660
