print_quarter,reaction_date,revenue_musd,revenue_yoy_pct,guide_mid_musd,guide_high_musd,rev_vs_mid_pct,rev_vs_high_pct,beat_mid,beat_top,next_q_guide_mid_musd,next_q_guide_implied_yoy_pct,guide_vs_reported_yoy_pp,trailing_cushion_pct,guide_implied_yoy_cushion_adj_pct,guide_direction,guide_direction_cushion_adj,nights_m,nights_yoy_pct,nights_yoy_prior_q_pct,nights_accel_pp,nights_direction,adj_ebitda_margin_pct,margin_yoy_pp,take_rate_pct,margin_guided_direction,margin_vs_guide,margin_met,fy_floor_action,fy_floor_detail,abnb_1d_pct,qqq_1d_pct,excess_1d_pct,abnb_5d_pct,qqq_5d_pct,excess_5d_pct,abnb_20d_pct,qqq_20d_pct,excess_20d_pct,source_flags
2020Q4,2021-02-26,859.0,-22.0,,,,,,,,,,,,qualitative,,46.3,-39.0,-28.0,-11.0,decel,-2.4,,,none (IPO quarter),,,none,no FY guide; 30%+ long-term aspiration,13.3,0.4,12.9,-1.0,-2.8,1.8,-3.2,-0.5,-2.8,nights_yoy uses HAND 2020 nights; margin uses HAND Q4 2020 adj EBITDA -21
2021Q1,2021-05-14,887.0,5.0,,,,,,,,,,,,qualitative,,64.4,13.2,-39.0,52.2,accel,-6.7,,8.6,Q1 lowest margin of year; H1 below H2,in_line,1.0,none,,4.0,2.2,1.8,0.3,3.0,-2.6,9.3,6.9,2.5,nights_yoy uses HAND 2020 nights
2021Q2,2021-08-13,1335.0,299.0,,,,,,,,,,,,qualitative,,83.1,196.8,13.2,183.6,accel,16.3,,10.0,breakeven to slightly positive,above,1.0,none,30%+ long-term aspiration repeated,1.1,0.4,0.7,-5.6,-1.0,-4.7,9.3,2.5,6.8,nights_yoy uses HAND 2020 nights
2021Q3,2021-11-05,2237.0,67.0,,,,,,,1435.0,67.1,0.1,,,flat,,79.7,29.0,196.8,-167.8,decel,49.2,,18.8,highest EBITDA dollars and margin ever,in_line,1.0,none,,13.0,0.1,12.9,7.4,-1.9,9.3,-6.6,-3.8,-2.8,nights_yoy uses HAND 2020 nights
2021Q4,2022-02-16,1532.0,78.0,1435.0,1480.0,6.8,3.5,1.0,1.0,1445.0,62.9,-15.1,,,decel,,73.4,58.5,29.0,29.5,accel,21.7,,13.6,Q4 y/y margin expansion greater than Q3's,in_line,1.0,introduced,FY22 directionally in line with 2021 (27%),3.6,-0.0,3.7,-16.7,-7.5,-9.2,-13.5,-4.4,-9.1,nights_yoy uses HAND 2020 nights
2022Q1,2022-05-04,1509.0,70.0,1445.0,1480.0,4.4,2.0,1.0,1.0,2080.0,55.8,-14.2,,,decel,,102.1,58.5,58.5,0.0,flat,15.2,21.9,8.8,first positive Q1 ever,above,1.0,raised,FY22 modest expansion,7.7,3.4,4.3,-19.9,-5.7,-14.2,-19.5,-4.0,-15.5,
2022Q2,2022-08-03,2104.0,58.0,2080.0,2130.0,1.2,-1.2,1.0,0.0,2830.0,26.5,-31.5,4.13,30.6,decel,decel,103.7,24.8,58.5,-33.7,decel,33.8,17.5,12.4,margin up low-double-digit points y/y,above,1.0,held,FY22 expansion,-1.1,2.7,-3.9,-1.6,0.9,-2.5,-3.2,-4.2,1.0,
2022Q3,2022-11-02,2884.0,29.0,2830.0,2880.0,1.9,0.1,1.0,1.0,1840.0,20.1,-8.9,3.58,23.7,decel,decel,99.7,25.1,24.8,0.3,flat,50.5,1.3,18.5,at or slightly below 49%,above,1.0,held,no change,-13.4,-3.4,-10.0,-9.3,-2.0,-7.3,-6.3,6.6,-13.0,
2022Q4,2023-02-15,1902.0,24.0,1840.0,1880.0,3.4,1.2,1.0,1.0,1785.0,18.3,-5.7,3.54,21.8,decel,decel,88.2,20.2,25.1,-4.9,decel,26.6,4.9,14.1,in line to modestly above 22%,above,1.0,introduced,FY23 flat with 2022 (35%),13.4,0.8,12.6,5.2,-4.1,9.3,-6.0,-2.5,-3.5,
2023Q1,2023-05-10,1818.0,20.0,1785.0,1820.0,1.8,-0.1,1.0,0.0,2400.0,14.1,-5.9,3.25,17.3,decel,decel,121.1,18.6,20.2,-1.6,decel,14.4,-0.8,8.9,slightly down (brand pull-forward),in_line,1.0,held,FY23 broadly in line with 2022,-10.9,1.1,-12.0,-17.0,1.7,-18.8,-8.3,8.5,-16.7,
