quarter,ia_lfl_price_yoy_simple,ia_lfl_price_yoy_weighted,ia_lfl_price_cities,ia_lfl_price_city_list,ia_matched_reviews_ltm_yoy,ia_matched_retention,ia_reviews_cities,ia_reviews_city_list,ia_snapshot_reviews_ltm_yoy,ia_snapshot_listings_yoy,ia_snapshot_cities,ia_snapshot_city_list
2023Q4,9.090,9.090,1.000,rome,22.600,0.816,1,rome,34.940,20.399,1,rome
2024Q1,12.310,12.310,1.000,rome,18.540,0.804,1,rome,26.196,21.642,1,rome
2024Q2,4.700,4.700,1.000,rome,11.890,0.807,1,rome,21.377,22.802,1,rome
2024Q3,1.950,1.950,1.000,rome,5.570,0.808,1,rome,15.333,21.586,1,rome
2024Q4,0.000,0.000,2.000,paris;rome,-3.450,0.776,2,paris;rome,8.258,21.267,2,paris;rome
2025Q1,-5.900,-5.324,2.000,paris;rome,4.295,0.739,2,paris;rome,6.936,7.954,2,paris;rome
2025Q2,-4.350,-2.708,4.000,austin;nashville;paris;rome,3.080,0.743,4,austin;nashville;paris;rome,1.663,2.071,4,austin;nashville;paris;rome
2025Q3,-7.153,-6.259,3.000,austin;nashville;rome,5.400,0.679,4,austin;nashville;paris;rome,-0.748,-7.899,4,austin;nashville;paris;rome
2025Q4,,,,,4.553,0.691,7,austin;chicago;los-angeles;nashville;paris;rome;san-diego,-4.688,-15.437,4,austin;nashville;paris;rome
2026Q1,,,,,7.060,0.602,9,austin;chicago;los-angeles;mexico-city;nashville;new-orleans;paris;rome;san-diego,-7.652,-22.784,7,austin;chicago;los-angeles;nashville;paris;rome;san-diego
2026Q2,,,,,8.461,0.643,12,austin;barcelona;chicago;london;los-angeles;mexico-city;nashville;new-orleans;paris;rome;san-diego;sydney,1.454,-8.574,9,austin;chicago;los-angeles;mexico-city;nashville;new-orleans;paris;rome;san-diego
2026Q3,,,,,7.754,0.722,13,austin;barcelona;chicago;london;los-angeles;mexico-city;nashville;new-orleans;new-york-city;paris;rome;san-diego;sydney,5.499,0.015,12,austin;barcelona;chicago;london;los-angeles;mexico-city;nashville;new-orleans;paris;rome;san-diego;sydney
